ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T02:48:26Z,8001,0,0,0,0,0,0,225,47015,0.00497069,225,145.995,228
2026-07-30T02:48:26Z,8002,1,0,0,0,0.025641,0,152,34961,0.0038113,152,138.715,155
2026-07-30T02:48:30Z,8001,0,0,0,0,0,0,226,47271,0.00500934,226,146.156,229
2026-07-30T02:48:30Z,8002,0,0,0,0,0,0,153,35079,0.00385044,153,138.715,155
2026-07-30T02:48:32Z,8001,0,0,0,0,0,0,226,47271,0.00500934,226,146.156,229
2026-07-30T02:48:32Z,8002,0,0,0,0,0,0,154,35335,0.00389235,154,141.016,156
2026-07-30T02:48:33Z,8001,0,0,0,0,0,0,227,47527,0.00504836,227,146.296,230
2026-07-30T02:48:33Z,8002,0,0,0,0,0,0,154,35335,0.00389235,154,141.016,156
2026-07-30T02:48:35Z,8001,0,0,0,0,0,0,227,47527,0.00504836,227,146.296,230
2026-07-30T02:48:35Z,8002,0,0,0,0,0,0,154,35335,0.00389235,154,141.016,156
2026-07-30T02:48:36Z,8001,1,0,0,0,0.025641,0,227,47534,0.00504836,227,146.423,231
2026-07-30T02:48:36Z,8002,0,0,0,0,0,0,155,35591,0.00393067,155,143.331,157
2026-07-30T02:48:38Z,8001,0,0,0,0,0,0,228,47783,0.00508689,228,146.423,231
2026-07-30T02:48:38Z,8002,1,0,0,0,0.025641,0,155,35668,0.00393067,155,143.498,158
2026-07-30T02:48:40Z,8001,1,0,0,0,0.025641,0,228,47936,0.00508689,228,146.554,232
2026-07-30T02:48:40Z,8002,0,0,0,0,0,0,156,35847,0.00396992,156,143.498,158
2026-07-30T02:48:41Z,8001,0,0,0,0,0,0,229,48039,0.00512604,229,146.554,232
2026-07-30T02:48:41Z,8002,0,0,0,0,0,0,156,35847,0.00396992,156,143.498,158
2026-07-30T02:48:43Z,8001,0,0,0,0,0,0,229,48039,0.00512604,229,146.554,232
2026-07-30T02:48:43Z,8002,1,0,0,0,0.0512821,0,156,35953,0.00396992,156,145.806,159
2026-07-30T02:48:44Z,8001,1,0,0,0,0.025641,0,229,48223,0.00512604,229,146.691,233
2026-07-30T02:48:44Z,8002,0,0,0,0,0,0,157,36103,0.00399125,157,145.806,159
2026-07-30T02:48:48Z,8001,0,0,0,0,0,0,230,48295,0.00516415,230,146.691,233
2026-07-30T02:48:48Z,8002,0,0,0,0,0,0,158,36359,0.00401152,158,148.128,160
2026-07-30T02:48:50Z,8001,0,0,0,0,0,0,231,48551,0.00518441,231,146.82,234
2026-07-30T02:48:50Z,8002,0,0,0,0,0,0,158,36359,0.00401152,158,148.128,160
2026-07-30T02:48:51Z,8001,0,0,0,0,0,0,231,48551,0.00518441,231,146.82,234
2026-07-30T02:48:51Z,8002,0,0,0,0,0,0,158,36359,0.00401152,158,148.128,160
2026-07-30T02:48:53Z,8001,0,0,0,0,0,0,231,48551,0.00518441,231,146.82,234
2026-07-30T02:48:53Z,8002,0,0,0,0,0,0,159,36615,0.00402958,159,150.422,161
2026-07-30T02:48:55Z,8001,0,0,0,0,0,0,231,48551,0.00518441,231,146.82,234
2026-07-30T02:48:55Z,8002,0,0,0,0,0,0,159,36615,0.00402958,159,150.422,161
2026-07-30T02:48:56Z,8001,1,0,0,0,0.0512821,0,231,48784,0.00518441,231,149.106,235
2026-07-30T02:48:56Z,8002,0,0,0,0,0,0,159,36615,0.00402958,159,150.422,161
2026-07-30T02:48:58Z,8001,0,0,0,0,0,0,232,48807,0.00522162,232,149.106,235
2026-07-30T02:48:58Z,8002,0,0,0,0,0,0,159,36615,0.00402958,159,150.422,161
2026-07-30T02:48:59Z,8001,0,0,0,0,0,0,232,48807,0.00522162,232,149.106,235
2026-07-30T02:48:59Z,8002,1,0,0,0,0.0512821,0,159,36799,0.00402958,159,152.709,162
2026-07-30T02:49:01Z,8001,1,0,0,0,0.025641,0,232,49053,0.00522162,232,149.257,236
2026-07-30T02:49:01Z,8002,0,0,0,0,0,0,160,36871,0.00406556,160,152.709,162
2026-07-30T02:49:03Z,8001,1,0,0,0,0.025641,0,233,49118,0.00526062,233,149.385,237
2026-07-30T02:49:03Z,8002,0,0,0,0,0,0,161,37127,0.00409944,161,152.847,163
2026-07-30T02:49:06Z,8001,0,0,0,0,0,0,235,49575,0.00532748,235,149.515,238
