ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T02:48:26Z,0,0,31612,121.67,43,2850
2026-07-30T02:48:26Z,1,98,31610,262.11,46,2917
2026-07-30T02:48:26Z,2,0,1,13.07,34,210
2026-07-30T02:48:26Z,3,0,1,16.98,32,210
2026-07-30T02:48:26Z,4,0,29902,17.52,31,210
2026-07-30T02:48:26Z,5,0,29900,14.45,33,210
2026-07-30T02:48:26Z,6,0,4,9.64,39,210
2026-07-30T02:48:26Z,7,0,4,14.86,40,210
2026-07-30T02:48:30Z,0,0,31612,86.03,43,2835
2026-07-30T02:48:30Z,1,100,31610,452.20,54,2670
2026-07-30T02:48:30Z,2,0,1,14.59,34,210
2026-07-30T02:48:30Z,3,0,1,16.00,32,210
2026-07-30T02:48:30Z,4,0,29902,15.16,32,210
2026-07-30T02:48:30Z,5,0,29900,14.34,33,210
2026-07-30T02:48:30Z,6,0,4,9.26,39,210
2026-07-30T02:48:30Z,7,0,4,14.94,40,210
2026-07-30T02:48:32Z,0,66,31612,92.47,46,2512
2026-07-30T02:48:32Z,1,0,31610,268.57,44,2917
2026-07-30T02:48:32Z,2,0,1,13.28,34,210
2026-07-30T02:48:32Z,3,0,1,19.21,32,210
2026-07-30T02:48:32Z,4,0,29902,17.49,32,210
2026-07-30T02:48:32Z,5,0,29900,16.37,33,210
2026-07-30T02:48:32Z,6,0,4,11.74,39,210
2026-07-30T02:48:32Z,7,0,4,12.27,40,210
2026-07-30T02:48:33Z,0,0,31612,173.03,43,2835
2026-07-30T02:48:33Z,1,0,31610,107.74,43,2940
2026-07-30T02:48:33Z,2,0,1,14.46,34,202
2026-07-30T02:48:33Z,3,0,1,16.53,32,210
2026-07-30T02:48:33Z,4,0,29902,17.57,32,210
2026-07-30T02:48:33Z,5,0,29900,14.55,33,210
2026-07-30T02:48:33Z,6,0,4,10.41,39,210
2026-07-30T02:48:33Z,7,0,4,14.78,40,210
2026-07-30T02:48:35Z,0,0,31612,85.66,43,2610
2026-07-30T02:48:35Z,1,100,31610,451.42,53,2670
2026-07-30T02:48:35Z,2,0,1,13.15,34,210
2026-07-30T02:48:35Z,3,0,1,19.11,32,210
2026-07-30T02:48:35Z,4,0,29902,15.79,32,210
2026-07-30T02:48:35Z,5,0,29900,17.33,33,210
2026-07-30T02:48:35Z,6,0,4,10.60,39,210
2026-07-30T02:48:35Z,7,0,4,13.94,40,202
2026-07-30T02:48:36Z,0,94,31612,122.72,46,2557
2026-07-30T02:48:36Z,1,0,31610,251.18,44,2925
2026-07-30T02:48:36Z,2,0,1,15.67,34,210
2026-07-30T02:48:36Z,3,0,1,18.86,32,210
2026-07-30T02:48:36Z,4,0,29902,18.86,32,210
2026-07-30T02:48:36Z,5,0,29900,14.73,33,210
2026-07-30T02:48:36Z,6,0,4,11.69,39,210
2026-07-30T02:48:36Z,7,0,4,15.36,40,210
2026-07-30T02:48:38Z,0,0,31612,162.51,43,2835
2026-07-30T02:48:38Z,1,98,31610,204.30,47,2917
2026-07-30T02:48:38Z,2,0,1,13.00,34,210
2026-07-30T02:48:38Z,3,0,1,17.45,32,210
2026-07-30T02:48:38Z,4,0,29902,16.10,32,210
2026-07-30T02:48:38Z,5,0,29900,16.15,33,210
2026-07-30T02:48:38Z,6,0,4,9.54,39,210
2026-07-30T02:48:38Z,7,0,4,14.62,40,210
2026-07-30T02:48:40Z,0,98,31612,246.42,46,2812
2026-07-30T02:48:40Z,1,0,31610,118.78,43,2925
2026-07-30T02:48:40Z,2,0,1,14.01,34,210
2026-07-30T02:48:40Z,3,0,1,17.39,32,210
2026-07-30T02:48:40Z,4,0,29902,18.27,32,210
2026-07-30T02:48:40Z,5,0,29900,15.24,33,210
2026-07-30T02:48:40Z,6,0,4,11.31,39,210
2026-07-30T02:48:40Z,7,0,4,13.15,40,210
2026-07-30T02:48:41Z,0,0,31612,88.54,43,2835
2026-07-30T02:48:41Z,1,100,31610,305.86,55,2685
2026-07-30T02:48:41Z,2,0,1,15.00,34,210
2026-07-30T02:48:41Z,3,0,1,16.65,32,210
2026-07-30T02:48:41Z,4,0,29902,17.01,32,210
2026-07-30T02:48:41Z,5,0,29900,15.91,33,210
2026-07-30T02:48:41Z,6,0,4,10.31,39,210
2026-07-30T02:48:41Z,7,0,4,13.45,39,210
2026-07-30T02:48:43Z,0,0,31612,69.86,43,2430
2026-07-30T02:48:43Z,1,98,31610,382.96,49,2917
2026-07-30T02:48:43Z,2,0,1,13.25,34,210
2026-07-30T02:48:43Z,3,0,1,18.92,32,210
2026-07-30T02:48:43Z,4,0,29902,18.12,32,210
2026-07-30T02:48:43Z,5,0,29900,15.55,33,210
2026-07-30T02:48:43Z,6,0,4,11.48,39,210
2026-07-30T02:48:43Z,7,0,4,12.78,39,210
2026-07-30T02:48:44Z,0,98,31612,243.57,46,2812
2026-07-30T02:48:44Z,1,0,31610,108.66,44,2925
2026-07-30T02:48:44Z,2,0,1,13.92,34,202
2026-07-30T02:48:44Z,3,0,1,17.80,32,210
2026-07-30T02:48:44Z,4,0,29902,18.18,32,210
2026-07-30T02:48:44Z,5,0,29900,14.15,33,210
2026-07-30T02:48:44Z,6,0,4,10.08,39,210
2026-07-30T02:48:44Z,7,0,4,14.35,39,210
2026-07-30T02:48:48Z,0,77,31612,97.94,49,2430
2026-07-30T02:48:48Z,1,0,31610,289.11,46,2917
2026-07-30T02:48:48Z,2,0,1,14.88,34,210
2026-07-30T02:48:48Z,3,0,1,16.72,32,210
2026-07-30T02:48:48Z,4,0,29902,16.65,32,210
2026-07-30T02:48:48Z,5,0,29900,14.72,33,210
2026-07-30T02:48:48Z,6,0,4,9.47,39,210
2026-07-30T02:48:48Z,7,0,4,14.31,39,210
2026-07-30T02:48:50Z,0,0,31612,179.88,44,2835
2026-07-30T02:48:50Z,1,0,31610,106.16,44,2925
2026-07-30T02:48:50Z,2,0,1,12.51,34,210
2026-07-30T02:48:50Z,3,0,1,18.74,32,210
2026-07-30T02:48:50Z,4,0,29902,16.66,32,210
2026-07-30T02:48:50Z,5,0,29900,16.28,33,210
2026-07-30T02:48:50Z,6,0,4,11.87,38,210
2026-07-30T02:48:50Z,7,0,4,12.02,39,210
2026-07-30T02:48:51Z,0,0,31612,81.95,43,2430
2026-07-30T02:48:51Z,1,100,31610,450.94,55,2662
2026-07-30T02:48:51Z,2,0,1,15.28,34,210
2026-07-30T02:48:51Z,3,0,1,16.94,32,210
2026-07-30T02:48:51Z,4,0,29902,18.23,32,210
2026-07-30T02:48:51Z,5,0,29900,15.10,33,210
2026-07-30T02:48:51Z,6,0,4,10.84,38,210
2026-07-30T02:48:51Z,7,0,4,14.51,39,210
2026-07-30T02:48:53Z,0,0,31612,70.76,43,2430
2026-07-30T02:48:53Z,1,0,31610,243.12,46,2925
2026-07-30T02:48:53Z,2,0,1,12.74,34,210
2026-07-30T02:48:53Z,3,0,1,17.28,32,210
2026-07-30T02:48:53Z,4,0,29902,16.01,32,210
2026-07-30T02:48:53Z,5,0,29900,17.65,33,210
2026-07-30T02:48:53Z,6,0,4,10.06,38,210
2026-07-30T02:48:53Z,7,0,4,13.54,39,210
2026-07-30T02:48:55Z,0,100,31612,463.92,55,2670
2026-07-30T02:48:55Z,1,0,31610,104.01,44,2857
2026-07-30T02:48:55Z,2,0,1,15.70,34,210
2026-07-30T02:48:55Z,3,0,1,16.14,32,210
2026-07-30T02:48:55Z,4,0,29902,17.96,32,210
2026-07-30T02:48:55Z,5,0,29900,14.79,33,210
2026-07-30T02:48:55Z,6,0,4,9.76,38,210
2026-07-30T02:48:55Z,7,0,4,13.26,39,210
2026-07-30T02:48:56Z,0,98,31612,254.21,47,2812
2026-07-30T02:48:56Z,1,0,31610,73.75,43,2430
2026-07-30T02:48:56Z,2,0,1,15.18,34,210
2026-07-30T02:48:56Z,3,0,1,16.64,32,210
2026-07-30T02:48:56Z,4,0,29902,15.55,32,210
2026-07-30T02:48:56Z,5,0,29900,15.50,33,210
2026-07-30T02:48:56Z,6,0,4,9.94,38,210
2026-07-30T02:48:56Z,7,0,4,14.15,39,210
2026-07-30T02:48:58Z,0,0,31612,86.92,44,2835
2026-07-30T02:48:58Z,1,100,31610,424.84,54,2670
