ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T02:48:26Z,running,8.14,481796,12.0,25020,24525,0,3,1.52,53.32,52.47
2026-07-30T02:48:30Z,running,8.14,481444,12.0,25049,24132,0,3,1.52,53.32,52.47
2026-07-30T02:48:32Z,running,8.29,481404,12.0,25061,24075,0,3,1.52,53.32,52.47
2026-07-30T02:48:33Z,running,8.29,481117,12.0,24987,23856,0,3,1.52,53.32,52.47
2026-07-30T02:48:35Z,running,8.29,480967,12.0,24972,23712,0,3,1.52,53.32,52.47
2026-07-30T02:48:36Z,running,7.87,480836,12.0,24976,23563,0,3,1.52,53.32,52.47
2026-07-30T02:48:38Z,running,7.87,480804,12.0,25230,23263,0,3,1.52,53.32,52.47
2026-07-30T02:48:40Z,running,7.87,480570,12.0,25219,23030,0,3,1.52,53.32,52.47
2026-07-30T02:48:41Z,running,8.04,480091,12.0,24964,22795,0,3,1.52,53.32,52.47
2026-07-30T02:48:43Z,running,8.04,479747,12.0,24920,22481,0,3,1.52,53.32,52.47
2026-07-30T02:48:44Z,running,8.04,479397,12.0,24795,22243,0,6,0.20,0.44,100.79
2026-07-30T02:48:48Z,running,8.20,478711,12.0,24677,21648,0,6,0.20,0.44,100.79
2026-07-30T02:48:50Z,running,8.20,478375,12.0,24591,21381,0,6,0.20,0.44,100.79
2026-07-30T02:48:51Z,running,8.34,478032,12.0,24571,21043,0,6,0.20,0.44,100.79
2026-07-30T02:48:53Z,running,8.34,477313,12.0,24258,20627,0,6,0.20,0.44,100.79
2026-07-30T02:48:55Z,running,8.34,476687,12.0,24210,20024,0,6,0.20,0.44,100.79
2026-07-30T02:48:56Z,running,8.55,472074,12.0,24604,14980,0,6,0.20,0.44,100.79
2026-07-30T02:48:58Z,running,8.55,469715,12.0,24653,12574,0,6,0.20,0.44,100.79
2026-07-30T02:48:59Z,running,8.55,468688,12.0,24645,11581,0,6,0.20,0.44,100.79
2026-07-30T02:49:01Z,running,8.67,467073,12.0,25250,9335,0,6,0.20,0.44,100.79
2026-07-30T02:49:03Z,running,8.67,464182,11.7,25272,6445,0,5,2.05,63.74,87.30
2026-07-30T02:49:06Z,running,8.22,464104,11.7,25262,6377,0,5,2.05,63.74,87.30
2026-07-30T02:49:08Z,running,8.22,464073,11.7,25262,6346,0,5,2.05,63.74,87.30
2026-07-30T02:49:10Z,running,8.22,463851,11.7,25036,6350,0,5,2.05,63.74,87.30
2026-07-30T02:49:11Z,running,7.80,463842,11.7,25026,6351,0,5,2.05,63.74,87.30
2026-07-30T02:49:13Z,running,7.80,463686,11.7,25028,6193,0,5,2.05,63.74,87.30
2026-07-30T02:49:14Z,running,7.80,463902,11.7,25240,6196,0,5,2.05,63.74,87.30
2026-07-30T02:49:16Z,running,7.41,463883,11.7,25242,6176,0,5,2.05,63.74,87.30
2026-07-30T02:49:18Z,running,7.41,463884,11.7,25236,6182,0,5,2.05,63.74,87.30
2026-07-30T02:49:19Z,running,7.41,463660,11.7,25010,6184,0,5,2.05,63.74,87.30
2026-07-30T02:49:21Z,running,7.06,463546,11.9,25002,6079,0,6,2.08,110.21,0.67
2026-07-30T02:49:25Z,running,7.06,468429,11.9,24989,10974,0,6,2.08,110.21,0.67
2026-07-30T02:49:26Z,running,6.74,468363,11.9,25007,10890,0,6,2.08,110.21,0.67
2026-07-30T02:49:28Z,running,6.74,468898,11.9,25044,11388,0,6,2.08,110.21,0.67
2026-07-30T02:49:29Z,running,6.74,469247,11.9,25274,11504,0,6,2.08,110.21,0.67
2026-07-30T02:49:31Z,running,6.44,467411,11.9,25243,9693,0,6,2.08,110.21,0.67
2026-07-30T02:49:33Z,running,6.44,472062,11.9,25255,14335,0,6,2.08,110.21,0.67
