ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T02:52:40Z,0,100,31624,146.63,55,2512
2026-07-30T02:52:40Z,1,0,31624,144.37,44,2925
2026-07-30T02:52:40Z,2,0,1,15.39,34,210
2026-07-30T02:52:40Z,3,0,1,16.65,33,210
2026-07-30T02:52:40Z,4,0,29902,15.15,32,210
2026-07-30T02:52:40Z,5,0,29900,16.85,33,210
2026-07-30T02:52:40Z,6,32,22354,378.52,63,2805
2026-07-30T02:52:40Z,7,1,20692,74.08,51,2467
2026-07-30T02:52:44Z,0,0,31624,111.47,45,2835
2026-07-30T02:52:44Z,1,98,31624,295.24,48,2917
2026-07-30T02:52:44Z,2,0,1,13.41,34,210
2026-07-30T02:52:44Z,3,0,1,16.96,33,210
2026-07-30T02:52:44Z,4,0,29902,16.41,32,202
2026-07-30T02:52:44Z,5,0,29900,14.48,33,210
2026-07-30T02:52:44Z,6,0,22354,101.93,55,2902
2026-07-30T02:52:44Z,7,0,20692,73.45,51,2467
2026-07-30T02:52:45Z,0,98,31624,268.05,48,2820
2026-07-30T02:52:45Z,1,0,31624,106.04,44,2925
2026-07-30T02:52:45Z,2,0,1,13.49,34,210
2026-07-30T02:52:45Z,3,0,1,19.67,33,210
2026-07-30T02:52:45Z,4,0,29902,16.55,32,210
2026-07-30T02:52:45Z,5,0,29900,15.81,33,210
2026-07-30T02:52:45Z,6,0,22354,81.49,54,2482
2026-07-30T02:52:45Z,7,1,20692,72.74,50,2467
2026-07-30T02:52:46Z,0,0,31624,86.86,45,2835
2026-07-30T02:52:46Z,1,100,31624,334.45,55,2662
2026-07-30T02:52:46Z,2,0,1,15.22,34,210
2026-07-30T02:52:46Z,3,0,1,17.61,33,210
2026-07-30T02:52:46Z,4,0,29902,18.08,32,210
2026-07-30T02:52:46Z,5,0,29900,13.92,33,210
2026-07-30T02:52:46Z,6,0,22354,78.81,53,2482
2026-07-30T02:52:46Z,7,1,20692,74.62,50,2475
2026-07-30T02:52:48Z,0,0,31624,73.40,45,2430
2026-07-30T02:52:48Z,1,98,31624,387.64,49,2917
2026-07-30T02:52:48Z,2,0,1,14.05,34,210
2026-07-30T02:52:48Z,3,0,1,18.47,33,210
2026-07-30T02:52:48Z,4,0,29902,15.70,32,210
2026-07-30T02:52:48Z,5,0,29900,17.34,33,210
2026-07-30T02:52:48Z,6,0,22354,78.90,53,2467
2026-07-30T02:52:48Z,7,0,20692,72.19,50,2475
2026-07-30T02:52:49Z,0,68,31624,134.02,55,2587
2026-07-30T02:52:49Z,1,0,31624,158.85,45,2932
2026-07-30T02:52:49Z,2,0,1,13.64,34,210
2026-07-30T02:52:49Z,3,0,1,19.51,33,210
2026-07-30T02:52:49Z,4,0,29902,17.16,32,202
2026-07-30T02:52:49Z,5,0,29900,15.21,33,210
2026-07-30T02:52:49Z,6,0,22354,78.71,53,2460
2026-07-30T02:52:49Z,7,0,20692,73.93,50,2467
2026-07-30T02:52:51Z,0,100,31624,450.86,55,2647
