ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T02:52:40Z,running,11.68,474757,12.4,23856,12140,0,3,1.53,100.45,0.56
2026-07-30T02:52:44Z,running,11.55,479286,12.4,24447,16078,0,3,1.53,100.45,0.56
2026-07-30T02:52:45Z,running,11.55,479470,12.4,24620,16081,0,3,1.53,100.45,0.56
2026-07-30T02:52:46Z,running,11.98,479304,12.4,24472,16071,0,3,1.53,100.45,0.56
2026-07-30T02:52:48Z,running,11.98,479303,12.4,24470,16072,0,3,1.53,100.45,0.56
2026-07-30T02:52:49Z,running,11.98,479095,12.4,24259,16076,0,3,1.53,100.45,0.56
2026-07-30T02:52:51Z,running,12.47,479087,12.4,24249,16077,0,3,1.53,100.45,0.56
2026-07-30T02:52:52Z,running,12.47,478475,12.4,23631,16080,0,3,1.53,100.45,0.56
2026-07-30T02:52:54Z,running,12.47,479069,12.4,24223,16082,0,3,1.53,100.45,0.56
2026-07-30T02:52:55Z,running,12.47,479055,12.4,24205,16083,0,3,1.53,100.45,0.56
2026-07-30T02:52:57Z,running,12.51,479328,12.1,24230,16362,0,4,0.30,0.58,157.07
2026-07-30T02:53:00Z,running,12.51,480185,12.1,24086,17317,0,4,0.30,0.58,157.07
2026-07-30T02:53:02Z,running,12.31,480081,12.1,24067,17243,0,4,0.30,0.58,157.07
2026-07-30T02:53:03Z,running,12.31,480006,12.1,24085,17149,0,4,0.30,0.58,157.07
2026-07-30T02:53:05Z,running,12.31,480253,12.1,24376,17106,0,4,0.30,0.58,157.07
2026-07-30T02:53:06Z,running,12.28,480260,12.1,24382,17106,0,4,0.30,0.58,157.07
2026-07-30T02:53:07Z,running,12.28,480111,12.1,24389,16944,0,4,0.30,0.58,157.07
2026-07-30T02:53:09Z,running,12.28,478460,12.1,24368,15319,0,4,0.30,0.58,157.07
2026-07-30T02:53:11Z,running,12.28,477589,12.1,23970,14811,0,4,0.30,0.58,157.07
2026-07-30T02:53:12Z,running,12.66,475430,12.1,22028,14412,0,4,0.30,0.58,157.07
2026-07-30T02:53:13Z,running,12.66,471433,12.1,18232,13969,0,5,0.40,157.64,76.71
2026-07-30T02:53:17Z,running,12.85,465382,12.1,13330,12489,0,5,0.40,157.64,76.71
2026-07-30T02:53:19Z,running,12.85,464010,12.1,12577,11833,0,5,0.40,157.64,76.71
2026-07-30T02:53:20Z,running,12.85,464244,12.1,12784,11828,0,5,0.40,157.64,76.71
2026-07-30T02:53:21Z,running,12.62,465308,12.1,12488,13182,0,5,0.40,157.64,76.71
2026-07-30T02:53:23Z,running,12.62,464991,12.1,12340,13011,0,5,0.40,157.64,76.71
2026-07-30T02:53:24Z,running,12.62,464589,12.1,11994,12954,0,5,0.40,157.64,76.71
2026-07-30T02:53:26Z,running,11.93,464451,12.1,12124,12686,0,5,0.40,157.64,76.71
2026-07-30T02:53:27Z,running,11.93,464467,12.1,12103,12719,0,5,0.40,157.64,76.71
2026-07-30T02:53:29Z,running,11.93,464418,12.1,12158,12618,0,5,0.40,157.64,76.71
2026-07-30T02:53:30Z,running,11.93,464267,11.9,12164,12459,0,3,2.16,100.52,65.35
2026-07-30T02:53:34Z,running,11.21,460496,11.9,12094,8613,0,3,2.16,100.52,65.35
2026-07-30T02:53:35Z,running,11.21,458189,11.9,10999,7225,0,3,2.16,100.52,65.35
2026-07-30T02:53:37Z,running,11.12,451452,11.9,7119,4271,0,3,2.16,100.52,65.35
2026-07-30T02:53:38Z,running,11.12,450946,11.9,6873,3794,0,3,2.16,100.52,65.35
2026-07-30T02:53:40Z,running,11.12,448493,11.9,6460,1655,0,3,2.16,100.52,65.35
2026-07-30T02:53:41Z,running,10.63,447898,11.9,5727,1795,0,3,2.16,100.52,65.35
2026-07-30T02:53:43Z,running,10.63,447853,11.9,5184,2260,0,3,2.16,100.52,65.35
2026-07-30T02:53:44Z,running,10.63,447325,11.9,4486,2397,0,3,2.16,100.52,65.35
2026-07-30T02:53:46Z,running,11.30,447399,11.9,4404,2541,0,3,2.16,100.52,65.35
2026-07-30T02:53:47Z,running,11.30,447275,12.1,4316,2505,0,3,2.33,51.29,16.61
2026-07-30T02:53:51Z,running,11.83,447234,12.1,4266,2514,0,3,2.33,51.29,16.61
2026-07-30T02:53:52Z,running,11.83,447260,12.1,4208,2598,0,3,2.33,51.29,16.61
2026-07-30T02:53:54Z,running,11.83,447124,12.1,4014,2655,0,3,2.33,51.29,16.61
2026-07-30T02:53:55Z,running,11.83,447210,12.1,4103,2653,0,3,2.33,51.29,16.61
2026-07-30T02:53:57Z,running,11.69,446985,12.1,3825,2706,0,3,2.33,51.29,16.61
2026-07-30T02:53:58Z,running,11.69,446874,12.1,3647,2773,0,3,2.33,51.29,16.61
2026-07-30T02:54:00Z,running,11.69,446783,12.1,3475,2853,0,3,2.33,51.29,16.61
2026-07-30T02:54:02Z,running,11.23,447035,12.1,3660,2921,0,3,2.33,51.29,16.61
2026-07-30T02:54:03Z,running,11.23,446737,12.1,3262,3021,0,3,2.33,51.29,16.61
2026-07-30T02:54:05Z,running,11.23,446472,12.3,2934,3084,0,5,2.08,107.27,110.12
2026-07-30T02:54:08Z,running,10.65,446423,12.3,2611,3337,0,5,2.08,107.27,110.12
2026-07-30T02:54:10Z,running,10.65,446194,12.3,3215,2470,0,5,2.08,107.27,110.12
2026-07-30T02:54:11Z,running,10.20,445363,12.3,4354,709,0,5,2.08,107.27,110.12
2026-07-30T02:54:13Z,running,10.20,446301,12.3,4892,1111,0,5,2.08,107.27,110.12
2026-07-30T02:54:14Z,running,10.20,446072,12.3,4858,887,0,5,2.08,107.27,110.12
2026-07-30T02:54:16Z,running,10.20,446077,12.3,4961,791,0,5,2.08,107.27,110.12
2026-07-30T02:54:17Z,running,9.70,446108,12.3,5169,680,0,5,2.08,107.27,110.12
2026-07-30T02:54:19Z,running,9.70,445832,12.3,5092,644,0,5,2.08,107.27,110.12
2026-07-30T02:54:20Z,running,9.70,446018,12.3,5255,666,0,5,2.08,107.27,110.12
2026-07-30T02:54:21Z,running,9.25,446300,12.2,5442,734,0,11,3.61,136.36,161.51
2026-07-30T02:54:25Z,running,9.25,445714,12.2,4877,713,0,11,3.61,136.36,161.51
2026-07-30T02:54:27Z,running,9.39,446033,12.2,5170,735,0,11,3.61,136.36,161.51
2026-07-30T02:54:28Z,running,9.39,445938,12.2,5001,813,0,11,3.61,136.36,161.51
2026-07-30T02:54:30Z,running,9.39,445654,12.2,4700,830,0,11,3.61,136.36,161.51
2026-07-30T02:54:31Z,running,9.52,445353,12.2,4371,858,0,11,3.61,136.36,161.51
2026-07-30T02:54:33Z,running,9.52,445841,12.2,4839,878,0,11,3.61,136.36,161.51
2026-07-30T02:54:34Z,running,9.52,445407,12.2,4454,826,0,11,3.61,136.36,161.51
2026-07-30T02:54:36Z,running,9.52,445436,12.2,5311,924,0,11,3.61,136.36,161.51
2026-07-30T02:54:37Z,running,9.31,445336,12.2,6165,591,0,11,3.61,136.36,161.51
2026-07-30T02:54:39Z,running,9.31,444917,12.1,7300,1014,0,10,1.41,105.99,108.19
2026-07-30T02:54:42Z,running,9.61,444636,12.1,6892,1287,0,10,1.41,105.99,108.19
2026-07-30T02:54:44Z,running,9.61,444605,12.1,6846,1304,0,10,1.41,105.99,108.19
2026-07-30T02:54:45Z,running,9.61,444387,12.1,6891,1033,0,10,1.41,105.99,108.19
2026-07-30T02:54:46Z,running,10.36,444835,12.1,7426,955,0,10,1.41,105.99,108.19
2026-07-30T02:54:48Z,running,10.36,444593,12.1,7202,936,0,10,1.41,105.99,108.19
2026-07-30T02:54:49Z,running,10.36,444823,12.1,7479,890,0,10,1.41,105.99,108.19
2026-07-30T02:54:51Z,running,10.49,444615,12.1,7334,826,0,10,1.41,105.99,108.19
2026-07-30T02:54:52Z,running,10.49,444578,12.1,7324,800,0,10,1.41,105.99,108.19
2026-07-30T02:54:54Z,running,10.49,445069,12.1,7835,779,0,10,1.41,105.99,108.19
2026-07-30T02:54:55Z,running,10.49,445044,11.9,7813,777,0,9,3.09,137.97,107.40
2026-07-30T02:54:59Z,running,11.17,444812,11.9,7743,614,0,9,3.09,137.97,107.40
2026-07-30T02:55:00Z,running,11.17,444578,11.9,7562,560,0,9,3.09,137.97,107.40
2026-07-30T02:55:02Z,running,10.60,444266,11.9,8260,849,0,9,3.09,137.97,107.40
2026-07-30T02:55:04Z,running,10.60,444587,11.9,8165,1352,0,9,3.09,137.97,107.40
2026-07-30T02:55:05Z,running,10.60,443779,11.9,8620,845,0,9,3.09,137.97,107.40
2026-07-30T02:55:07Z,running,10.71,443315,11.9,9062,563,0,9,3.09,137.97,107.40
2026-07-30T02:55:08Z,running,10.71,443337,11.9,8624,1162,0,9,3.09,137.97,107.40
2026-07-30T02:55:10Z,running,10.71,443093,11.9,8401,1125,0,9,3.09,137.97,107.40
2026-07-30T02:55:11Z,running,10.82,443048,11.9,8562,895,0,9,3.09,137.97,107.40
2026-07-30T02:55:12Z,running,10.82,442703,12.1,8282,832,0,14,0.73,104.60,107.71
2026-07-30T02:55:16Z,running,10.83,443291,12.1,8907,795,0,14,0.73,104.60,107.71
2026-07-30T02:55:17Z,running,10.83,443289,12.1,8912,788,0,14,0.73,104.60,107.71
2026-07-30T02:55:19Z,running,10.83,443281,12.1,8900,792,0,14,0.73,104.60,107.71
2026-07-30T02:55:20Z,running,10.83,443290,12.1,8910,792,0,14,0.73,104.60,107.71
2026-07-30T02:55:22Z,running,10.76,443031,12.1,8676,766,0,14,0.73,104.60,107.71
2026-07-30T02:55:24Z,running,10.76,443020,12.1,8687,743,0,14,0.73,104.60,107.71
2026-07-30T02:55:25Z,running,10.76,443263,12.1,8950,724,0,14,0.73,104.60,107.71
