ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T03:19:54Z,8001,0,0,0,0,0,0,2007,507246,3298.97,2007,6735.14,2041
2026-07-30T03:19:54Z,8002,4,0,0,0,0.102564,0,1182,300945,1701.79,1182,3623.56,1205
2026-07-30T03:19:57Z,8001,4,0,0,0,0.102564,0,2015,509355,3298.97,2015,6737.09,2053
2026-07-30T03:19:57Z,8002,4,0,0,0,0.102564,0,1190,303141,1701.79,1190,3624.84,1213
2026-07-30T03:19:59Z,8001,0,0,0,0,0,0,2019,510318,3298.97,2019,6737.09,2053
2026-07-30T03:19:59Z,8002,4,0,0,0,0.102564,0,1194,304041,1701.79,1194,3625.49,1217
2026-07-30T03:20:00Z,8001,4,0,0,0,0.102564,0,2019,511179,3298.97,2019,6737.72,2057
2026-07-30T03:20:00Z,8002,4,0,0,0,0.102564,0,1194,305013,1701.79,1194,3625.49,1217
2026-07-30T03:20:02Z,8001,4,0,0,0,0.102564,0,2023,512051,3298.97,2023,6738.42,2061
2026-07-30T03:20:02Z,8002,4,0,0,0,0.102564,0,1198,305909,1701.79,1198,3626.15,1221
2026-07-30T03:20:03Z,8001,4,0,0,0,0.102564,0,2027,512931,3298.97,2027,6739.04,2065
2026-07-30T03:20:03Z,8002,4,0,0,0,0.102564,0,1202,306817,1701.79,1202,3626.76,1225
2026-07-30T03:20:05Z,8001,4,0,0,0,0.102564,0,2031,513851,3298.97,2031,6739.68,2069
2026-07-30T03:20:05Z,8002,4,0,0,0,0.102564,0,1206,307765,1701.79,1206,3627.4,1229
2026-07-30T03:20:07Z,8001,4,0,0,0,0.102564,0,2035,514739,3298.97,2035,6740.31,2073
2026-07-30T03:20:07Z,8002,4,0,0,0,0.102564,0,1210,308685,1701.79,1210,3628.01,1233
2026-07-30T03:20:08Z,8001,4,0,0,0,0.102564,0,2039,515615,3298.97,2039,6740.93,2077
2026-07-30T03:20:08Z,8002,4,0,0,0,0.102564,0,1214,309589,1701.79,1214,3628.68,1237
2026-07-30T03:20:10Z,8001,4,0,0,0,0.102564,0,2043,516483,3298.97,2043,6741.57,2081
2026-07-30T03:20:10Z,8002,4,0,0,0,0.102564,0,1218,310493,1701.79,1218,3629.29,1241
2026-07-30T03:20:11Z,8001,4,0,0,0,0.102564,0,2043,517467,3298.97,2043,6741.57,2081
2026-07-30T03:20:11Z,8002,4,0,0,0,0.102564,0,1222,311405,1701.79,1222,3629.89,1245
2026-07-30T03:20:15Z,8001,0,0,0,0,0,0,2055,519534,3298.97,2055,6742.91,2089
2026-07-30T03:20:15Z,8002,4,0,0,0,0.102564,0,1230,313565,1701.79,1230,3631.17,1253
2026-07-30T03:20:16Z,8001,4,0,0,0,0.102564,0,2055,520447,3298.97,2055,6743.55,2093
2026-07-30T03:20:16Z,8002,4,0,0,0,0.102564,0,1234,314445,1701.79,1234,3631.83,1257
2026-07-30T03:20:18Z,8001,4,0,0,0,0.102564,0,2059,521331,3298.97,2059,6744.18,2097
2026-07-30T03:20:18Z,8002,4,0,0,0,0.102564,0,1238,315345,1701.79,1238,3632.53,1261
2026-07-30T03:20:19Z,8001,4,0,0,0,0.102564,0,2063,522235,3298.97,2063,6744.79,2101
2026-07-30T03:20:19Z,8002,1,0,0,0,0.025641,0,1242,316296,1701.79,1242,3632.53,1261
2026-07-30T03:20:21Z,8001,4,0,0,0,0.102564,0,2067,523183,3298.97,2067,6745.45,2105
2026-07-30T03:20:21Z,8002,0,0,0,0,0,0,1246,317320,1701.79,1246,3633.19,1265
2026-07-30T03:20:22Z,8001,4,0,0,0,0.102564,0,2071,524095,3298.97,2071,6746.1,2109
2026-07-30T03:20:22Z,8002,4,0,0,0,0.102564,0,1246,318285,1701.79,1246,3633.82,1269
