ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T03:19:54Z,0,64,31736,278.99,59,2812
2026-07-30T03:19:54Z,1,99,31854,301.98,41,2917
2026-07-30T03:19:54Z,2,0,1,14.00,34,210
2026-07-30T03:19:54Z,3,0,1,18.26,32,210
2026-07-30T03:19:54Z,4,0,29902,16.40,31,210
2026-07-30T03:19:54Z,5,0,29900,15.84,33,210
2026-07-30T03:19:54Z,6,0,17358,67.77,43,2430
2026-07-30T03:19:54Z,7,0,17358,62.16,41,2430
2026-07-30T03:19:57Z,0,99,31736,274.38,60,2805
2026-07-30T03:19:57Z,1,99,31854,300.93,43,2925
2026-07-30T03:19:57Z,2,0,1,13.47,34,210
2026-07-30T03:19:57Z,3,0,1,17.41,32,210
2026-07-30T03:19:57Z,4,0,29902,15.98,31,210
2026-07-30T03:19:57Z,5,0,29900,14.36,33,210
2026-07-30T03:19:57Z,6,0,17358,12.56,42,217
2026-07-30T03:19:57Z,7,0,17358,62.21,41,2430
2026-07-30T03:19:59Z,0,41,31736,286.12,59,2812
2026-07-30T03:19:59Z,1,66,31854,298.64,43,2917
2026-07-30T03:19:59Z,2,0,1,13.79,34,210
2026-07-30T03:19:59Z,3,0,1,19.54,32,210
2026-07-30T03:19:59Z,4,0,29902,18.89,31,210
2026-07-30T03:19:59Z,5,0,29900,16.05,33,210
2026-07-30T03:19:59Z,6,0,17358,12.96,42,210
2026-07-30T03:19:59Z,7,0,17358,63.86,41,2430
2026-07-30T03:20:00Z,0,99,31736,296.16,60,2812
2026-07-30T03:20:00Z,1,74,31854,320.85,42,2932
2026-07-30T03:20:00Z,2,0,1,14.71,34,210
2026-07-30T03:20:00Z,3,0,1,17.81,32,210
2026-07-30T03:20:00Z,4,0,29902,18.71,31,210
2026-07-30T03:20:00Z,5,0,29900,14.45,33,210
2026-07-30T03:20:00Z,6,0,17358,11.77,42,210
2026-07-30T03:20:00Z,7,0,17358,64.25,41,2430
2026-07-30T03:20:02Z,0,99,31736,295.84,60,2812
2026-07-30T03:20:02Z,1,99,31854,323.15,44,2917
2026-07-30T03:20:02Z,2,0,1,13.00,34,210
2026-07-30T03:20:02Z,3,0,1,20.36,32,210
2026-07-30T03:20:02Z,4,0,29902,16.67,31,210
2026-07-30T03:20:02Z,5,0,29900,16.62,33,210
2026-07-30T03:20:02Z,6,100,17358,118.97,52,1950
2026-07-30T03:20:02Z,7,0,17358,20.29,40,352
2026-07-30T03:20:03Z,0,99,31736,293.30,59,2812
2026-07-30T03:20:03Z,1,99,31854,323.63,44,2932
2026-07-30T03:20:03Z,2,0,1,15.17,34,210
2026-07-30T03:20:03Z,3,0,1,19.90,32,210
2026-07-30T03:20:03Z,4,0,29902,19.53,31,210
2026-07-30T03:20:03Z,5,0,29900,15.52,33,210
2026-07-30T03:20:03Z,6,0,17358,94.44,44,2910
2026-07-30T03:20:03Z,7,0,17358,13.48,40,210
2026-07-30T03:20:05Z,0,99,31736,277.71,59,2812
2026-07-30T03:20:05Z,1,99,31854,323.23,44,2932
2026-07-30T03:20:05Z,2,0,1,13.08,34,210
2026-07-30T03:20:05Z,3,0,1,18.74,32,210
2026-07-30T03:20:05Z,4,0,29902,16.59,31,210
2026-07-30T03:20:05Z,5,0,29900,16.10,33,210
2026-07-30T03:20:05Z,6,0,17358,70.98,43,2430
2026-07-30T03:20:05Z,7,0,17358,12.96,40,210
2026-07-30T03:20:07Z,0,99,31736,273.05,59,2812
2026-07-30T03:20:07Z,1,99,31854,301.49,44,2917
2026-07-30T03:20:07Z,2,0,1,15.61,34,210
2026-07-30T03:20:07Z,3,0,1,20.95,32,210
2026-07-30T03:20:07Z,4,0,29902,18.83,31,210
2026-07-30T03:20:07Z,5,0,29900,16.18,33,210
2026-07-30T03:20:07Z,6,0,17358,68.32,43,2430
2026-07-30T03:20:07Z,7,0,17358,11.69,40,210
2026-07-30T03:20:08Z,0,99,31736,277.20,59,2812
2026-07-30T03:20:08Z,1,99,31854,299.78,45,2917
2026-07-30T03:20:08Z,2,0,1,15.14,33,210
2026-07-30T03:20:08Z,3,0,1,17.69,32,210
2026-07-30T03:20:08Z,4,0,29902,17.83,31,210
2026-07-30T03:20:08Z,5,0,29900,14.85,33,210
2026-07-30T03:20:08Z,6,0,17358,66.63,43,2430
2026-07-30T03:20:08Z,7,0,17358,252.89,42,2910
