ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T03:19:54Z,running,12.81,437132,13.4,6327,2264,0,25,7.58,109.51,109.47
2026-07-30T03:19:57Z,running,12.19,437156,13.4,6355,2259,0,25,7.58,109.51,109.47
2026-07-30T03:19:59Z,running,12.19,437147,13.4,6344,2261,0,25,7.58,109.51,109.47
2026-07-30T03:20:00Z,running,12.19,437146,13.4,6389,2214,0,25,7.58,109.51,109.47
2026-07-30T03:20:02Z,running,11.69,437142,13.4,6430,2169,0,25,7.58,109.51,109.47
2026-07-30T03:20:03Z,running,11.69,437143,13.4,6478,2123,0,25,7.58,109.51,109.47
2026-07-30T03:20:05Z,running,11.69,437147,13.4,6662,1943,0,25,7.58,109.51,109.47
2026-07-30T03:20:07Z,running,11.69,437141,13.4,6788,1811,0,25,7.58,109.51,109.47
2026-07-30T03:20:08Z,running,11.08,437155,13.4,6948,1665,0,25,7.58,109.51,109.47
2026-07-30T03:20:10Z,running,11.08,438313,13.4,7981,1790,0,25,7.58,109.51,109.47
2026-07-30T03:20:11Z,running,11.08,438323,13.4,8020,1760,0,56,6.18,108.92,109.04
2026-07-30T03:20:15Z,running,11.39,438339,13.4,8083,1714,0,56,6.18,108.92,109.04
2026-07-30T03:20:16Z,running,11.39,438336,13.4,8091,1702,0,56,6.18,108.92,109.04
2026-07-30T03:20:18Z,running,11.36,438335,13.4,8133,1659,0,56,6.18,108.92,109.04
2026-07-30T03:20:19Z,running,11.36,438324,13.4,8119,1662,0,56,6.18,108.92,109.04
2026-07-30T03:20:21Z,running,11.36,438347,13.4,8140,1664,0,56,6.18,108.92,109.04
2026-07-30T03:20:22Z,running,12.05,438354,13.4,8110,1701,0,56,6.18,108.92,109.04
2026-07-30T03:20:24Z,running,12.05,438355,13.4,8110,1702,0,56,6.18,108.92,109.04
2026-07-30T03:20:25Z,running,12.05,438363,13.4,8120,1700,0,56,6.18,108.92,109.04
2026-07-30T03:20:27Z,running,12.05,441295,13.4,8098,4653,0,56,6.18,108.92,109.04
2026-07-30T03:20:28Z,running,11.49,441321,13.4,8081,4697,0,48,5.68,116.52,109.08
2026-07-30T03:20:32Z,running,11.49,441320,13.4,8036,4741,0,48,5.68,116.52,109.08
2026-07-30T03:20:33Z,running,10.89,441296,13.4,8037,4717,0,48,5.68,116.52,109.08
2026-07-30T03:20:35Z,running,10.89,441302,13.4,8134,4626,0,48,5.68,116.52,109.08
2026-07-30T03:20:36Z,running,10.89,441294,13.4,8153,4598,0,48,5.68,116.52,109.08
2026-07-30T03:20:38Z,running,10.57,441293,13.4,8192,4557,0,48,5.68,116.52,109.08
2026-07-30T03:20:39Z,running,10.57,441284,13.4,8197,4544,0,48,5.68,116.52,109.08
2026-07-30T03:20:41Z,running,10.57,441308,13.4,8228,4537,0,48,5.68,116.52,109.08
2026-07-30T03:20:42Z,running,10.69,441299,13.4,8231,4525,0,48,5.68,116.52,109.08
2026-07-30T03:20:44Z,running,10.69,441306,13.4,8275,4488,0,48,5.68,116.52,109.08
2026-07-30T03:20:45Z,running,10.69,441304,13.4,8270,4490,0,45,7.41,108.07,108.99
2026-07-30T03:20:49Z,running,10.95,458853,13.4,9341,21066,0,45,7.41,108.07,108.99
2026-07-30T03:20:50Z,running,10.95,459541,13.4,9351,21647,0,45,7.41,108.07,108.99
2026-07-30T03:20:52Z,running,10.95,459560,13.4,9380,21634,0,45,7.41,108.07,108.99
2026-07-30T03:20:53Z,running,11.12,459548,13.4,9372,21628,0,45,7.41,108.07,108.99
2026-07-30T03:20:55Z,running,11.12,459553,13.4,9402,21600,0,45,7.41,108.07,108.99
2026-07-30T03:20:56Z,running,11.12,459281,13.4,9403,21326,0,45,7.41,108.07,108.99
2026-07-30T03:20:58Z,running,10.71,459092,13.4,9412,21126,0,45,7.41,108.07,108.99
2026-07-30T03:20:59Z,running,10.71,458993,13.4,9690,20748,0,45,7.41,108.07,108.99
2026-07-30T03:21:01Z,running,10.71,459005,13.4,9701,20750,0,45,7.41,108.07,108.99
2026-07-30T03:21:03Z,running,10.17,458952,13.4,9706,20693,0,56,5.92,109.00,109.44
2026-07-30T03:21:06Z,running,10.17,458739,13.4,9676,20500,0,56,5.92,109.00,109.44
2026-07-30T03:21:08Z,running,10.24,458667,13.4,9664,20435,0,56,5.92,109.00,109.44
2026-07-30T03:21:09Z,running,10.24,458648,13.4,9666,20412,0,56,5.92,109.00,109.44
2026-07-30T03:21:11Z,running,10.24,458577,13.4,9665,20338,0,56,5.92,109.00,109.44
2026-07-30T03:21:13Z,running,9.74,458510,13.4,9697,20234,0,56,5.92,109.00,109.44
2026-07-30T03:21:14Z,running,9.74,458461,13.4,9693,20183,0,56,5.92,109.00,109.44
2026-07-30T03:21:16Z,running,9.74,458366,13.4,9672,20097,0,56,5.92,109.00,109.44
2026-07-30T03:21:17Z,running,10.08,458252,13.4,9702,19955,0,56,5.92,109.00,109.44
2026-07-30T03:21:19Z,running,10.08,458219,13.4,9705,19915,0,56,5.92,109.00,109.44
2026-07-30T03:21:21Z,running,10.08,475531,13.4,23050,23871,0,56,8.28,111.47,112.16
2026-07-30T03:21:24Z,running,9.67,479704,13.4,25409,25672,0,56,8.28,111.47,112.16
2026-07-30T03:21:26Z,running,9.67,479651,13.4,25397,25627,0,56,8.28,111.47,112.16
