Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785381588,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785381589,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785381590,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785381591,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785381592,8,TTFT,S1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,250.0,249.00544111733325,241.9769450207241,256.672624964267,157.0
1785381592,8,total,S1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,1787.0437040110119,1776.6828901367262,1765.4845479992218,1787.0437040110119,256.0
1785381592,8,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,16,0,260.0,1012.8441656270297,241.9769450207241,1787.0437040110119,206.5
1785381593,8,TTFT,S1,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,16,0,180.0,209.2717268751585,159.32356397388503,256.672624964267,157.0
1785381593,8,total,S1,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,16,0,1700.0,1735.7021865718707,1672.5441489834338,1787.0437040110119,256.0
1785381593,8,,Aggregated,0.000000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,32,0,260.0,972.4869567235146,159.32356397388503,1787.0437040110119,206.5
1785381594,8,TTFT,S1,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,16,0,180.0,209.2717268751585,159.32356397388503,256.672624964267,157.0
1785381594,8,total,S1,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,16,0,1700.0,1735.7021865718707,1672.5441489834338,1787.0437040110119,256.0
1785381594,8,,Aggregated,0.000000,0.000000,1700,1700,1800,1800,1800,1800,1800,1800,1800,1800,1800,32,0,260.0,972.4869567235146,159.32356397388503,1787.0437040110119,206.5
1785381595,8,TTFT,S1,2.000000,0.000000,160,170,180,180,180,180,180,180,180,180,180,24,0,170.0,194.00198249786627,159.32356397388503,256.672624964267,157.0
1785381595,8,total,S1,2.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,24,0,1700.0,1724.634284505252,1672.5441489834338,1787.0437040110119,256.0
1785381595,8,,Aggregated,4.000000,0.000000,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,48,0,260.0,959.3181335015591,159.32356397388503,1787.0437040110119,206.5
1785381596,8,TTFT,S1,2.000000,0.000000,160,170,180,180,180,180,180,180,180,180,180,24,0,170.0,194.00198249786627,159.32356397388503,256.672624964267,157.0
1785381596,8,total,S1,2.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,24,0,1700.0,1724.634284505252,1672.5441489834338,1787.0437040110119,256.0
1785381596,8,,Aggregated,4.000000,0.000000,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,48,0,260.0,959.3181335015591,159.32356397388503,1787.0437040110119,206.5
1785381597,8,TTFT,S1,2.666667,0.000000,160,160,170,170,180,180,180,180,180,180,180,32,0,160.0,186.29116065130802,159.32356397388503,256.672624964267,157.0
1785381597,8,total,S1,2.666667,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,32,0,1700.0,1715.2950780637184,1672.5441489834338,1787.0437040110119,256.0
1785381597,8,,Aggregated,5.333333,0.000000,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,64,0,260.0,950.7931193575132,159.32356397388503,1787.0437040110119,206.5
1785381598,8,TTFT,S1,3.428571,0.000000,160,160,170,170,180,180,180,180,180,180,180,40,0,160.0,181.40838659746805,158.43981399666518,256.672624964267,157.0
1785381598,8,total,S1,3.428571,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,40,0,1700.0,1711.4153496251674,1672.5441489834338,1787.0437040110119,256.0
1785381598,8,,Aggregated,6.857143,0.000000,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,1800,80,0,260.0,946.4118681113177,158.43981399666518,1787.0437040110119,206.5
1785381599,8,TTFT,S1,3.428571,0.000000,160,160,170,170,180,180,180,180,180,180,180,40,0,160.0,181.40838659746805,158.43981399666518,256.672624964267,157.0
