ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T03:23:10Z,8001,4,0,0,0,0.102564,0,2539,645473,3298.97,2539,6823.16,2585
2026-07-30T03:23:10Z,8002,4,0,0,0,0.102564,0,1727,442219,1701.79,1727,3713.72,1758
2026-07-30T03:23:14Z,8001,4,0,0,0,0.102564,0,2547,647549,3298.97,2547,6825.89,2593
2026-07-30T03:23:14Z,8002,0,0,0,0,0,0,1739,444354,1701.79,1739,3716.43,1766
2026-07-30T03:23:15Z,8001,4,0,0,0,0.102564,0,2551,648413,3298.97,2551,6827.38,2597
2026-07-30T03:23:15Z,8002,4,0,0,0,0.102564,0,1739,445283,1701.79,1739,3717.76,1770
2026-07-30T03:23:17Z,8001,4,0,0,0,0.102564,0,2555,649301,3298.97,2555,6828.77,2601
2026-07-30T03:23:17Z,8002,4,0,0,0,0.102564,0,1743,446215,1701.79,1743,3719.09,1774
2026-07-30T03:23:19Z,8001,4,0,0,0,0.102564,0,2559,650229,3298.97,2559,6830.14,2605
2026-07-30T03:23:19Z,8002,4,0,0,0,0.102564,0,1747,447167,1701.79,1747,3720.44,1778
2026-07-30T03:23:20Z,8001,4,0,0,0,0.102564,0,2563,651053,3298.97,2563,6831.53,2609
2026-07-30T03:23:20Z,8002,4,0,0,0,0.102564,0,1751,448011,1701.79,1751,3721.76,1782
2026-07-30T03:23:22Z,8001,4,0,0,0,0.102564,0,2567,651985,3298.97,2567,6832.92,2613
2026-07-30T03:23:22Z,8002,4,0,0,0,0.102564,0,1755,448959,1701.79,1755,3723.11,1786
2026-07-30T03:23:24Z,8001,4,0,0,0,0.102564,0,2571,652869,3298.97,2571,6834.3,2617
2026-07-30T03:23:24Z,8002,4,0,0,0,0.102564,0,1759,449883,1701.79,1759,3724.45,1790
2026-07-30T03:23:25Z,8001,0,0,0,0,0,0,2575,653828,3298.97,2575,6834.3,2617
2026-07-30T03:23:25Z,8002,4,0,0,0,0.102564,0,1763,450751,1701.79,1763,3725.75,1794
2026-07-30T03:23:27Z,8001,4,0,0,0,0.102564,0,2575,654761,3298.97,2575,6835.67,2621
2026-07-30T03:23:27Z,8002,4,0,0,0,0.102564,0,1767,451611,1701.79,1767,3727.07,1798
2026-07-30T03:23:29Z,8001,4,0,0,0,0.102564,0,2579,655633,3298.97,2579,6837.02,2625
2026-07-30T03:23:29Z,8002,0,0,0,0,0,0,1771,452546,1701.79,1771,3727.07,1798
2026-07-30T03:23:32Z,8001,4,0,0,0,0.102564,0,2587,657613,3298.97,2587,6839.81,2633
2026-07-30T03:23:32Z,8002,0,0,0,0,0,0,1779,454594,1701.79,1779,3729.86,1806
2026-07-30T03:23:34Z,8001,4,0,0,0,0.102564,0,2591,658429,3298.97,2591,6841.24,2637
2026-07-30T03:23:34Z,8002,0,0,0,0,0,0,1783,455618,1701.79,1783,3731.19,1810
2026-07-30T03:23:36Z,8001,4,0,0,0,0.102564,0,2595,659261,3298.97,2595,6842.64,2641
2026-07-30T03:23:36Z,8002,4,0,0,0,0.102564,0,1783,456491,1701.79,1783,3732.55,1814
2026-07-30T03:23:37Z,8001,4,0,0,0,0.102564,0,2599,660065,3298.97,2599,6844.04,2645
2026-07-30T03:23:37Z,8002,4,0,0,0,0.102564,0,1787,457323,1701.79,1787,3733.9,1818
2026-07-30T03:23:39Z,8001,0,0,0,0,0,0,2603,660996,3298.97,2603,6844.04,2645
2026-07-30T03:23:39Z,8002,4,0,0,0,0.102564,0,1791,458135,1701.79,1791,3735.27,1822
2026-07-30T03:23:40Z,8001,4,0,0,0,0.102564,0,2603,661841,3298.97,2603,6845.4,2649
2026-07-30T03:23:40Z,8002,4,0,0,0,0.102564,0,1795,458923,1701.79,1795,3736.59,1826
2026-07-30T03:23:42Z,8001,4,0,0,0,0.102564,0,2607,662697,3298.97,2607,6846.76,2653
2026-07-30T03:23:42Z,8002,4,0,0,0,0.102564,0,1799,459791,1701.79,1799,3737.92,1830
2026-07-30T03:23:44Z,8001,4,0,0,0,0.102564,0,2611,663593,3298.97,2611,6848.22,2657
2026-07-30T03:23:44Z,8002,4,0,0,0,0.102564,0,1803,460739,1701.8,1803,3738.23,1831
2026-07-30T03:23:45Z,8001,4,0,0,0,0.102564,0,2615,664433,3298.97,2615,6849.61,2661
2026-07-30T03:23:45Z,8002,0,0,0,0,0,0,1807,461762,1701.8,1807,3739.26,1834
2026-07-30T03:23:47Z,8001,4,0,0,0,0.102564,0,2619,665225,3298.97,2619,6850.98,2665
2026-07-30T03:23:47Z,8002,4,0,0,0,0.102564,0,1807,462647,1701.8,1807,3740.6,1838
2026-07-30T03:23:50Z,8001,0,0,0,0,0,0,2627,667140,3298.97,2627,6852.34,2669
2026-07-30T03:23:50Z,8002,4,0,0,0,0.102564,0,1815,464579,1701.8,1815,3743.31,1846
2026-07-30T03:23:52Z,8001,4,0,0,0,0.102564,0,2627,668073,3298.97,2627,6853.73,2673
2026-07-30T03:23:52Z,8002,4,0,0,0,0.102564,0,1819,465323,1701.8,1819,3744.77,1850
2026-07-30T03:23:53Z,8001,4,0,0,0,0.102564,0,2631,668825,3298.97,2631,6855.12,2677
2026-07-30T03:23:53Z,8002,4,0,0,0,0.102564,0,1823,466083,1701.8,1823,3746.23,1854
2026-07-30T03:23:55Z,8001,4,0,0,0,0.102564,0,2635,669605,3298.97,2635,6856.48,2681
2026-07-30T03:23:55Z,8002,4,0,0,0,0.102564,0,1827,466883,1701.8,1827,3746.54,1855
2026-07-30T03:23:56Z,8001,4,0,0,0,0.102564,0,2639,670365,3298.97,2639,6857.84,2685
2026-07-30T03:23:56Z,8002,4,0,0,0,0.102564,0,1827,467871,1701.8,1827,3747.62,1858
2026-07-30T03:23:58Z,8001,0,0,0,0,0,0,2643,671236,3298.97,2643,6857.84,2685
2026-07-30T03:23:58Z,8002,4,0,0,0,0.102564,0,1831,468715,1701.8,1831,3748.94,1862
2026-07-30T03:23:59Z,8001,4,0,0,0,0.102564,0,2643,672189,3298.97,2643,6859.2,2689
2026-07-30T03:23:59Z,8002,4,0,0,0,0.102564,0,1835,469511,1701.8,1835,3750.26,1866
2026-07-30T03:24:01Z,8001,4,0,0,0,0.102564,0,2647,672985,3298.97,2647,6860.58,2693
2026-07-30T03:24:01Z,8002,4,0,0,0,0.102564,0,1839,470327,1701.8,1839,3751.55,1870
2026-07-30T03:24:03Z,8001,4,0,0,0,0.102564,0,2651,673741,3298.97,2651,6861.93,2697
2026-07-30T03:24:03Z,8002,4,0,0,0,0.102564,0,1843,471103,1701.8,1843,3752.89,1874
2026-07-30T03:24:04Z,8001,4,0,0,0,0.102564,0,2655,674489,3298.97,2655,6863.3,2701
2026-07-30T03:24:04Z,8002,0,0,0,0,0,0,1847,472002,1701.8,1847,3752.89,1874
2026-07-30T03:24:08Z,8001,4,0,0,0,0.102564,0,2663,676441,3298.97,2663,6866.05,2709
2026-07-30T03:24:08Z,8002,0,0,0,0,0,0,1855,474050,1701.8,1855,3755.6,1882
2026-07-30T03:24:09Z,8001,0,0,0,0,0,0,2667,677380,3298.97,2667,6866.05,2709
2026-07-30T03:24:09Z,8002,4,0,0,0,0.102564,0,1855,474871,1701.8,1855,3756.98,1886
2026-07-30T03:24:11Z,8001,4,0,0,0,0.102564,0,2667,678193,3298.97,2667,6867.43,2713
2026-07-30T03:24:11Z,8002,4,0,0,0,0.102564,0,1859,475631,1701.8,1859,3758.38,1890
2026-07-30T03:24:12Z,8001,4,0,0,0,0.102564,0,2671,678985,3298.97,2671,6868.8,2717
2026-07-30T03:24:12Z,8002,4,0,0,0,0.102564,0,1863,476443,1701.8,1863,3759.75,1894
2026-07-30T03:24:14Z,8001,4,0,0,0,0.102564,0,2675,679761,3298.97,2675,6870.16,2721
2026-07-30T03:24:14Z,8002,4,0,0,0,0.102564,0,1867,477239,1701.8,1867,3761.1,1898
2026-07-30T03:24:15Z,8001,4,0,0,0,0.102564,0,2679,680525,3298.97,2679,6871.62,2725
2026-07-30T03:24:15Z,8002,0,0,0,0,0,0,1871,478146,1701.8,1871,3761.1,1898
2026-07-30T03:24:17Z,8001,0,0,0,0,0,0,2683,681476,3298.97,2683,6871.62,2725
