ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T03:23:10Z,0,99,31736,291.77,54,2812
2026-07-30T03:23:10Z,1,74,31854,329.31,57,2887
2026-07-30T03:23:10Z,2,0,1,14.29,34,210
2026-07-30T03:23:10Z,3,0,1,19.46,32,210
2026-07-30T03:23:10Z,4,0,29902,18.67,31,210
2026-07-30T03:23:10Z,5,0,29900,15.01,33,210
2026-07-30T03:23:10Z,6,0,4,11.75,38,210
2026-07-30T03:23:10Z,7,0,4,12.00,37,210
2026-07-30T03:23:14Z,0,99,31736,292.09,55,2812
2026-07-30T03:23:14Z,1,74,31854,330.51,58,2910
2026-07-30T03:23:14Z,2,0,1,14.65,34,210
2026-07-30T03:23:14Z,3,0,1,18.35,32,210
2026-07-30T03:23:14Z,4,0,29902,17.92,31,210
2026-07-30T03:23:14Z,5,0,29900,14.03,33,210
2026-07-30T03:23:14Z,6,0,4,11.93,38,210
2026-07-30T03:23:14Z,7,0,4,11.63,37,210
2026-07-30T03:23:15Z,0,99,31736,292.48,56,2812
2026-07-30T03:23:15Z,1,99,31854,335.88,53,2910
2026-07-30T03:23:15Z,2,0,1,13.09,34,210
2026-07-30T03:23:15Z,3,0,1,17.67,32,210
2026-07-30T03:23:15Z,4,0,29902,16.47,31,210
2026-07-30T03:23:15Z,5,0,29900,15.40,33,210
2026-07-30T03:23:15Z,6,0,1,11.29,38,210
2026-07-30T03:23:15Z,7,0,4,13.94,37,210
2026-07-30T03:23:17Z,0,99,31736,291.99,56,2812
2026-07-30T03:23:17Z,1,99,31854,332.18,55,2910
2026-07-30T03:23:17Z,2,0,1,13.24,34,210
2026-07-30T03:23:17Z,3,0,1,19.91,32,210
2026-07-30T03:23:17Z,4,0,29902,16.99,31,210
2026-07-30T03:23:17Z,5,0,29900,16.05,33,210
2026-07-30T03:23:17Z,6,0,1,13.92,38,210
2026-07-30T03:23:17Z,7,0,4,11.40,37,210
2026-07-30T03:23:19Z,0,99,31736,332.30,56,2812
2026-07-30T03:23:19Z,1,99,31854,334.78,55,2910
2026-07-30T03:23:19Z,2,0,1,14.45,34,210
2026-07-30T03:23:19Z,3,0,1,17.63,32,210
2026-07-30T03:23:19Z,4,0,29902,17.12,31,210
2026-07-30T03:23:19Z,5,0,29900,15.29,33,210
2026-07-30T03:23:19Z,6,0,1,12.66,38,210
2026-07-30T03:23:19Z,7,0,4,14.19,37,210
2026-07-30T03:23:20Z,0,99,31736,328.98,56,2812
2026-07-30T03:23:20Z,1,99,31854,352.11,55,2910
2026-07-30T03:23:20Z,2,0,1,14.16,34,210
2026-07-30T03:23:20Z,3,0,1,18.82,32,210
2026-07-30T03:23:20Z,4,0,29902,16.37,31,210
2026-07-30T03:23:20Z,5,0,29900,17.46,33,210
2026-07-30T03:23:20Z,6,0,1,11.49,38,210
2026-07-30T03:23:20Z,7,0,4,11.70,36,210
2026-07-30T03:23:22Z,0,99,31736,323.97,56,2820
2026-07-30T03:23:22Z,1,99,31854,370.40,55,2910
2026-07-30T03:23:22Z,2,0,1,15.08,34,210
2026-07-30T03:23:22Z,3,0,1,16.96,32,210
2026-07-30T03:23:22Z,4,0,29902,18.39,31,210
2026-07-30T03:23:22Z,5,0,29900,14.63,33,210
2026-07-30T03:23:22Z,6,0,1,11.61,38,210
2026-07-30T03:23:22Z,7,0,4,13.97,36,210
2026-07-30T03:23:24Z,0,99,31736,331.07,56,2775
2026-07-30T03:23:24Z,1,99,31854,368.29,55,2917
2026-07-30T03:23:24Z,2,0,1,12.55,34,210
2026-07-30T03:23:24Z,3,0,1,20.24,32,202
2026-07-30T03:23:24Z,4,0,29902,17.38,31,210
2026-07-30T03:23:24Z,5,0,29900,16.95,33,210
2026-07-30T03:23:24Z,6,0,1,11.66,38,210
2026-07-30T03:23:24Z,7,0,4,11.59,36,210
2026-07-30T03:23:25Z,0,100,31736,305.90,62,2797
2026-07-30T03:23:25Z,1,99,31854,369.48,56,2917
2026-07-30T03:23:25Z,2,0,1,15.45,34,210
2026-07-30T03:23:25Z,3,0,1,18.39,32,210
2026-07-30T03:23:25Z,4,0,29902,18.63,31,210
2026-07-30T03:23:25Z,5,0,29900,15.57,33,210
2026-07-30T03:23:25Z,6,0,1,11.96,38,210
2026-07-30T03:23:25Z,7,0,4,13.61,36,210
2026-07-30T03:23:27Z,0,99,31736,295.53,56,2812
2026-07-30T03:23:27Z,1,99,31854,367.74,56,2790
2026-07-30T03:23:27Z,2,0,1,12.91,34,210
2026-07-30T03:23:27Z,3,0,1,18.66,32,210
2026-07-30T03:23:27Z,4,0,29902,16.34,31,210
2026-07-30T03:23:27Z,5,0,29900,18.06,33,210
2026-07-30T03:23:27Z,6,0,1,11.92,38,210
2026-07-30T03:23:27Z,7,0,4,12.61,36,210
2026-07-30T03:23:29Z,0,99,31736,291.45,56,2812
2026-07-30T03:23:29Z,1,99,31854,356.70,57,2805
2026-07-30T03:23:29Z,2,0,1,15.91,34,210
2026-07-30T03:23:29Z,3,0,1,18.07,32,210
2026-07-30T03:23:29Z,4,0,29902,18.46,31,210
2026-07-30T03:23:29Z,5,0,29900,15.80,33,210
2026-07-30T03:23:29Z,6,0,760,51.59,39,2452
2026-07-30T03:23:29Z,7,0,4,12.83,36,210
2026-07-30T03:23:32Z,0,99,31736,289.93,56,2812
2026-07-30T03:23:32Z,1,99,31854,366.92,57,2782
2026-07-30T03:23:32Z,2,0,1,15.43,34,210
2026-07-30T03:23:32Z,3,0,1,19.52,32,210
2026-07-30T03:23:32Z,4,0,29902,17.57,31,210
2026-07-30T03:23:32Z,5,0,29900,16.56,33,210
2026-07-30T03:23:32Z,6,0,760,64.94,39,2430
2026-07-30T03:23:32Z,7,0,4,12.48,36,210
2026-07-30T03:23:34Z,0,99,31736,330.00,56,2812
2026-07-30T03:23:34Z,1,65,31854,331.71,58,2910
2026-07-30T03:23:34Z,2,0,1,13.47,34,210
2026-07-30T03:23:34Z,3,0,1,18.09,32,210
2026-07-30T03:23:34Z,4,0,29902,16.76,31,210
2026-07-30T03:23:34Z,5,0,29900,15.91,33,210
2026-07-30T03:23:34Z,6,0,760,65.19,39,2430
2026-07-30T03:23:34Z,7,0,4,13.10,36,210
2026-07-30T03:23:36Z,0,99,31736,325.16,56,2812
2026-07-30T03:23:36Z,1,99,31854,334.57,56,2910
2026-07-30T03:23:36Z,2,0,1,14.14,34,210
2026-07-30T03:23:36Z,3,0,1,18.60,32,202
2026-07-30T03:23:36Z,4,0,29902,18.50,31,210
2026-07-30T03:23:36Z,5,0,29900,14.78,33,210
2026-07-30T03:23:36Z,6,0,1292,65.87,39,2430
2026-07-30T03:23:36Z,7,0,1,14.03,36,210
2026-07-30T03:23:37Z,0,99,31736,329.64,57,2820
2026-07-30T03:23:37Z,1,99,31854,336.70,56,2910
2026-07-30T03:23:37Z,2,0,1,15.13,34,210
2026-07-30T03:23:37Z,3,0,1,16.75,32,210
2026-07-30T03:23:37Z,4,0,29902,16.73,31,210
2026-07-30T03:23:37Z,5,0,29900,15.71,33,210
2026-07-30T03:23:37Z,6,0,1292,64.44,39,2430
2026-07-30T03:23:37Z,7,0,1,12.85,36,202
2026-07-30T03:23:39Z,0,76,31736,295.06,58,2775
2026-07-30T03:23:39Z,1,99,31854,368.76,56,2917
2026-07-30T03:23:39Z,2,0,1,12.82,34,210
2026-07-30T03:23:39Z,3,0,1,20.57,32,210
2026-07-30T03:23:39Z,4,0,29902,17.40,31,210
2026-07-30T03:23:39Z,5,0,29900,16.62,33,210
2026-07-30T03:23:39Z,6,0,1292,67.08,39,2430
2026-07-30T03:23:39Z,7,0,1,12.18,36,210
2026-07-30T03:23:40Z,0,99,31736,292.25,56,2812
2026-07-30T03:23:40Z,1,99,31854,368.70,56,2917
2026-07-30T03:23:40Z,2,0,1,14.81,34,210
2026-07-30T03:23:40Z,3,0,1,19.14,32,210
2026-07-30T03:23:40Z,4,0,29902,18.68,31,210
2026-07-30T03:23:40Z,5,0,29900,15.44,33,210
2026-07-30T03:23:40Z,6,0,1860,68.79,39,2460
2026-07-30T03:23:40Z,7,0,1,14.05,36,210
2026-07-30T03:23:42Z,0,99,31736,294.74,57,2812
2026-07-30T03:23:42Z,1,99,31854,364.35,56,2842
2026-07-30T03:23:42Z,2,0,1,12.09,34,210
2026-07-30T03:23:42Z,3,0,1,18.43,32,202
2026-07-30T03:23:42Z,4,0,29902,16.43,31,210
2026-07-30T03:23:42Z,5,0,29900,17.23,33,210
2026-07-30T03:23:42Z,6,0,1862,70.45,39,2437
2026-07-30T03:23:42Z,7,0,1,12.10,36,210
2026-07-30T03:23:44Z,0,99,31736,298.08,57,2812
2026-07-30T03:23:44Z,1,99,31854,367.25,57,2782
2026-07-30T03:23:44Z,2,0,1,14.92,34,210
2026-07-30T03:23:44Z,3,0,1,17.36,32,210
2026-07-30T03:23:44Z,4,0,29902,18.68,31,210
2026-07-30T03:23:44Z,5,0,29900,14.79,33,210
2026-07-30T03:23:44Z,6,100,6782,382.54,49,2100
2026-07-30T03:23:44Z,7,0,1,12.82,36,202
2026-07-30T03:23:45Z,0,99,31736,326.83,57,2812
2026-07-30T03:23:45Z,1,72,31854,332.04,59,2910
2026-07-30T03:23:45Z,2,0,1,13.81,34,210
2026-07-30T03:23:45Z,3,0,1,17.96,32,210
2026-07-30T03:23:45Z,4,0,29902,16.80,31,210
2026-07-30T03:23:45Z,5,0,29900,17.71,33,210
2026-07-30T03:23:45Z,6,100,9394,450.31,50,1530
2026-07-30T03:23:45Z,7,0,1,12.68,36,210
2026-07-30T03:23:47Z,0,99,31736,326.79,57,2797
2026-07-30T03:23:47Z,1,99,31854,333.82,56,2910
2026-07-30T03:23:47Z,2,0,1,14.83,34,210
2026-07-30T03:23:47Z,3,0,1,18.34,32,210
2026-07-30T03:23:47Z,4,0,29902,18.72,31,210
2026-07-30T03:23:47Z,5,0,29900,15.97,33,210
2026-07-30T03:23:47Z,6,100,9970,449.88,51,1815
2026-07-30T03:23:47Z,7,0,1,11.91,36,210
2026-07-30T03:23:50Z,0,99,31736,329.30,59,2752
2026-07-30T03:23:50Z,1,99,31854,334.36,56,2910
2026-07-30T03:23:50Z,2,0,1,14.49,34,210
2026-07-30T03:23:50Z,3,0,1,19.19,32,210
2026-07-30T03:23:50Z,4,0,29902,17.07,31,210
2026-07-30T03:23:50Z,5,0,29900,16.63,33,210
2026-07-30T03:23:50Z,6,1,19124,223.06,43,2917
2026-07-30T03:23:50Z,7,0,760,63.30,37,2430
2026-07-30T03:23:52Z,0,99,31736,293.41,57,2812
2026-07-30T03:23:52Z,1,99,31854,358.78,57,2917
2026-07-30T03:23:52Z,2,0,1,15.20,34,210
2026-07-30T03:23:52Z,3,0,1,16.92,32,210
2026-07-30T03:23:52Z,4,0,29902,17.52,31,210
2026-07-30T03:23:52Z,5,0,29900,15.91,33,210
2026-07-30T03:23:52Z,6,100,21430,387.11,52,2775
2026-07-30T03:23:52Z,7,0,760,62.80,37,2430
2026-07-30T03:23:53Z,0,99,31736,293.87,57,2812
2026-07-30T03:23:53Z,1,99,31854,359.27,57,2917
2026-07-30T03:23:53Z,2,0,1,13.14,34,210
2026-07-30T03:23:53Z,3,0,1,18.57,32,210
2026-07-30T03:23:53Z,4,0,29902,17.02,31,210
2026-07-30T03:23:53Z,5,0,29900,18.49,33,210
2026-07-30T03:23:53Z,6,67,21430,370.48,49,2827
2026-07-30T03:23:53Z,7,0,972,61.47,37,2430
2026-07-30T03:23:55Z,0,99,31736,327.55,57,2812
2026-07-30T03:23:55Z,1,99,31854,365.26,60,2782
2026-07-30T03:23:55Z,2,0,1,15.91,34,210
2026-07-30T03:23:55Z,3,0,1,17.04,32,210
2026-07-30T03:23:55Z,4,0,29902,17.92,31,210
2026-07-30T03:23:55Z,5,0,29900,15.35,33,210
2026-07-30T03:23:55Z,6,99,21430,254.93,52,2917
2026-07-30T03:23:55Z,7,0,1264,64.25,37,2430
2026-07-30T03:23:56Z,0,99,31736,330.32,57,2782
2026-07-30T03:23:56Z,1,62,31854,330.43,60,2910
2026-07-30T03:23:56Z,2,0,1,13.27,34,210
2026-07-30T03:23:56Z,3,0,1,17.43,32,210
2026-07-30T03:23:56Z,4,0,29902,15.81,31,210
2026-07-30T03:23:56Z,5,0,29900,16.64,33,210
2026-07-30T03:23:56Z,6,10,21430,363.28,46,2842
2026-07-30T03:23:56Z,7,0,1264,60.92,37,2437
2026-07-30T03:23:58Z,0,100,31736,311.62,63,2790
2026-07-30T03:23:58Z,1,99,31854,335.75,57,2910
