ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T03:23:10Z,running,9.00,463428,13.4,23720,10705,0,25,6.98,219.22,109.38
2026-07-30T03:23:14Z,running,8.68,466279,13.4,23769,13506,0,25,6.98,219.22,109.38
2026-07-30T03:23:15Z,running,8.68,468374,13.4,23782,15588,0,25,6.98,219.22,109.38
2026-07-30T03:23:17Z,running,8.54,468288,13.4,23797,15482,0,25,6.98,219.22,109.38
2026-07-30T03:23:19Z,running,8.54,466717,13.4,23783,13937,0,25,6.98,219.22,109.38
2026-07-30T03:23:20Z,running,8.54,465441,13.4,23754,12696,0,25,6.98,219.22,109.38
2026-07-30T03:23:22Z,running,8.34,476225,13.4,25324,21923,0,25,6.98,219.22,109.38
2026-07-30T03:23:24Z,running,8.34,476000,13.4,25323,21700,0,25,6.98,219.22,109.38
2026-07-30T03:23:25Z,running,8.34,475911,13.4,25338,21596,0,25,6.98,219.22,109.38
2026-07-30T03:23:27Z,running,8.15,475612,13.4,25347,21283,0,25,6.98,219.22,109.38
2026-07-30T03:23:29Z,running,8.15,474432,13.4,25384,20011,0,44,5.64,144.61,218.87
2026-07-30T03:23:32Z,running,8.86,471715,13.4,24729,17568,0,44,5.64,144.61,218.87
2026-07-30T03:23:34Z,running,8.86,475292,13.4,24629,21003,0,44,5.64,144.61,218.87
2026-07-30T03:23:36Z,running,8.86,475880,13.4,24679,21468,0,44,5.64,144.61,218.87
2026-07-30T03:23:37Z,running,9.19,475620,13.4,24678,21135,0,44,5.64,144.61,218.87
2026-07-30T03:23:39Z,running,9.19,475317,13.4,24660,20881,0,44,5.64,144.61,218.87
2026-07-30T03:23:40Z,running,9.19,475293,13.4,24653,20861,0,44,5.64,144.61,218.87
2026-07-30T03:23:42Z,running,8.94,475157,13.4,24642,20751,0,44,5.64,144.61,218.87
2026-07-30T03:23:44Z,running,8.94,474860,13.4,24638,20458,0,44,5.64,144.61,218.87
2026-07-30T03:23:45Z,running,8.94,474856,13.4,24631,20460,0,44,5.64,144.61,218.87
2026-07-30T03:23:47Z,running,8.94,474810,13.4,24652,20390,0,48,6.46,228.86,175.45
2026-07-30T03:23:50Z,running,8.54,471186,13.4,24416,16846,0,48,6.46,228.86,175.45
2026-07-30T03:23:52Z,running,8.54,470568,13.4,23847,16498,0,48,6.46,228.86,175.45
2026-07-30T03:23:53Z,running,8.82,470000,13.4,23228,16281,0,48,6.46,228.86,175.45
2026-07-30T03:23:55Z,running,8.82,469283,13.4,22660,15797,0,48,6.46,228.86,175.45
2026-07-30T03:23:56Z,running,8.82,468698,13.4,23149,14508,0,48,6.46,228.86,175.45
2026-07-30T03:23:58Z,running,8.67,469007,13.4,23291,14536,0,48,6.46,228.86,175.45
2026-07-30T03:23:59Z,running,8.67,468064,13.4,22920,13895,0,48,6.46,228.86,175.45
2026-07-30T03:24:01Z,running,8.67,468677,13.4,23349,13965,0,48,6.46,228.86,175.45
2026-07-30T03:24:03Z,running,10.94,468546,13.4,23427,13628,0,48,6.46,228.86,175.45
2026-07-30T03:24:04Z,running,10.94,468506,13.4,23449,13519,0,44,7.76,189.28,221.63
2026-07-30T03:24:08Z,running,11.27,468490,13.4,23287,13376,0,44,7.76,189.28,221.63
2026-07-30T03:24:09Z,running,11.27,467840,13.4,23197,12696,0,44,7.76,189.28,221.63
2026-07-30T03:24:11Z,running,11.27,467823,13.4,22233,13534,0,44,7.76,189.28,221.63
2026-07-30T03:24:12Z,running,11.24,467873,13.4,22688,12955,0,44,7.76,189.28,221.63
2026-07-30T03:24:14Z,running,11.24,468527,13.4,23295,12775,0,44,7.76,189.28,221.63
2026-07-30T03:24:15Z,running,11.24,468283,13.4,23209,12293,0,44,7.76,189.28,221.63
2026-07-30T03:24:17Z,running,11.24,468341,13.4,23165,12176,0,44,7.76,189.28,221.63
2026-07-30T03:24:18Z,running,10.90,468224,13.4,23775,11281,0,44,7.76,189.28,221.63
2026-07-30T03:24:20Z,running,10.90,467594,13.4,23785,10379,0,44,7.76,189.28,221.63
2026-07-30T03:24:22Z,running,10.90,467564,13.4,23942,9989,0,44,6.35,217.60,108.98
2026-07-30T03:24:25Z,running,11.87,468845,13.4,24209,10488,0,44,6.35,217.60,108.98
2026-07-30T03:24:27Z,running,11.87,468182,13.4,24107,9690,0,44,6.35,217.60,108.98
2026-07-30T03:24:28Z,running,12.76,469398,13.4,23778,11040,0,44,6.35,217.60,108.98
2026-07-30T03:24:30Z,running,12.76,468785,13.4,24022,10032,0,44,6.35,217.60,108.98
2026-07-30T03:24:31Z,running,12.76,469280,13.4,24287,10119,0,44,6.35,217.60,108.98
2026-07-30T03:24:33Z,running,15.10,469730,13.4,24410,10359,0,44,6.35,217.60,108.98
2026-07-30T03:24:34Z,running,15.10,470009,13.4,24169,10617,0,44,6.35,217.60,108.98
2026-07-30T03:24:36Z,running,15.10,469910,13.4,23779,10736,0,44,6.35,217.60,108.98
2026-07-30T03:24:37Z,running,14.78,469617,13.4,23924,10109,0,44,6.35,217.60,108.98
2026-07-30T03:24:39Z,running,14.78,471594,13.7,24771,11467,0,52,8.21,216.77,219.20
2026-07-30T03:24:42Z,running,14.15,468818,13.7,19846,13302,0,52,8.21,216.77,219.20
2026-07-30T03:24:44Z,running,14.15,468389,13.7,19649,13068,0,52,8.21,216.77,219.20
2026-07-30T03:24:45Z,running,14.15,468051,13.7,19329,13157,0,52,8.21,216.77,219.20
2026-07-30T03:24:47Z,running,14.15,466244,13.7,19130,11529,0,52,8.21,216.77,219.20
2026-07-30T03:24:48Z,running,14.46,467023,13.7,19094,12256,0,52,8.21,216.77,219.20
2026-07-30T03:24:50Z,running,14.46,466882,13.7,19138,12072,0,52,8.21,216.77,219.20
2026-07-30T03:24:52Z,running,14.46,465854,13.7,19101,11081,0,52,8.21,216.77,219.20
2026-07-30T03:24:53Z,running,16.59,465676,13.7,19236,10736,0,52,8.21,216.77,219.20
2026-07-30T03:24:55Z,running,16.59,465877,13.7,18775,11425,0,52,8.21,216.77,219.20
2026-07-30T03:24:56Z,running,16.59,466542,13.7,19465,11405,0,64,8.35,225.43,226.27
2026-07-30T03:25:00Z,running,15.90,466034,13.7,19600,10749,0,64,8.35,225.43,226.27
2026-07-30T03:25:01Z,running,15.90,466196,13.7,19251,11251,0,64,8.35,225.43,226.27
2026-07-30T03:25:03Z,running,16.07,466055,13.7,19223,11245,0,64,8.35,225.43,226.27
2026-07-30T03:25:04Z,running,16.07,466151,13.7,18525,12005,0,64,8.35,225.43,226.27
2026-07-30T03:25:06Z,running,16.07,466360,13.7,19199,11558,0,64,8.35,225.43,226.27
2026-07-30T03:25:07Z,running,15.42,467180,13.7,20430,11075,0,64,8.35,225.43,226.27
2026-07-30T03:25:09Z,running,15.42,467246,13.7,20453,11122,0,64,8.35,225.43,226.27
2026-07-30T03:25:10Z,running,15.42,466918,13.7,20489,10750,0,64,8.35,225.43,226.27
2026-07-30T03:25:12Z,running,15.42,466534,13.7,20339,10521,0,64,8.35,225.43,226.27
2026-07-30T03:25:13Z,running,14.83,466519,13.6,20704,10136,0,68,7.39,220.49,223.76
2026-07-30T03:25:17Z,running,14.83,466547,13.6,20981,9879,0,68,7.39,220.49,223.76
2026-07-30T03:25:18Z,running,14.68,466489,13.6,21323,9486,0,68,7.39,220.49,223.76
2026-07-30T03:25:20Z,running,14.68,466766,13.6,21551,9542,0,68,7.39,220.49,223.76
2026-07-30T03:25:22Z,running,14.68,467416,13.6,21914,9830,0,68,7.39,220.49,223.76
2026-07-30T03:25:23Z,running,13.98,467664,13.6,21900,10282,0,68,7.39,220.49,223.76
2026-07-30T03:25:25Z,running,13.98,468061,13.6,22259,10127,0,68,7.39,220.49,223.76
2026-07-30T03:25:26Z,running,13.98,468323,13.6,21793,10854,0,68,7.39,220.49,223.76
2026-07-30T03:25:28Z,running,15.67,469365,13.6,22376,11307,0,68,7.39,220.49,223.76
2026-07-30T03:25:29Z,running,15.67,467570,13.6,22363,9517,0,68,7.39,220.49,223.76
2026-07-30T03:25:31Z,running,15.67,469587,13.6,22849,11060,0,64,8.03,212.83,222.13
2026-07-30T03:25:34Z,running,17.54,466329,13.6,19524,11132,0,64,8.03,212.83,222.13
2026-07-30T03:25:36Z,running,17.54,466511,13.6,19887,10937,0,64,8.03,212.83,222.13
2026-07-30T03:25:37Z,running,16.77,466159,13.6,19481,11139,0,64,8.03,212.83,222.13
2026-07-30T03:25:39Z,running,16.77,466495,13.6,20011,10796,0,64,8.03,212.83,222.13
2026-07-30T03:25:40Z,running,16.77,466761,13.6,19640,11447,0,64,8.03,212.83,222.13
2026-07-30T03:25:42Z,running,16.77,466107,13.6,19723,10683,0,64,8.03,212.83,222.13
2026-07-30T03:25:44Z,running,16.55,467336,13.6,20286,11379,0,64,8.03,212.83,222.13
2026-07-30T03:25:45Z,running,16.55,466682,13.6,19217,11794,0,64,8.03,212.83,222.13
2026-07-30T03:25:47Z,running,16.55,467323,13.6,20077,11554,0,64,8.03,212.83,222.13
2026-07-30T03:25:48Z,running,16.27,466409,13.7,20570,10153,0,64,7.50,234.12,225.09
2026-07-30T03:25:52Z,running,16.27,467164,13.7,21670,9811,0,64,7.50,234.12,225.09
2026-07-30T03:25:53Z,running,16.64,467066,13.7,21302,10076,0,64,7.50,234.12,225.09
2026-07-30T03:25:55Z,running,16.64,466576,13.7,21792,9111,0,64,7.50,234.12,225.09
2026-07-30T03:25:56Z,running,16.64,466149,13.7,22182,8313,0,64,7.50,234.12,225.09
2026-07-30T03:25:58Z,running,16.43,466779,13.7,21866,9240,0,64,7.50,234.12,225.09
2026-07-30T03:25:59Z,running,16.43,466429,13.7,21498,9238,0,64,7.50,234.12,225.09
2026-07-30T03:26:01Z,running,16.43,467203,13.7,21654,9861,0,64,7.50,234.12,225.09
2026-07-30T03:26:02Z,running,15.76,468012,13.7,22364,9976,0,64,7.50,234.12,225.09
2026-07-30T03:26:04Z,running,15.76,467314,13.7,21569,10045,0,64,7.50,234.12,225.09
