ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T03:26:25Z,8001,3,0,0,0,0.102564,0,2999,762990,3298.97,2999,6987.52,3046
2026-07-30T03:26:25Z,8002,3,0,0,0,0.102564,0,2196,562353,1701.8,2196,3882,2232
2026-07-30T03:26:28Z,8001,4,0,0,0,0.179487,0,2999,762996,3298.97,2999,6998.94,3048
2026-07-30T03:26:28Z,8002,4,0,0,0,0.179487,0,2196,562359,1701.8,2196,3893.37,2234
2026-07-30T03:26:30Z,8001,4,0,0,0,0.205128,0,2999,763383,3298.97,2999,7006.41,3049
2026-07-30T03:26:30Z,8002,4,0,0,0,0.205128,0,2196,562778,1701.8,2196,3900.82,2235
2026-07-30T03:26:31Z,8001,0,0,0,0,0,0,3003,764013,3298.97,3003,7006.41,3049
2026-07-30T03:26:31Z,8002,0,0,0,0,0,0,2200,563376,1701.8,2200,3900.82,2235
2026-07-30T03:26:33Z,8001,0,0,0,0,0,0,3003,764013,3298.97,3003,7006.41,3049
2026-07-30T03:26:33Z,8002,0,0,0,0,0,0,2200,563376,1701.8,2200,3900.82,2235
2026-07-30T03:26:34Z,8001,3,0,0,0,0.102564,0,3003,764014,3298.97,3003,7008.8,3050
2026-07-30T03:26:34Z,8002,3,0,0,0,0.102564,0,2200,563377,1701.8,2200,3903.16,2236
2026-07-30T03:26:36Z,8001,4,0,0,0,0.153846,0,3003,764015,3298.97,3003,7008.8,3050
2026-07-30T03:26:36Z,8002,4,0,0,0,0.153846,0,2200,563378,1701.8,2200,3903.16,2236
2026-07-30T03:26:37Z,8001,4,0,0,0,0.179487,0,3003,764020,3298.97,3003,7020.09,3052
2026-07-30T03:26:37Z,8002,4,0,0,0,0.179487,0,2200,563383,1701.8,2200,3914.34,2238
2026-07-30T03:26:39Z,8001,4,0,0,0,0.205128,0,3003,764383,3298.97,3003,7027.5,3053
2026-07-30T03:26:39Z,8002,4,0,0,0,0.205128,0,2200,563814,1701.8,2200,3921.69,2239
2026-07-30T03:26:40Z,8001,0,0,0,0,0,0,3007,765037,3298.97,3007,7027.5,3053
2026-07-30T03:26:40Z,8002,0,0,0,0,0,0,2204,564400,1701.8,2204,3921.69,2239
2026-07-30T03:26:42Z,8001,0,0,0,0,0,0,3007,765037,3298.97,3007,7027.5,3053
2026-07-30T03:26:42Z,8002,0,0,0,0,0,0,2204,564400,1701.8,2204,3921.69,2239
2026-07-30T03:26:45Z,8001,4,0,0,0,0.153846,0,3007,765039,3298.97,3007,7029.91,3054
2026-07-30T03:26:45Z,8002,4,0,0,0,0.179487,0,2204,564404,1701.8,2204,3929.59,2241
2026-07-30T03:26:47Z,8001,4,0,0,0,0.179487,0,3007,765044,3298.97,3007,7041.23,3056
2026-07-30T03:26:47Z,8002,4,0,0,0,0.179487,0,2204,564407,1701.8,2204,3935.3,2242
2026-07-30T03:26:48Z,8001,4,0,0,0,0.205128,0,3007,765671,3298.97,3007,7048.68,3057
2026-07-30T03:26:48Z,8002,4,0,0,0,0.205128,0,2204,565138,1701.8,2204,3942.73,2243
2026-07-30T03:26:50Z,8001,0,0,0,0,0,0,3011,766061,3298.97,3011,7048.68,3057
2026-07-30T03:26:50Z,8002,0,0,0,0,0,0,2208,565424,1701.8,2208,3942.73,2243
2026-07-30T03:26:51Z,8001,3,0,0,0,0.102564,0,3011,766062,3298.97,3011,7051.07,3058
2026-07-30T03:26:51Z,8002,3,0,0,0,0.102564,0,2208,565425,1701.8,2208,3945.1,2244
2026-07-30T03:26:53Z,8001,4,0,0,0,0.153846,0,3011,766063,3298.97,3011,7051.07,3058
2026-07-30T03:26:53Z,8002,4,0,0,0,0.153846,0,2208,565426,1701.8,2208,3945.1,2244
2026-07-30T03:26:54Z,8001,4,0,0,0,0.153846,0,3011,766063,3298.97,3011,7051.07,3058
2026-07-30T03:26:54Z,8002,4,0,0,0,0.179487,0,2208,565428,1701.8,2208,3950.64,2245
2026-07-30T03:26:56Z,8001,4,0,0,0,0.179487,0,3011,766068,3298.97,3011,7062.37,3060
2026-07-30T03:26:56Z,8002,4,0,0,0,0.179487,0,2208,565431,1701.8,2208,3956.36,2246
2026-07-30T03:26:57Z,8001,4,0,0,0,0.205128,0,3011,766755,3298.97,3011,7069.82,3061
2026-07-30T03:26:57Z,8002,4,0,0,0,0.205128,0,2208,566282,1701.8,2208,3963.76,2247
2026-07-30T03:26:59Z,8001,0,0,0,0,0,0,3015,767085,3298.97,3015,7069.82,3061
2026-07-30T03:26:59Z,8002,0,0,0,0,0,0,2212,566448,1701.8,2212,3963.76,2247
2026-07-30T03:27:02Z,8001,4,0,0,0,0.153846,0,3015,767087,3298.97,3015,7072.22,3062
2026-07-30T03:27:02Z,8002,4,0,0,0,0.153846,0,2212,566450,1701.8,2212,3966.15,2248
2026-07-30T03:27:04Z,8001,4,0,0,0,0.179487,0,3015,767092,3298.97,3015,7083.52,3064
2026-07-30T03:27:04Z,8002,4,0,0,0,0.179487,0,2212,566455,1701.8,2212,3977.43,2250
2026-07-30T03:27:05Z,8001,4,0,0,0,0.205128,0,3015,767187,3298.97,3015,7090.96,3065
2026-07-30T03:27:05Z,8002,4,0,0,0,0.205128,0,2212,566738,1701.8,2212,3984.84,2251
2026-07-30T03:27:07Z,8001,0,0,0,0,0,0,3019,768109,3298.98,3019,7090.96,3065
2026-07-30T03:27:07Z,8002,0,0,0,0,0,0,2216,567472,1701.8,2216,3984.84,2251
2026-07-30T03:27:09Z,8001,0,0,0,0,0,0,3019,768109,3298.98,3019,7090.96,3065
2026-07-30T03:27:09Z,8002,0,0,0,0,0,0,2216,567472,1701.8,2216,3984.84,2251
2026-07-30T03:27:10Z,8001,3,0,0,0,0.102564,0,3019,768110,3298.98,3019,7093.37,3066
2026-07-30T03:27:10Z,8002,3,0,0,0,0.102564,0,2216,567473,1701.8,2216,3987.17,2252
2026-07-30T03:27:12Z,8001,4,0,0,0,0.153846,0,3019,768111,3298.98,3019,7093.37,3066
2026-07-30T03:27:12Z,8002,4,0,0,0,0.153846,0,2216,567474,1701.8,2216,3987.17,2252
2026-07-30T03:27:13Z,8001,4,0,0,0,0.179487,0,3019,768116,3298.98,3019,7104.72,3068
2026-07-30T03:27:13Z,8002,4,0,0,0,0.179487,0,2216,567479,1701.8,2216,3998.36,2254
2026-07-30T03:27:15Z,8001,4,0,0,0,0.205128,0,3019,768259,3298.98,3019,7112.18,3069
2026-07-30T03:27:15Z,8002,4,0,0,0,0.205128,0,2216,567898,1701.8,2216,4005.74,2255
2026-07-30T03:27:16Z,8001,0,0,0,0,0,0,3023,769133,3298.98,3023,7112.18,3069
2026-07-30T03:27:16Z,8002,0,0,0,0,0,0,2220,568496,1701.8,2220,4005.74,2255
2026-07-30T03:27:20Z,8001,3,0,0,0,0.102564,0,3023,769134,3298.98,3023,7114.57,3070
2026-07-30T03:27:20Z,8002,4,0,0,0,0.153846,0,2220,568498,1701.8,2220,4008.1,2256
2026-07-30T03:27:21Z,8001,4,0,0,0,0.153846,0,3023,769135,3298.98,3023,7114.57,3070
2026-07-30T03:27:21Z,8002,4,0,0,0,0.179487,0,2220,568503,1701.8,2220,4019.32,2258
2026-07-30T03:27:23Z,8001,4,0,0,0,0.179487,0,3023,769140,3298.98,3023,7125.9,3072
2026-07-30T03:27:23Z,8002,4,0,0,0,0.179487,0,2220,568503,1701.8,2220,4019.32,2258
2026-07-30T03:27:24Z,8001,4,0,0,0,0.205128,0,3023,769667,3298.98,3023,7133.32,3073
2026-07-30T03:27:24Z,8002,4,0,0,0,0.205128,0,2220,569358,1701.8,2220,4026.69,2259
2026-07-30T03:27:26Z,8001,0,0,0,0,0,0,3027,770157,3298.98,3027,7133.32,3073
2026-07-30T03:27:26Z,8002,0,0,0,0,0,0,2224,569520,1701.8,2224,4026.69,2259
2026-07-30T03:27:27Z,8001,0,0,0,0,0,0,3027,770157,3298.98,3027,7133.32,3073
2026-07-30T03:27:27Z,8002,4,0,0,0,0.128205,0,2224,569521,1701.8,2224,4029.02,2260
2026-07-30T03:27:29Z,8001,3,0,0,0,0.102564,0,3027,770158,3298.98,3027,7135.66,3074
2026-07-30T03:27:29Z,8002,4,0,0,0,0.153846,0,2224,569522,1701.8,2224,4029.02,2260
2026-07-30T03:27:30Z,8001,4,0,0,0,0.153846,0,3027,770159,3298.98,3027,7135.66,3074
2026-07-30T03:27:30Z,8002,4,0,0,0,0.179487,0,2224,569527,1701.8,2224,4040.24,2262
2026-07-30T03:27:32Z,8001,4,0,0,0,0.179487,0,3027,770164,3298.98,3027,7146.89,3076
2026-07-30T03:27:32Z,8002,4,0,0,0,0.205128,0,2224,569538,1701.8,2224,4047.62,2263
2026-07-30T03:27:33Z,8001,4,0,0,0,0.205128,0,3027,770827,3298.98,3027,7154.27,3077
2026-07-30T03:27:33Z,8002,0,0,0,0,0,0,2228,570544,1701.8,2228,4047.62,2263
2026-07-30T03:27:37Z,8001,3,0,0,0,0.102564,0,3031,771182,3298.98,3031,7156.66,3078
2026-07-30T03:27:37Z,8002,4,0,0,0,0.128205,0,2228,570545,1701.8,2228,4049.96,2264
2026-07-30T03:27:39Z,8001,4,0,0,0,0.153846,0,3031,771183,3298.98,3031,7156.66,3078
2026-07-30T03:27:39Z,8002,4,0,0,0,0.153846,0,2228,570546,1701.8,2228,4049.96,2264
2026-07-30T03:27:40Z,8001,4,0,0,0,0.179487,0,3031,771188,3298.98,3031,7167.99,3080
2026-07-30T03:27:40Z,8002,4,0,0,0,0.179487,0,2228,570551,1701.8,2228,4061.16,2266
2026-07-30T03:27:42Z,8001,4,0,0,0,0.205128,0,3031,771363,3298.98,3031,7175.43,3081
2026-07-30T03:27:42Z,8002,4,0,0,0,0.205128,0,2228,571134,1701.8,2228,4068.53,2267
2026-07-30T03:27:43Z,8001,0,0,0,0,0,0,3035,772205,3298.98,3035,7175.43,3081
2026-07-30T03:27:43Z,8002,0,0,0,0,0,0,2232,571568,1701.8,2232,4068.53,2267
2026-07-30T03:27:45Z,8001,0,0,0,0,0,0,3035,772205,3298.98,3035,7175.43,3081
2026-07-30T03:27:45Z,8002,4,0,0,0,0.128205,0,2232,571569,1701.8,2232,4070.86,2268
2026-07-30T03:27:46Z,8001,4,0,0,0,0.128205,0,3035,772206,3298.98,3035,7177.78,3082
2026-07-30T03:27:46Z,8002,4,0,0,0,0.153846,0,2232,571570,1701.8,2232,4070.86,2268
2026-07-30T03:27:48Z,8001,4,0,0,0,0.153846,0,3035,772207,3298.98,3035,7177.78,3082
2026-07-30T03:27:48Z,8002,4,0,0,0,0.153846,0,2232,571570,1701.8,2232,4070.86,2268
2026-07-30T03:27:49Z,8001,4,0,0,0,0.179487,0,3035,772212,3298.98,3035,7189.02,3084
2026-07-30T03:27:49Z,8002,4,0,0,0,0.179487,0,2232,571575,1701.8,2232,4082.03,2270
2026-07-30T03:27:51Z,8001,7,0,0,0,0.282051,0,3035,772219,3298.98,3035,7196.45,3085
2026-07-30T03:27:51Z,8002,6,0,0,0,0.25641,0,2232,571582,1701.8,2232,4089.43,2271
2026-07-30T03:27:54Z,8001,8,0,0,0,0.358974,0,3035,772234,3298.98,3035,7207.59,3087
2026-07-30T03:27:54Z,8002,8,0,0,0,0.358974,0,2232,571597,1701.8,2232,4099.21,2273
2026-07-30T03:27:56Z,8001,8,0,0,0,0.384615,0,3035,772247,3298.98,3035,7214.95,3088
2026-07-30T03:27:56Z,8002,8,0,0,0,0.384615,0,2232,571610,1701.8,2232,4105.88,2274
2026-07-30T03:27:58Z,8001,8,0,0,0,0.410256,0,3035,772502,3298.98,3035,7224.01,3089
2026-07-30T03:27:58Z,8002,8,0,0,0,0.410256,0,2232,572633,1701.8,2232,4114.26,2275
2026-07-30T03:27:59Z,8001,8,0,0,0,0.410256,0,3035,774094,3298.98,3035,7224.01,3089
2026-07-30T03:27:59Z,8002,0,0,0,0,0,0,2240,573616,1701.8,2240,4114.26,2275
2026-07-30T03:28:01Z,8001,0,0,0,0,0,0,3043,774253,3298.98,3043,7224.01,3089
2026-07-30T03:28:01Z,8002,0,0,0,0,0,0,2240,573616,1701.8,2240,4114.26,2275
2026-07-30T03:28:02Z,8001,3,0,0,0,0.102564,0,3043,774254,3298.98,3043,7226.42,3090
2026-07-30T03:28:02Z,8002,3,0,0,0,0.102564,0,2240,573617,1701.8,2240,4116.62,2276
2026-07-30T03:28:04Z,8001,4,0,0,0,0.153846,0,3043,774255,3298.98,3043,7226.42,3090
2026-07-30T03:28:04Z,8002,4,0,0,0,0.153846,0,2240,573618,1701.8,2240,4116.62,2276
2026-07-30T03:28:05Z,8001,8,0,0,0,0.282051,0,3043,774260,3298.98,3043,7237.88,3092
2026-07-30T03:28:05Z,8002,8,0,0,0,0.282051,0,2240,573623,1701.8,2240,4127.94,2278
2026-07-30T03:28:07Z,8001,8,0,0,0,0.307692,0,3043,774263,3298.98,3043,7237.88,3092
2026-07-30T03:28:07Z,8002,8,0,0,0,0.307692,0,2240,573630,1701.8,2240,4135.38,2279
2026-07-30T03:28:08Z,8001,8,0,0,0,0.333333,0,3043,774271,3298.98,3043,7245.38,3093
2026-07-30T03:28:08Z,8002,8,0,0,0,0.333333,0,2240,573639,1701.8,2240,4144.5,2280
2026-07-30T03:28:12Z,8001,8,0,0,0,0.384615,0,3043,774300,3298.98,3043,7278.03,3096
2026-07-30T03:28:12Z,8002,8,0,0,0,0.384615,0,2240,573663,1701.8,2240,4167.79,2282
2026-07-30T03:28:13Z,8001,8,0,0,0,0.410256,0,3043,774307,3298.98,3043,7278.03,3096
2026-07-30T03:28:13Z,8002,8,0,0,0,0.410256,0,2240,574470,1701.8,2240,4181.98,2283
2026-07-30T03:28:15Z,8001,8,0,0,0,0.410256,0,3043,775819,3298.98,3043,7292.31,3097
2026-07-30T03:28:15Z,8002,0,0,0,0,0,0,2248,575664,1701.8,2248,4181.98,2283
2026-07-30T03:28:17Z,8001,0,0,0,0,0,0,3051,776301,3298.98,3051,7292.31,3097
2026-07-30T03:28:17Z,8002,0,0,0,0,0,0,2248,575664,1701.8,2248,4181.98,2283
2026-07-30T03:28:18Z,8001,3,0,0,0,0.102564,0,3051,776302,3298.98,3051,7294.75,3098
2026-07-30T03:28:18Z,8002,4,0,0,0,0.128205,0,2248,575665,1701.8,2248,4184.35,2284
2026-07-30T03:28:20Z,8001,4,0,0,0,0.153846,0,3051,776303,3298.98,3051,7294.75,3098
2026-07-30T03:28:20Z,8002,4,0,0,0,0.153846,0,2248,575666,1701.8,2248,4184.35,2284
2026-07-30T03:28:21Z,8001,4,0,0,0,0.153846,0,3051,776303,3298.98,3051,7294.75,3098
2026-07-30T03:28:21Z,8002,8,0,0,0,0.282051,0,2248,575671,1701.8,2248,4195.65,2286
2026-07-30T03:28:23Z,8001,8,0,0,0,0.282051,0,3051,776308,3298.98,3051,7306.24,3100
2026-07-30T03:28:23Z,8002,8,0,0,0,0.307692,0,2248,575678,1701.8,2248,4203.08,2287
2026-07-30T03:28:24Z,8001,8,0,0,0,0.307692,0,3051,776315,3298.98,3051,7313.77,3101
2026-07-30T03:28:24Z,8002,8,0,0,0,0.333333,0,2248,575687,1701.8,2248,4212.2,2288
2026-07-30T03:28:26Z,8001,8,0,0,0,0.333333,0,3051,776324,3298.98,3051,7322.98,3102
2026-07-30T03:28:26Z,8002,8,0,0,0,0.358974,0,2248,575698,1701.8,2248,4223,2289
2026-07-30T03:28:29Z,8001,8,0,0,0,0.384615,0,3051,776348,3298.98,3051,7346.49,3104
2026-07-30T03:28:29Z,8002,8,0,0,0,0.410256,0,2248,575974,1701.8,2248,4249.69,2291
2026-07-30T03:28:31Z,8001,8,0,0,0,0.410256,0,3051,777211,3298.98,3051,7360.8,3105
2026-07-30T03:28:31Z,8002,8,0,0,0,0.410256,0,2248,577630,1701.8,2248,4249.69,2291
2026-07-30T03:28:32Z,8001,0,0,0,0,0,0,3059,778349,3298.98,3059,7360.8,3105
2026-07-30T03:28:32Z,8002,0,0,0,0,0,0,2256,577712,1701.8,2256,4249.69,2291
2026-07-30T03:28:34Z,8001,0,0,0,0,0,0,3059,778349,3298.98,3059,7360.8,3105
2026-07-30T03:28:34Z,8002,4,0,0,0,0.128205,0,2256,577713,1701.8,2256,4252.03,2292
2026-07-30T03:28:35Z,8001,3,0,0,0,0.102564,0,3059,778350,3298.98,3059,7363.17,3106
2026-07-30T03:28:35Z,8002,4,0,0,0,0.153846,0,2256,577714,1701.8,2256,4252.03,2292
2026-07-30T03:28:37Z,8001,4,0,0,0,0.153846,0,3059,778351,3298.98,3059,7363.17,3106
2026-07-30T03:28:37Z,8002,8,0,0,0,0.282051,0,2256,577719,1701.8,2256,4263.31,2294
2026-07-30T03:28:38Z,8001,8,0,0,0,0.282051,0,3059,778356,3298.98,3059,7374.54,3108
2026-07-30T03:28:38Z,8002,8,0,0,0,0.307692,0,2256,577726,1701.8,2256,4270.73,2295
