ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T03:26:25Z,0,100,31736,450.39,66,2625
2026-07-30T03:26:25Z,1,100,31856,450.30,64,2625
2026-07-30T03:26:25Z,2,0,1,14.76,34,210
2026-07-30T03:26:25Z,3,0,1,18.37,32,210
2026-07-30T03:26:25Z,4,0,29902,18.07,31,210
2026-07-30T03:26:25Z,5,0,29900,15.35,33,210
2026-07-30T03:26:25Z,6,1,21430,84.77,54,2512
2026-07-30T03:26:25Z,7,0,18844,70.92,48,2430
2026-07-30T03:26:28Z,0,100,31736,449.78,65,2617
2026-07-30T03:26:28Z,1,100,31856,449.76,65,2617
2026-07-30T03:26:28Z,2,0,1,13.84,34,210
2026-07-30T03:26:28Z,3,0,1,19.14,32,210
2026-07-30T03:26:28Z,4,0,29902,16.79,31,210
2026-07-30T03:26:28Z,5,0,29900,15.55,33,210
2026-07-30T03:26:28Z,6,1,21430,81.06,53,2475
2026-07-30T03:26:28Z,7,0,1,72.90,48,2430
2026-07-30T03:26:30Z,0,99,31736,370.00,59,2812
2026-07-30T03:26:30Z,1,99,31856,384.78,59,2910
2026-07-30T03:26:30Z,2,0,1,14.14,34,210
2026-07-30T03:26:30Z,3,0,1,16.98,32,210
2026-07-30T03:26:30Z,4,0,29902,15.21,31,210
2026-07-30T03:26:30Z,5,0,29900,15.54,33,210
2026-07-30T03:26:30Z,6,1,21430,77.57,53,2467
2026-07-30T03:26:30Z,7,0,1,47.73,47,750
2026-07-30T03:26:31Z,0,0,31736,198.27,56,2835
2026-07-30T03:26:31Z,1,16,31856,198.35,55,2925
2026-07-30T03:26:31Z,2,0,1,13.48,34,210
2026-07-30T03:26:31Z,3,0,1,19.92,32,210
2026-07-30T03:26:31Z,4,0,29902,16.15,31,210
2026-07-30T03:26:31Z,5,0,29900,17.79,33,210
2026-07-30T03:26:31Z,6,1,21430,80.88,53,2475
2026-07-30T03:26:31Z,7,0,4,34.92,47,367
2026-07-30T03:26:33Z,0,100,31736,452.06,65,2625
2026-07-30T03:26:33Z,1,100,31856,451.07,64,2505
2026-07-30T03:26:33Z,2,0,1,16.00,34,210
2026-07-30T03:26:33Z,3,0,1,16.33,32,210
2026-07-30T03:26:33Z,4,0,29902,17.66,31,210
2026-07-30T03:26:33Z,5,0,29900,14.97,33,210
2026-07-30T03:26:33Z,6,1,21430,77.50,53,2475
2026-07-30T03:26:33Z,7,0,4,29.17,47,285
2026-07-30T03:26:34Z,0,100,31736,459.96,67,2610
2026-07-30T03:26:34Z,1,100,31856,451.45,64,2625
2026-07-30T03:26:34Z,2,0,1,13.64,34,210
2026-07-30T03:26:34Z,3,0,1,17.21,32,210
2026-07-30T03:26:34Z,4,0,29902,15.01,31,210
2026-07-30T03:26:34Z,5,0,29900,16.13,33,210
2026-07-30T03:26:34Z,6,1,21430,78.67,53,2475
2026-07-30T03:26:34Z,7,0,4,17.67,46,210
2026-07-30T03:26:36Z,0,100,31736,449.76,67,2617
2026-07-30T03:26:36Z,1,100,31856,450.13,66,2617
2026-07-30T03:26:36Z,2,0,1,15.38,34,210
2026-07-30T03:26:36Z,3,0,1,17.47,32,210
2026-07-30T03:26:36Z,4,0,29902,17.91,31,210
2026-07-30T03:26:36Z,5,0,29900,13.84,33,210
2026-07-30T03:26:36Z,6,1,21430,79.16,52,2475
2026-07-30T03:26:36Z,7,0,4,14.24,46,210
2026-07-30T03:26:37Z,0,100,31736,449.57,67,2610
2026-07-30T03:26:37Z,1,100,31856,449.81,66,2610
2026-07-30T03:26:37Z,2,0,1,15.64,34,210
2026-07-30T03:26:37Z,3,0,1,16.85,32,210
2026-07-30T03:26:37Z,4,0,29902,15.70,31,210
2026-07-30T03:26:37Z,5,0,29900,14.67,33,210
2026-07-30T03:26:37Z,6,1,21430,78.14,52,2467
2026-07-30T03:26:37Z,7,0,4,16.25,46,210
2026-07-30T03:26:39Z,0,99,31736,373.05,60,2812
2026-07-30T03:26:39Z,1,99,31856,379.74,60,2910
2026-07-30T03:26:39Z,2,0,1,14.06,34,210
2026-07-30T03:26:39Z,3,0,1,19.65,32,210
2026-07-30T03:26:39Z,4,0,29902,17.45,31,210
2026-07-30T03:26:39Z,5,0,29900,17.21,33,210
2026-07-30T03:26:39Z,6,1,21430,79.62,52,2475
2026-07-30T03:26:39Z,7,0,4,15.04,45,210
2026-07-30T03:26:40Z,0,0,31736,201.02,57,2835
2026-07-30T03:26:40Z,1,0,31856,212.00,55,2925
2026-07-30T03:26:40Z,2,0,1,15.05,34,210
2026-07-30T03:26:40Z,3,0,1,17.39,32,210
2026-07-30T03:26:40Z,4,0,29902,18.45,31,210
2026-07-30T03:26:40Z,5,0,29900,14.07,33,210
2026-07-30T03:26:40Z,6,1,21430,77.18,52,2475
2026-07-30T03:26:40Z,7,4,1184,43.37,47,2730
2026-07-30T03:26:42Z,0,100,31736,453.18,67,2617
2026-07-30T03:26:42Z,1,100,31856,450.37,64,2625
2026-07-30T03:26:42Z,2,0,1,13.22,34,210
2026-07-30T03:26:42Z,3,0,1,19.44,32,210
2026-07-30T03:26:42Z,4,0,29902,16.61,31,210
2026-07-30T03:26:42Z,5,0,29900,17.51,33,210
2026-07-30T03:26:42Z,6,0,21430,79.17,52,2482
2026-07-30T03:26:42Z,7,0,1184,66.56,46,2430
2026-07-30T03:26:45Z,0,100,31736,450.38,67,2617
