ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T03:26:25Z,running,14.23,475902,15.2,23311,16915,0,1,0.06,100.47,154.15
2026-07-30T03:26:28Z,running,14.05,477634,15.2,23332,18624,0,1,0.06,100.47,154.15
2026-07-30T03:26:30Z,running,14.05,477253,15.2,23005,18569,0,1,0.06,100.47,154.15
2026-07-30T03:26:31Z,running,14.05,478105,15.2,24030,18388,0,1,0.06,100.47,154.15
2026-07-30T03:26:33Z,running,14.04,476896,15.2,22990,18223,0,1,0.06,100.47,154.15
2026-07-30T03:26:34Z,running,14.04,476885,15.2,23010,18194,0,1,0.06,100.47,154.15
2026-07-30T03:26:36Z,running,14.04,476864,15.2,22998,18185,0,1,0.06,100.47,154.15
2026-07-30T03:26:37Z,running,13.88,476811,15.2,23003,18127,0,1,0.06,100.47,154.15
2026-07-30T03:26:39Z,running,13.88,476354,15.2,22994,17678,0,1,0.06,100.47,154.15
2026-07-30T03:26:40Z,running,13.88,475965,15.2,23989,16286,0,1,0.06,100.47,154.15
2026-07-30T03:26:42Z,running,13.88,473610,15.2,21823,16068,0,8,0.25,157.74,152.49
2026-07-30T03:26:45Z,running,14.37,467280,15.2,15726,15434,0,8,0.25,157.74,152.49
2026-07-30T03:26:47Z,running,14.37,463053,15.2,11931,14916,0,8,0.25,157.74,152.49
2026-07-30T03:26:48Z,running,14.74,462872,15.2,11537,14937,0,8,0.25,157.74,152.49
2026-07-30T03:26:50Z,running,14.74,462283,15.2,11799,13993,0,8,0.25,157.74,152.49
2026-07-30T03:26:51Z,running,14.74,461344,15.2,11558,13284,0,8,0.25,157.74,152.49
2026-07-30T03:26:53Z,running,14.28,460038,15.2,12109,11434,0,8,0.25,157.74,152.49
2026-07-30T03:26:54Z,running,14.28,459324,15.2,12118,10934,0,8,0.25,157.74,152.49
2026-07-30T03:26:56Z,running,14.28,458943,15.2,12686,9764,0,8,0.25,157.74,152.49
2026-07-30T03:26:57Z,running,13.54,459735,15.2,12922,10319,0,8,0.25,157.74,152.49
2026-07-30T03:26:59Z,running,13.54,459471,15.2,13187,9761,0,16,0.56,150.66,101.02
2026-07-30T03:27:02Z,running,13.49,458733,15.2,12871,9305,0,16,0.56,150.66,101.02
2026-07-30T03:27:04Z,running,13.49,458729,15.2,12874,9318,0,16,0.56,150.66,101.02
2026-07-30T03:27:05Z,running,13.49,458624,15.2,12801,9283,0,16,0.56,150.66,101.02
2026-07-30T03:27:07Z,running,13.49,458820,15.2,13016,9257,0,16,0.56,150.66,101.02
2026-07-30T03:27:09Z,running,13.37,456612,15.2,10872,9199,0,16,0.56,150.66,101.02
2026-07-30T03:27:10Z,running,13.37,455384,15.2,10288,8493,0,16,0.56,150.66,101.02
2026-07-30T03:27:12Z,running,13.37,453218,15.2,9081,7280,0,16,0.56,150.66,101.02
2026-07-30T03:27:13Z,running,13.82,449444,15.2,7202,5290,0,16,0.56,150.66,101.02
2026-07-30T03:27:15Z,running,13.82,444580,15.2,3956,3574,0,16,0.56,150.66,101.02
2026-07-30T03:27:16Z,running,13.82,444039,15.2,3921,2884,0,16,0.63,255.67,178.30
2026-07-30T03:27:20Z,running,14.08,441485,15.2,1977,2203,0,16,0.63,255.67,178.30
2026-07-30T03:27:21Z,running,14.08,439863,15.2,1661,1388,0,16,0.63,255.67,178.30
2026-07-30T03:27:23Z,running,13.35,439890,15.2,1904,2409,0,16,0.63,255.67,178.30
2026-07-30T03:27:24Z,running,13.35,439706,15.2,2627,2852,0,16,0.63,255.67,178.30
2026-07-30T03:27:26Z,running,13.35,439073,15.2,2542,2462,0,16,0.63,255.67,178.30
2026-07-30T03:27:27Z,running,13.40,438164,15.2,2054,1975,0,16,0.63,255.67,178.30
2026-07-30T03:27:29Z,running,13.40,438046,15.2,2048,1844,0,16,0.63,255.67,178.30
2026-07-30T03:27:30Z,running,13.40,438019,15.2,2046,1796,0,16,0.63,255.67,178.30
2026-07-30T03:27:32Z,running,13.40,437988,15.2,2079,1733,0,16,0.63,255.67,178.30
2026-07-30T03:27:33Z,running,12.65,438209,15.1,2323,1739,0,12,2.42,217.69,223.96
2026-07-30T03:27:37Z,running,12.65,437842,15.1,2041,1619,0,12,2.42,217.69,223.96
2026-07-30T03:27:39Z,running,12.04,437764,15.1,2034,1553,0,12,2.42,217.69,223.96
2026-07-30T03:27:40Z,running,12.04,437644,15.1,2004,1464,0,12,2.42,217.69,223.96
2026-07-30T03:27:42Z,running,12.04,437550,15.1,2002,1365,0,12,2.42,217.69,223.96
2026-07-30T03:27:43Z,running,12.52,438232,15.1,2726,1313,0,12,2.42,217.69,223.96
2026-07-30T03:27:45Z,running,12.52,437574,15.1,2087,1324,0,12,2.42,217.69,223.96
