ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T04:01:16Z,8001,3,0,0,0,0.0769231,0,3076,782941,3298.98,3076,7552.15,3132
2026-07-30T04:01:16Z,8002,2,0,0,0,0.0512821,0,2274,583831,1701.8,2274,4455.64,2319
2026-07-30T04:01:20Z,8001,2,0,0,0,0.0512821,0,3080,783921,3298.98,3080,7554.87,3135
2026-07-30T04:01:20Z,8002,4,0,0,0,0.153846,0,2274,583983,1701.8,2274,4462.08,2321
2026-07-30T04:01:21Z,8001,3,0,0,0,0.102564,0,3080,783923,3298.98,3080,7554.87,3135
2026-07-30T04:01:21Z,8002,4,0,0,0,0.153846,0,2276,584853,1701.8,2276,4462.46,2323
2026-07-30T04:01:23Z,8001,4,0,0,0,0.128205,0,3080,783926,3298.98,3080,7557.19,3136
2026-07-30T04:01:23Z,8002,3,0,0,0,0.0769231,0,2278,585126,1701.8,2278,4462.63,2324
2026-07-30T04:01:24Z,8001,2,0,0,0,0.102564,0,3082,784734,3298.98,3082,7560.53,3137
2026-07-30T04:01:24Z,8002,4,0,0,0,0.128205,0,2280,585485,1701.8,2280,4465.42,2327
2026-07-30T04:01:26Z,8001,0,0,0,0,0,0,3084,784796,3298.98,3084,7560.53,3137
2026-07-30T04:01:26Z,8002,4,0,0,0,0.102564,0,2282,586350,1701.8,2282,4465.75,2329
2026-07-30T04:01:27Z,8001,4,0,0,0,0.128205,0,3084,784797,3298.98,3084,7562.92,3138
2026-07-30T04:01:27Z,8002,2,0,0,0,0.0512821,0,2285,586756,1701.8,2285,4465.85,2330
2026-07-30T04:01:29Z,8001,4,0,0,0,0.153846,0,3084,785316,3298.98,3084,7573.81,3141
2026-07-30T04:01:29Z,8002,4,0,0,0,0.128205,0,2285,586761,1701.8,2285,4468.2,2331
2026-07-30T04:01:30Z,8001,2,0,0,0,0.0512821,0,3088,785981,3298.98,3088,7574.33,3143
2026-07-30T04:01:30Z,8002,4,0,0,0,0.153846,0,2285,586996,1701.8,2285,4471.52,2332
2026-07-30T04:01:32Z,8001,3,0,0,0,0.102564,0,3088,785985,3298.98,3088,7574.33,3143
2026-07-30T04:01:32Z,8002,2,0,0,0,0.0512821,0,2289,587792,1701.8,2289,4471.8,2334
2026-07-30T04:01:33Z,8001,4,0,0,0,0.128205,0,3088,785988,3298.98,3088,7576.71,3144
2026-07-30T04:01:33Z,8002,4,0,0,0,0.102564,0,2291,588649,1701.8,2291,4472.57,2338
2026-07-30T04:01:37Z,8001,0,0,0,0,0,0,3092,786844,3298.98,3092,7580.74,3145
2026-07-30T04:01:37Z,8002,2,0,0,0,0.0512821,0,2298,590113,1701.8,2298,4473.32,2343
2026-07-30T04:01:39Z,8001,4,0,0,0,0.153846,0,3092,786847,3298.98,3092,7586.49,3147
2026-07-30T04:01:39Z,8002,4,0,0,0,0.128205,0,2299,590490,1701.8,2299,4477.76,2346
2026-07-30T04:01:40Z,8001,4,0,0,0,0.153846,0,3092,786847,3298.98,3092,7586.49,3147
2026-07-30T04:01:40Z,8002,4,0,0,0,0.102564,0,2302,591286,1701.8,2302,4478.29,2349
2026-07-30T04:01:42Z,8001,4,0,0,0,0.179487,0,3092,787658,3298.98,3092,7597.17,3149
2026-07-30T04:01:42Z,8002,2,0,0,0,0.0512821,0,2306,592156,1701.8,2306,4478.57,2351
2026-07-30T04:01:43Z,8001,3,0,0,0,0.0769231,0,3096,788094,3298.98,3096,7597.98,3152
2026-07-30T04:01:43Z,8002,2,0,0,0,0.0512821,0,2307,592434,1701.8,2307,4478.71,2352
2026-07-30T04:01:45Z,8001,4,0,0,0,0.128205,0,3096,788353,3298.98,3096,7600.33,3153
2026-07-30T04:01:45Z,8002,4,0,0,0,0.128205,0,2308,592813,1701.8,2308,4483.32,2355
2026-07-30T04:01:46Z,8001,4,0,0,0,0.102564,0,3100,789196,3298.98,3100,7600.91,3157
2026-07-30T04:01:46Z,8002,2,0,0,0,0.0512821,0,2312,593636,1701.8,2312,4483.53,2357
2026-07-30T04:01:48Z,8001,3,0,0,0,0.0769231,0,3104,790123,3298.98,3104,7601.33,3160
2026-07-30T04:01:48Z,8002,2,0,0,0,0.0512821,0,2312,593696,1701.8,2312,4483.53,2357
2026-07-30T04:01:49Z,8001,3,0,0,0,0.0769231,0,3107,790949,3298.98,3107,7601.83,3163
