ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T04:01:16Z,0,92,31736,252.77,45,2820
2026-07-30T04:01:16Z,1,67,31856,284.51,46,2932
2026-07-30T04:01:16Z,2,0,1,13.04,33,210
2026-07-30T04:01:16Z,3,0,1,17.93,32,210
2026-07-30T04:01:16Z,4,0,29902,16.02,31,210
2026-07-30T04:01:16Z,5,0,29900,18.04,33,210
2026-07-30T04:01:16Z,6,0,17358,120.26,41,2925
2026-07-30T04:01:16Z,7,0,17358,62.99,42,2430
2026-07-30T04:01:20Z,0,100,31736,305.54,48,2790
2026-07-30T04:01:20Z,1,99,31856,422.84,44,2812
2026-07-30T04:01:20Z,2,0,1,12.74,33,210
2026-07-30T04:01:20Z,3,0,1,19.52,32,210
2026-07-30T04:01:20Z,4,0,29902,16.17,31,210
2026-07-30T04:01:20Z,5,0,29900,17.34,33,210
2026-07-30T04:01:20Z,6,0,17358,66.80,40,2430
2026-07-30T04:01:20Z,7,0,17358,63.02,42,2430
2026-07-30T04:01:21Z,0,66,31736,437.80,48,2550
2026-07-30T04:01:21Z,1,93,31856,327.66,46,2917
2026-07-30T04:01:21Z,2,0,1,13.42,33,210
2026-07-30T04:01:21Z,3,0,1,19.12,32,210
2026-07-30T04:01:21Z,4,0,29902,19.04,31,210
2026-07-30T04:01:21Z,5,0,29900,16.23,33,210
2026-07-30T04:01:21Z,6,0,17358,65.46,40,2430
2026-07-30T04:01:21Z,7,0,17358,66.08,42,2430
2026-07-30T04:01:23Z,0,100,31736,451.11,48,2422
2026-07-30T04:01:23Z,1,100,31856,459.43,51,2677
2026-07-30T04:01:23Z,2,0,1,12.62,33,210
2026-07-30T04:01:23Z,3,0,1,17.59,32,210
2026-07-30T04:01:23Z,4,0,29902,15.10,31,210
2026-07-30T04:01:23Z,5,0,29900,16.69,33,210
2026-07-30T04:01:23Z,6,0,17358,65.83,40,2430
2026-07-30T04:01:23Z,7,0,17358,62.66,42,2430
2026-07-30T04:01:24Z,0,99,31736,273.99,42,2827
2026-07-30T04:01:24Z,1,98,31856,365.55,45,2872
2026-07-30T04:01:24Z,2,0,1,14.52,34,210
2026-07-30T04:01:24Z,3,0,1,18.97,32,210
2026-07-30T04:01:24Z,4,0,29902,16.77,31,210
2026-07-30T04:01:24Z,5,0,29900,16.31,33,210
2026-07-30T04:01:24Z,6,0,17358,67.14,40,2430
2026-07-30T04:01:24Z,7,0,17358,21.82,41,352
2026-07-30T04:01:26Z,0,100,31736,464.68,51,2677
2026-07-30T04:01:26Z,1,99,31856,332.21,44,2917
2026-07-30T04:01:26Z,2,0,1,14.79,33,210
2026-07-30T04:01:26Z,3,0,1,16.49,32,210
2026-07-30T04:01:26Z,4,0,29902,15.94,31,210
2026-07-30T04:01:26Z,5,0,29900,16.32,33,210
2026-07-30T04:01:26Z,6,0,17358,65.50,40,2430
2026-07-30T04:01:26Z,7,0,17358,13.55,41,210
2026-07-30T04:01:27Z,0,100,31736,451.35,51,2670
2026-07-30T04:01:27Z,1,100,31856,434.97,52,2677
2026-07-30T04:01:27Z,2,0,1,13.39,33,210
2026-07-30T04:01:27Z,3,0,1,18.37,32,210
2026-07-30T04:01:27Z,4,0,29902,16.89,31,210
2026-07-30T04:01:27Z,5,0,29900,17.55,33,210
2026-07-30T04:01:27Z,6,0,17358,66.67,40,2430
2026-07-30T04:01:27Z,7,0,17358,12.98,41,210
2026-07-30T04:01:29Z,0,99,31736,312.05,44,2812
2026-07-30T04:01:29Z,1,100,31856,450.04,51,2677
2026-07-30T04:01:29Z,2,0,1,15.73,33,210
2026-07-30T04:01:29Z,3,0,1,17.72,32,210
2026-07-30T04:01:29Z,4,0,29902,18.03,31,210
