ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T04:01:16Z,running,9.57,439223,14.1,16669,1777,0,3,3.03,107.45,134.42
2026-07-30T04:01:20Z,running,9.28,438896,14.1,16336,1783,0,3,3.03,107.45,134.42
2026-07-30T04:01:21Z,running,9.28,439291,14.1,16723,1787,0,3,3.03,107.45,134.42
2026-07-30T04:01:23Z,running,9.28,439278,14.1,16706,1798,0,3,3.03,107.45,134.42
2026-07-30T04:01:24Z,running,9.42,439295,14.1,16720,1801,0,3,3.03,107.45,134.42
2026-07-30T04:01:26Z,running,9.42,439476,14.1,16896,1803,0,3,3.03,107.45,134.42
2026-07-30T04:01:27Z,running,9.42,439088,14.1,16514,1800,0,3,3.03,107.45,134.42
2026-07-30T04:01:29Z,running,9.55,439088,14.1,16511,1803,0,3,3.03,107.45,134.42
2026-07-30T04:01:30Z,running,9.55,438973,14.1,16320,1875,0,3,3.03,107.45,134.42
2026-07-30T04:01:32Z,running,9.55,439583,14.1,16922,1886,0,3,3.03,107.45,134.42
2026-07-30T04:01:33Z,running,9.55,439578,14.4,16911,1888,0,23,7.84,260.54,166.53
2026-07-30T04:01:37Z,running,9.10,439160,14.4,16495,1891,0,23,7.84,260.54,166.53
2026-07-30T04:01:39Z,running,9.10,439184,14.4,16511,1898,0,23,7.84,260.54,166.53
2026-07-30T04:01:40Z,running,8.77,439406,14.4,17140,1487,0,23,7.84,260.54,166.53
2026-07-30T04:01:42Z,running,8.77,438945,14.4,16803,2030,0,23,7.84,260.54,166.53
2026-07-30T04:01:43Z,running,8.77,439568,14.4,17450,2009,0,23,7.84,260.54,166.53
2026-07-30T04:01:45Z,running,8.39,439575,14.4,17458,2009,0,23,7.84,260.54,166.53
2026-07-30T04:01:46Z,running,8.39,439570,14.4,17453,2006,0,23,7.84,260.54,166.53
2026-07-30T04:01:48Z,running,8.39,439523,14.4,17433,1982,0,23,7.84,260.54,166.53
2026-07-30T04:01:49Z,running,8.76,439184,14.4,17088,1984,0,23,7.84,260.54,166.53
2026-07-30T04:01:51Z,running,8.76,438873,14.5,16769,1995,0,27,4.65,102.36,100.65
2026-07-30T04:01:54Z,running,9.58,439398,14.5,17196,2090,0,27,4.65,102.36,100.65
2026-07-30T04:01:56Z,running,9.58,439400,14.5,17205,2085,0,27,4.65,102.36,100.65
2026-07-30T04:01:57Z,running,9.58,439338,14.5,17139,2088,0,27,4.65,102.36,100.65
2026-07-30T04:01:59Z,running,10.49,439192,14.5,17000,2083,0,27,4.65,102.36,100.65
2026-07-30T04:02:01Z,running,10.49,439878,14.5,17687,2082,0,27,4.65,102.36,100.65
2026-07-30T04:02:02Z,running,10.49,439857,14.5,17666,2082,0,27,4.65,102.36,100.65
2026-07-30T04:02:04Z,running,10.49,439808,14.5,17618,2081,0,27,4.65,102.36,100.65
2026-07-30T04:02:05Z,running,10.62,439794,14.5,17605,2077,0,27,4.65,102.36,100.65
2026-07-30T04:02:07Z,running,10.62,438873,14.5,16685,2075,0,27,4.65,102.36,100.65
2026-07-30T04:02:08Z,running,10.62,439176,14.3,16997,2069,0,23,6.92,141.29,170.20
2026-07-30T04:02:12Z,running,11.29,439649,14.3,17465,2075,0,23,6.92,141.29,170.20
2026-07-30T04:02:13Z,running,11.29,439646,14.3,17458,2078,0,23,6.92,141.29,170.20
2026-07-30T04:02:15Z,running,11.34,439399,14.3,17208,2081,0,23,6.92,141.29,170.20
2026-07-30T04:02:17Z,running,11.34,439339,14.3,17037,2190,0,23,6.92,141.29,170.20
2026-07-30T04:02:18Z,running,11.34,439516,14.3,17206,2194,0,23,6.92,141.29,170.20
2026-07-30T04:02:20Z,running,11.32,439353,14.3,17054,2189,0,23,6.92,141.29,170.20
2026-07-30T04:02:21Z,running,11.32,439339,14.3,17060,2169,0,23,6.92,141.29,170.20
2026-07-30T04:02:23Z,running,11.32,439031,14.3,16776,2143,0,23,6.92,141.29,170.20
2026-07-30T04:02:24Z,running,10.89,439076,14.3,16860,2107,0,23,6.92,141.29,170.20
2026-07-30T04:02:26Z,running,10.89,439496,14.0,17310,2072,0,21,5.23,116.57,226.76
2026-07-30T04:02:29Z,running,11.06,439560,14.0,17468,1982,0,21,5.23,116.57,226.76
2026-07-30T04:02:31Z,running,11.06,439350,14.0,17284,1955,0,21,5.23,116.57,226.76
2026-07-30T04:02:32Z,running,11.06,439832,14.0,17788,1934,0,21,5.23,116.57,226.76
2026-07-30T04:02:34Z,running,11.46,439602,14.0,17555,1937,0,21,5.23,116.57,226.76
2026-07-30T04:02:35Z,running,11.46,439590,14.0,17590,1889,0,21,5.23,116.57,226.76
2026-07-30T04:02:37Z,running,11.46,439445,14.0,17485,1847,0,21,5.23,116.57,226.76
2026-07-30T04:02:38Z,running,11.46,439817,14.0,17885,1820,0,21,5.23,116.57,226.76
2026-07-30T04:02:40Z,running,11.58,439594,14.0,17811,1665,0,21,5.23,116.57,226.76
2026-07-30T04:02:41Z,running,11.58,439695,14.0,17660,1914,0,21,5.23,116.57,226.76
2026-07-30T04:02:43Z,running,11.58,439154,14.1,17932,1110,0,25,3.71,100.72,196.10
2026-07-30T04:02:46Z,running,11.69,439430,14.1,18372,947,0,25,3.71,100.72,196.10
2026-07-30T04:02:48Z,running,11.69,439444,14.1,18437,895,0,25,3.71,100.72,196.10
2026-07-30T04:02:50Z,running,11.88,439132,14.1,18179,840,0,25,3.71,100.72,196.10
2026-07-30T04:02:51Z,running,11.88,438990,14.1,18072,806,0,25,3.71,100.72,196.10
2026-07-30T04:02:53Z,running,11.88,438987,14.1,18068,808,0,25,3.71,100.72,196.10
2026-07-30T04:02:54Z,running,11.25,438998,14.1,18073,813,0,25,3.71,100.72,196.10
2026-07-30T04:02:56Z,running,11.25,438949,14.1,18010,820,0,25,3.71,100.72,196.10
2026-07-30T04:02:57Z,running,11.25,440644,14.1,18841,1688,0,25,3.71,100.72,196.10
2026-07-30T04:02:59Z,running,11.25,440813,14.1,19019,1682,0,25,3.71,100.72,196.10
2026-07-30T04:03:00Z,running,11.87,440545,15.3,18751,1682,0,20,2.67,260.18,267.12
2026-07-30T04:03:04Z,running,11.87,440150,15.3,17876,2161,0,20,2.67,260.18,267.12
2026-07-30T04:03:05Z,running,12.04,440496,15.3,17865,2519,0,20,2.67,260.18,267.12
2026-07-30T04:03:07Z,running,12.04,440957,15.3,18324,2520,0,20,2.67,260.18,267.12
2026-07-30T04:03:08Z,running,12.04,441708,15.3,19070,2523,0,20,2.67,260.18,267.12
2026-07-30T04:03:10Z,running,11.56,441192,15.3,18560,2516,0,20,2.67,260.18,267.12
2026-07-30T04:03:11Z,running,11.56,440973,15.3,18337,2522,0,20,2.67,260.18,267.12
2026-07-30T04:03:13Z,running,11.56,441397,15.3,18763,2522,0,20,2.67,260.18,267.12
2026-07-30T04:03:14Z,running,12.07,441204,15.3,18573,2518,0,20,2.67,260.18,267.12
