ts,port,running,waiting,waiting_capacity,waiting_deferred,kv_usage,preemptions,success,gen_tokens,queue_sum,queue_count,ttft_sum,ttft_count
2026-07-30T04:21:50Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:21:50Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:21:54Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:21:54Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:21:56Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:21:56Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:21:57Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:21:57Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:21:59Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:21:59Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:00Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:00Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:02Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:02Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:03Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:03Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:05Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:05Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:06Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:06Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:08Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:08Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:12Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:12Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:13Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:13Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:15Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:15Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:17Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:17Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:18Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:18Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:20Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:20Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:21Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:21Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:23Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:23Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:25Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:25Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:27Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:27Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:30Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:30Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:32Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:32Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:34Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:34Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:36Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:36Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:37Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:37Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:39Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:39Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:41Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:41Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:42Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:42Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:44Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:44Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:46Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:46Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:50Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:50Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:51Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:51Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:53Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:53Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:55Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:55Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:56Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:56Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:22:58Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:22:58Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:00Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:00Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:02Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:02Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:03Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:03Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:05Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:05Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:09Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:09Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:11Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:11Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:13Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:13Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
2026-07-30T04:23:14Z,8001,0,0,0,0,0,0,4107,1049071,3298.98,4107,9384.9,4175
2026-07-30T04:23:14Z,8002,0,0,0,0,0,0,3360,862286,1701.81,3360,6242.83,3410
