ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T04:21:50Z,0,0,31936,12.63,35,210
2026-07-30T04:21:50Z,1,0,32096,15.86,33,202
2026-07-30T04:21:50Z,2,98,31460,277.12,45,2887
2026-07-30T04:21:50Z,3,0,1,19.98,31,210
2026-07-30T04:21:50Z,4,0,29902,16.44,30,210
2026-07-30T04:21:50Z,5,0,29900,17.19,32,210
2026-07-30T04:21:50Z,6,0,17358,87.02,40,2452
2026-07-30T04:21:50Z,7,0,17358,64.22,40,2430
2026-07-30T04:21:54Z,0,0,31936,11.11,35,210
2026-07-30T04:21:54Z,1,0,32096,15.87,33,210
2026-07-30T04:21:54Z,2,54,31460,268.13,44,2902
2026-07-30T04:21:54Z,3,0,1,18.99,31,210
2026-07-30T04:21:54Z,4,0,29902,18.08,30,202
2026-07-30T04:21:54Z,5,0,29900,16.29,32,210
2026-07-30T04:21:54Z,6,0,1,63.44,40,1672
2026-07-30T04:21:54Z,7,0,17358,64.06,40,2430
2026-07-30T04:21:56Z,0,0,31936,11.03,35,210
2026-07-30T04:21:56Z,1,0,32096,17.19,33,210
2026-07-30T04:21:56Z,2,98,31460,278.67,45,2872
2026-07-30T04:21:56Z,3,0,1,16.59,31,210
2026-07-30T04:21:56Z,4,0,29902,15.10,30,210
2026-07-30T04:21:56Z,5,0,29900,15.30,32,210
2026-07-30T04:21:56Z,6,0,1,38.72,39,322
2026-07-30T04:21:56Z,7,0,17358,63.88,40,2430
2026-07-30T04:21:57Z,0,0,31936,12.32,35,210
2026-07-30T04:21:57Z,1,0,32096,16.16,33,210
2026-07-30T04:21:57Z,2,98,31460,281.84,45,2902
2026-07-30T04:21:57Z,3,0,1,19.97,31,210
2026-07-30T04:21:57Z,4,0,29902,17.42,30,210
2026-07-30T04:21:57Z,5,0,29900,17.29,32,210
2026-07-30T04:21:57Z,6,0,1,38.59,39,210
2026-07-30T04:21:57Z,7,0,17358,62.77,40,2430
2026-07-30T04:21:59Z,0,0,31936,9.48,35,210
2026-07-30T04:21:59Z,1,0,32096,15.31,33,210
2026-07-30T04:21:59Z,2,98,31460,284.32,45,2902
2026-07-30T04:21:59Z,3,0,1,17.68,31,210
2026-07-30T04:21:59Z,4,0,29902,18.07,30,210
2026-07-30T04:21:59Z,5,0,29900,14.41,32,210
2026-07-30T04:21:59Z,6,0,1,14.28,39,210
2026-07-30T04:21:59Z,7,0,17358,43.68,39,435
2026-07-30T04:22:00Z,0,0,31936,12.21,35,210
2026-07-30T04:22:00Z,1,0,32096,17.99,33,210
2026-07-30T04:22:00Z,2,98,31460,287.52,46,2902
2026-07-30T04:22:00Z,3,0,1,17.01,31,210
2026-07-30T04:22:00Z,4,0,29902,16.01,30,202
2026-07-30T04:22:00Z,5,0,29900,15.81,32,210
2026-07-30T04:22:00Z,6,0,1,10.01,38,210
2026-07-30T04:22:00Z,7,0,17358,12.77,39,210
2026-07-30T04:22:02Z,0,0,31936,9.57,35,210
2026-07-30T04:22:02Z,1,0,32096,16.68,33,210
2026-07-30T04:22:02Z,2,0,31460,250.36,43,2902
2026-07-30T04:22:02Z,3,0,1,18.92,31,210
2026-07-30T04:22:02Z,4,0,29902,18.13,30,210
2026-07-30T04:22:02Z,5,0,29900,13.73,32,210
2026-07-30T04:22:02Z,6,0,1,11.53,38,210
2026-07-30T04:22:02Z,7,0,17358,12.52,39,202
2026-07-30T04:22:03Z,0,0,31936,9.85,35,210
2026-07-30T04:22:03Z,1,0,32096,18.40,33,210
2026-07-30T04:22:03Z,2,100,31460,468.30,54,2662
2026-07-30T04:22:03Z,3,0,1,15.81,31,210
2026-07-30T04:22:03Z,4,0,29902,15.54,30,210
2026-07-30T04:22:03Z,5,0,29900,14.60,32,210
2026-07-30T04:22:03Z,6,0,1,10.63,38,210
2026-07-30T04:22:03Z,7,0,17358,284.63,41,2917
2026-07-30T04:22:05Z,0,0,31936,11.36,35,210
2026-07-30T04:22:05Z,1,0,32096,17.40,33,210
2026-07-30T04:22:05Z,2,98,31460,319.69,47,2902
2026-07-30T04:22:05Z,3,0,1,18.92,31,210
2026-07-30T04:22:05Z,4,0,29902,18.01,30,210
2026-07-30T04:22:05Z,5,0,29900,15.80,32,210
2026-07-30T04:22:05Z,6,0,1,11.35,38,210
2026-07-30T04:22:05Z,7,0,17358,88.99,40,2460
2026-07-30T04:22:06Z,0,0,31936,9.76,35,210
2026-07-30T04:22:06Z,1,0,32096,16.99,33,210
2026-07-30T04:22:06Z,2,78,31460,275.37,46,2902
2026-07-30T04:22:06Z,3,0,1,16.83,31,210
2026-07-30T04:22:06Z,4,0,29902,17.96,30,202
2026-07-30T04:22:06Z,5,0,29900,15.00,32,210
2026-07-30T04:22:06Z,6,0,4,12.57,38,210
2026-07-30T04:22:06Z,7,0,1,65.80,40,2430
2026-07-30T04:22:08Z,0,0,31936,12.38,35,210
2026-07-30T04:22:08Z,1,0,32096,16.26,33,210
2026-07-30T04:22:08Z,2,0,31460,224.57,44,2910
2026-07-30T04:22:08Z,3,0,1,17.97,31,210
2026-07-30T04:22:08Z,4,0,29902,15.84,30,210
2026-07-30T04:22:08Z,5,0,29900,16.83,32,210
2026-07-30T04:22:08Z,6,0,4,11.40,38,210
2026-07-30T04:22:08Z,7,0,1,37.11,39,397
2026-07-30T04:22:12Z,0,0,31936,12.50,35,210
2026-07-30T04:22:12Z,1,0,32096,18.17,33,210
2026-07-30T04:22:12Z,2,98,31460,266.78,47,2902
2026-07-30T04:22:12Z,3,0,1,18.41,31,210
2026-07-30T04:22:12Z,4,0,29902,16.34,30,210
2026-07-30T04:22:12Z,5,0,29900,16.46,32,210
2026-07-30T04:22:12Z,6,0,4,12.54,38,210
2026-07-30T04:22:12Z,7,0,1,17.17,39,210
2026-07-30T04:22:13Z,0,0,31936,11.30,35,210
2026-07-30T04:22:13Z,1,0,32096,15.86,33,210
2026-07-30T04:22:13Z,2,98,31460,282.82,47,2902
2026-07-30T04:22:13Z,3,0,1,17.51,31,210
2026-07-30T04:22:13Z,4,0,29902,18.41,30,210
2026-07-30T04:22:13Z,5,0,29900,13.76,32,210
2026-07-30T04:22:13Z,6,0,4,9.68,38,210
2026-07-30T04:22:13Z,7,0,1,13.23,39,210
2026-07-30T04:22:15Z,0,0,31936,12.48,35,202
2026-07-30T04:22:15Z,1,0,32096,16.84,33,210
2026-07-30T04:22:15Z,2,0,31460,257.48,45,2902
2026-07-30T04:22:15Z,3,0,1,17.95,31,210
2026-07-30T04:22:15Z,4,0,29902,15.87,30,210
2026-07-30T04:22:15Z,5,0,29900,16.30,32,210
2026-07-30T04:22:15Z,6,0,4,9.94,38,210
2026-07-30T04:22:15Z,7,0,1,11.76,39,210
2026-07-30T04:22:17Z,0,0,31936,9.75,35,210
2026-07-30T04:22:17Z,1,0,32096,15.81,33,210
2026-07-30T04:22:17Z,2,100,31460,450.98,55,2640
2026-07-30T04:22:17Z,3,0,1,18.05,31,210
2026-07-30T04:22:17Z,4,0,29902,17.41,30,210
2026-07-30T04:22:17Z,5,0,29900,13.80,32,210
2026-07-30T04:22:17Z,6,0,4,11.33,38,210
2026-07-30T04:22:17Z,7,0,1,12.45,39,210
2026-07-30T04:22:18Z,0,0,31936,10.44,35,210
2026-07-30T04:22:18Z,1,0,32096,17.70,33,210
2026-07-30T04:22:18Z,2,98,31460,298.99,48,2902
2026-07-30T04:22:18Z,3,0,1,16.39,31,210
2026-07-30T04:22:18Z,4,0,29902,15.05,30,210
2026-07-30T04:22:18Z,5,0,29900,15.02,32,210
2026-07-30T04:22:18Z,6,0,4,10.37,38,210
2026-07-30T04:22:18Z,7,0,4,13.55,39,210
2026-07-30T04:22:20Z,0,0,31936,11.45,35,210
2026-07-30T04:22:20Z,1,0,32096,16.09,33,210
2026-07-30T04:22:20Z,2,76,31460,281.34,51,2902
2026-07-30T04:22:20Z,3,0,1,18.83,31,210
2026-07-30T04:22:20Z,4,0,29902,17.70,30,210
2026-07-30T04:22:20Z,5,0,29900,15.92,32,210
2026-07-30T04:22:20Z,6,0,4,12.23,38,202
2026-07-30T04:22:20Z,7,0,4,12.91,38,210
2026-07-30T04:22:21Z,0,0,31936,13.07,34,210
2026-07-30T04:22:21Z,1,0,32096,18.34,33,210
2026-07-30T04:22:21Z,2,98,31460,279.22,48,2902
2026-07-30T04:22:21Z,3,0,1,17.16,31,210
2026-07-30T04:22:21Z,4,0,29902,15.43,30,210
2026-07-30T04:22:21Z,5,0,29900,15.95,32,210
2026-07-30T04:22:21Z,6,0,4,11.68,38,210
2026-07-30T04:22:21Z,7,0,4,14.60,38,210
2026-07-30T04:22:23Z,0,0,31936,12.96,35,210
2026-07-30T04:22:23Z,1,0,32096,15.36,33,210
2026-07-30T04:22:23Z,2,98,31460,280.80,48,2902
2026-07-30T04:22:23Z,3,0,1,20.01,31,202
2026-07-30T04:22:23Z,4,0,29902,16.45,30,210
2026-07-30T04:22:23Z,5,0,29900,16.47,32,210
2026-07-30T04:22:23Z,6,0,4,12.99,37,210
2026-07-30T04:22:23Z,7,0,4,13.82,38,210
2026-07-30T04:22:25Z,0,0,31936,9.97,34,210
2026-07-30T04:22:25Z,1,0,32096,17.67,33,210
2026-07-30T04:22:25Z,2,98,31460,285.80,48,2895
2026-07-30T04:22:25Z,3,0,1,16.79,31,210
2026-07-30T04:22:25Z,4,0,29902,17.12,30,210
2026-07-30T04:22:25Z,5,0,29900,14.85,32,210
2026-07-30T04:22:25Z,6,0,4,10.70,37,202
2026-07-30T04:22:25Z,7,0,4,14.08,38,202
2026-07-30T04:22:27Z,0,0,31936,12.61,34,202
2026-07-30T04:22:27Z,1,0,32096,17.93,33,210
2026-07-30T04:22:27Z,2,98,31460,285.53,48,2902
2026-07-30T04:22:27Z,3,0,1,19.35,31,210
2026-07-30T04:22:27Z,4,0,29902,18.09,30,210
2026-07-30T04:22:27Z,5,0,29900,15.18,32,210
2026-07-30T04:22:27Z,6,0,4,12.85,37,210
2026-07-30T04:22:27Z,7,0,4,12.69,38,210
2026-07-30T04:22:30Z,0,0,31936,12.72,34,210
2026-07-30T04:22:30Z,1,0,32096,16.43,33,210
2026-07-30T04:22:30Z,2,0,31460,174.58,45,2910
2026-07-30T04:22:30Z,3,0,1,19.00,31,210
2026-07-30T04:22:30Z,4,0,29902,18.21,30,210
