ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T04:21:50Z,running,8.20,448867,14.5,6912,17328,0,0,1.72,0.72,0.72
2026-07-30T04:21:54Z,running,8.20,455520,14.5,10876,20008,0,0,1.72,0.72,0.72
2026-07-30T04:21:56Z,running,7.78,455532,14.5,10883,20006,0,0,1.72,0.72,0.72
2026-07-30T04:21:57Z,running,7.78,455504,14.5,10850,20004,0,0,1.72,0.72,0.72
2026-07-30T04:21:59Z,running,7.78,455541,14.5,10881,20006,0,0,1.72,0.72,0.72
2026-07-30T04:22:00Z,running,8.04,455500,14.5,10844,19997,0,0,1.72,0.72,0.72
2026-07-30T04:22:02Z,running,8.04,455253,14.5,10581,20009,0,0,1.72,0.72,0.72
2026-07-30T04:22:03Z,running,8.04,455332,14.5,10659,20007,0,0,1.72,0.72,0.72
2026-07-30T04:22:05Z,running,8.04,473145,14.5,12786,35690,0,0,1.72,0.72,0.72
2026-07-30T04:22:06Z,running,7.88,473549,14.5,13175,35701,0,0,1.72,0.72,0.72
2026-07-30T04:22:08Z,running,7.88,473073,14.5,12824,35565,0,0,0.73,0.70,6.99
2026-07-30T04:22:12Z,running,7.49,473184,14.5,13081,35404,0,0,0.73,0.70,6.99
2026-07-30T04:22:13Z,running,7.49,473183,14.5,13175,35291,0,0,0.73,0.70,6.99
2026-07-30T04:22:15Z,running,7.21,472837,14.5,12856,35253,0,0,0.73,0.70,6.99
2026-07-30T04:22:17Z,running,7.21,472750,14.5,12954,35068,0,0,0.73,0.70,6.99
2026-07-30T04:22:18Z,running,7.21,472739,14.5,13203,34805,0,0,0.73,0.70,6.99
2026-07-30T04:22:20Z,running,7.67,472489,14.5,13143,34608,0,0,0.73,0.70,6.99
2026-07-30T04:22:21Z,running,7.67,472420,14.5,13148,34530,0,0,0.73,0.70,6.99
2026-07-30T04:22:23Z,running,7.67,472278,14.5,13128,34403,0,0,0.73,0.70,6.99
2026-07-30T04:22:25Z,running,7.38,472177,14.5,13155,34269,0,0,0.73,0.70,6.99
2026-07-30T04:22:27Z,running,7.38,472056,14.5,13127,34168,0,0,2.15,0.61,0.69
2026-07-30T04:22:30Z,running,7.67,471523,14.5,12827,33912,0,0,2.15,0.61,0.69
2026-07-30T04:22:32Z,running,7.67,471343,14.5,12819,33729,0,0,2.15,0.61,0.69
2026-07-30T04:22:34Z,running,7.67,471279,14.5,12835,33639,0,0,2.15,0.61,0.69
2026-07-30T04:22:36Z,running,7.29,471212,14.5,12824,33577,0,0,2.15,0.61,0.69
2026-07-30T04:22:37Z,running,7.29,471380,14.5,13095,33466,0,0,2.15,0.61,0.69
2026-07-30T04:22:39Z,running,7.29,471270,14.5,13038,33405,0,0,2.15,0.61,0.69
2026-07-30T04:22:41Z,running,7.51,470885,14.5,12737,33315,0,0,2.15,0.61,0.69
2026-07-30T04:22:42Z,running,7.51,470776,14.5,12718,33215,0,0,2.15,0.61,0.69
2026-07-30T04:22:44Z,running,7.51,470834,14.5,12903,33075,0,0,2.15,0.61,0.69
2026-07-30T04:22:46Z,running,8.43,470646,14.5,12807,32974,0,0,2.27,0.70,0.68
2026-07-30T04:22:50Z,running,8.43,468425,14.5,12829,30720,0,0,2.27,0.70,0.68
2026-07-30T04:22:51Z,running,8.16,468373,14.5,12835,30657,0,0,2.27,0.70,0.68
2026-07-30T04:22:53Z,running,8.16,468598,14.5,13122,30588,0,0,2.27,0.70,0.68
2026-07-30T04:22:55Z,running,8.38,468157,14.5,12838,30424,0,0,2.27,0.70,0.68
2026-07-30T04:22:56Z,running,8.38,469931,14.5,12825,32206,0,0,2.27,0.70,0.68
2026-07-30T04:22:58Z,running,8.38,470626,14.5,13129,32593,0,0,2.27,0.70,0.68
2026-07-30T04:23:00Z,running,8.03,470553,14.5,13121,32524,0,0,2.27,0.70,0.68
2026-07-30T04:23:02Z,running,8.03,470551,14.5,13142,32498,0,0,2.27,0.70,0.68
2026-07-30T04:23:03Z,running,8.03,470445,14.5,13115,32414,0,0,2.27,0.70,0.68
2026-07-30T04:23:05Z,running,7.87,470381,14.5,13111,32351,0,0,0.25,0.69,0.76
2026-07-30T04:23:09Z,running,7.87,470006,14.5,12889,32184,0,0,0.25,0.69,0.76
2026-07-30T04:23:11Z,running,7.48,467482,14.5,13129,29393,0,0,0.25,0.69,0.76
2026-07-30T04:23:13Z,running,7.48,467554,14.5,13133,29489,0,0,0.25,0.69,0.76
2026-07-30T04:23:14Z,running,7.48,467584,14.5,13184,29476,0,0,0.25,0.69,0.76
2026-07-30T04:23:16Z,running,7.12,467050,14.5,12672,29476,0,0,0.25,0.69,0.76
2026-07-30T04:23:18Z,running,7.12,467224,14.5,12895,29455,0,0,0.25,0.69,0.76
2026-07-30T04:23:19Z,running,7.12,467264,14.5,12942,29481,0,0,0.25,0.69,0.76
2026-07-30T04:23:21Z,running,7.03,466927,14.5,12901,29183,0,0,0.25,0.69,0.76
2026-07-30T04:23:23Z,running,7.03,466889,14.5,12892,29155,0,0,0.25,0.69,0.76
2026-07-30T04:23:24Z,running,7.03,467028,14.5,13114,29072,0,0,0.66,0.70,0.76
2026-07-30T04:23:28Z,running,7.27,468134,14.5,12845,30412,0,0,0.66,0.70,0.76
2026-07-30T04:23:30Z,running,7.27,469232,14.5,13081,31144,0,0,0.66,0.70,0.76
2026-07-30T04:23:31Z,running,7.41,468772,14.5,13042,30545,0,0,0.66,0.70,0.76
2026-07-30T04:23:33Z,running,7.41,467647,14.5,12563,29714,0,0,0.66,0.70,0.76
2026-07-30T04:23:35Z,running,7.41,467278,14.5,12564,29174,0,0,0.66,0.70,0.76
2026-07-30T04:23:36Z,running,7.94,466936,14.5,12611,28710,0,0,0.66,0.70,0.76
2026-07-30T04:23:38Z,running,7.94,466765,14.5,12591,28507,0,0,0.66,0.70,0.76
2026-07-30T04:23:40Z,running,7.94,466235,14.5,12315,28243,0,0,0.66,0.70,0.76
2026-07-30T04:23:41Z,running,7.54,467779,14.5,12510,29585,0,0,0.66,0.70,0.76
2026-07-30T04:23:43Z,running,7.54,467769,14.5,12501,29586,0,0,2.98,0.76,0.77
2026-07-30T04:23:46Z,running,7.26,468229,14.5,12959,29602,0,0,2.98,0.76,0.77
2026-07-30T04:23:48Z,running,7.26,467408,14.5,12231,29509,0,0,2.98,0.76,0.77
2026-07-30T04:23:50Z,running,7.26,468391,14.5,12706,29989,0,0,2.98,0.76,0.77
2026-07-30T04:23:51Z,running,7.24,468694,14.5,12778,30118,0,0,2.98,0.76,0.77
2026-07-30T04:23:53Z,running,7.24,468379,14.5,12960,29460,0,0,2.98,0.76,0.77
2026-07-30T04:23:54Z,running,7.24,467977,14.5,12282,29615,0,0,2.98,0.76,0.77
2026-07-30T04:23:56Z,running,7.86,467851,14.5,11967,29664,0,0,2.98,0.76,0.77
2026-07-30T04:23:58Z,running,7.86,467886,14.5,11784,29702,0,0,2.98,0.76,0.77
2026-07-30T04:23:59Z,running,7.86,467883,14.5,12042,29246,0,0,2.98,0.76,0.77
2026-07-30T04:24:01Z,running,8.35,467477,14.5,11284,29437,0,0,3.43,0.65,0.60
2026-07-30T04:24:05Z,running,10.24,464282,14.5,9778,27059,0,0,3.43,0.65,0.60
2026-07-30T04:24:07Z,running,10.24,463504,14.5,9433,26232,0,0,3.43,0.65,0.60
2026-07-30T04:24:08Z,running,10.24,462238,14.5,8504,25504,0,0,3.43,0.65,0.60
2026-07-30T04:24:10Z,running,10.24,462856,14.5,8742,25654,0,0,3.43,0.65,0.60
2026-07-30T04:24:11Z,running,11.19,462603,14.5,8459,25502,0,0,3.43,0.65,0.60
2026-07-30T04:24:13Z,running,11.19,461594,14.5,8167,24531,0,0,3.43,0.65,0.60
2026-07-30T04:24:14Z,running,11.19,462171,14.5,8315,24857,0,0,3.43,0.65,0.60
2026-07-30T04:24:16Z,running,10.61,462231,14.5,8237,24998,0,0,3.43,0.65,0.60
2026-07-30T04:24:17Z,running,10.61,463232,14.5,9064,25167,0,0,3.43,0.65,0.60
2026-07-30T04:24:19Z,running,10.61,462867,14.5,9075,24780,0,0,0.51,0.73,0.70
2026-07-30T04:24:23Z,running,10.16,462419,14.5,8955,24452,0,0,0.51,0.73,0.70
2026-07-30T04:24:24Z,running,10.16,462000,14.5,9267,23728,0,0,0.51,0.73,0.70
2026-07-30T04:24:26Z,running,10.47,460833,14.5,8646,23212,0,0,0.51,0.73,0.70
2026-07-30T04:24:27Z,running,10.47,461158,14.5,8849,23150,0,0,0.51,0.73,0.70
2026-07-30T04:24:29Z,running,10.47,460961,14.5,8699,23029,0,0,0.51,0.73,0.70
2026-07-30T04:24:30Z,running,12.03,461249,14.5,9247,22490,0,0,0.51,0.73,0.70
2026-07-30T04:24:32Z,running,12.03,461548,14.5,9227,22679,0,0,0.51,0.73,0.70
2026-07-30T04:24:33Z,running,12.03,461261,14.5,9652,21785,0,0,0.51,0.73,0.70
2026-07-30T04:24:35Z,running,13.71,461268,14.5,9236,22010,0,0,0.51,0.73,0.70
2026-07-30T04:24:37Z,running,13.71,461533,14.5,9134,22241,0,0,3.47,6.37,0.54
2026-07-30T04:24:40Z,running,14.94,460444,14.5,8485,21310,0,0,3.47,6.37,0.54
2026-07-30T04:24:42Z,running,14.94,460367,14.5,7755,21871,0,0,3.47,6.37,0.54
2026-07-30T04:24:43Z,running,14.94,461017,14.5,7456,22726,0,0,3.47,6.37,0.54
2026-07-30T04:24:45Z,running,14.46,459687,14.5,7114,21588,0,0,3.47,6.37,0.54
2026-07-30T04:24:46Z,running,14.46,460624,14.5,8400,21176,0,0,3.47,6.37,0.54
2026-07-30T04:24:48Z,running,14.46,460075,14.5,8076,20755,0,0,3.47,6.37,0.54
2026-07-30T04:24:50Z,running,14.46,460531,14.5,7860,21350,0,0,3.47,6.37,0.54
2026-07-30T04:24:51Z,running,14.50,460665,14.5,7057,22303,0,0,3.47,6.37,0.54
2026-07-30T04:24:53Z,running,14.50,461168,14.5,7221,22405,0,0,3.47,6.37,0.54
2026-07-30T04:24:54Z,running,14.50,461864,14.5,7786,22522,0,0,2.84,0.63,0.74
2026-07-30T04:24:58Z,running,13.66,462400,14.5,7700,23146,0,0,2.84,0.63,0.74
2026-07-30T04:24:59Z,running,13.66,465568,14.5,6547,27862,0,0,2.84,0.63,0.74
2026-07-30T04:25:01Z,running,15.69,461029,14.5,2694,26839,0,0,2.84,0.63,0.74
2026-07-30T04:25:03Z,running,15.69,460420,14.5,2050,27060,0,0,2.84,0.63,0.74
2026-07-30T04:25:04Z,running,15.69,460576,14.5,2703,26456,0,0,2.84,0.63,0.74
2026-07-30T04:25:06Z,running,15.64,460124,14.5,2178,26537,0,0,2.84,0.63,0.74
2026-07-30T04:25:07Z,running,15.64,460673,14.5,2816,26611,0,0,2.84,0.63,0.74
2026-07-30T04:25:09Z,running,15.64,460744,14.5,2749,26746,0,0,2.84,0.63,0.74
2026-07-30T04:25:11Z,running,16.23,460382,14.5,2508,26624,0,0,2.84,0.63,0.74
2026-07-30T04:25:12Z,running,16.23,459728,14.5,2469,26006,0,0,1.24,0.76,0.71
2026-07-30T04:25:16Z,running,15.81,459591,14.5,2711,25682,0,0,1.24,0.76,0.71
2026-07-30T04:25:17Z,running,15.81,459921,14.5,2890,25780,0,0,1.24,0.76,0.71
2026-07-30T04:25:19Z,running,15.81,460421,14.5,3907,25264,0,0,1.24,0.76,0.71
2026-07-30T04:25:21Z,running,15.74,459141,14.5,2939,24954,0,0,1.24,0.76,0.71
2026-07-30T04:25:22Z,running,15.74,458529,14.5,2413,24929,0,0,1.24,0.76,0.71
2026-07-30T04:25:24Z,running,15.74,459147,14.5,3316,24581,0,0,1.24,0.76,0.71
2026-07-30T04:25:25Z,running,16.16,458368,14.5,3908,23203,0,0,1.24,0.76,0.71
2026-07-30T04:25:27Z,running,16.16,458774,14.5,3656,23925,0,0,1.24,0.76,0.71
2026-07-30T04:25:28Z,running,16.16,460347,14.5,4644,24454,0,0,1.24,0.76,0.71
2026-07-30T04:25:30Z,running,16.16,460447,14.5,4968,24228,0,0,4.91,0.72,0.69
2026-07-30T04:25:34Z,running,15.27,461414,14.5,5730,24432,0,0,4.91,0.72,0.69
2026-07-30T04:25:35Z,running,14.45,465392,14.5,8045,26097,0,0,4.91,0.72,0.69
2026-07-30T04:25:37Z,running,14.45,465188,14.5,7667,26265,0,0,4.91,0.72,0.69
2026-07-30T04:25:38Z,running,14.45,465573,14.5,8056,26268,0,0,4.91,0.72,0.69
2026-07-30T04:25:40Z,running,14.45,465844,14.5,8324,26271,0,0,4.91,0.72,0.69
2026-07-30T04:25:41Z,running,14.09,465038,14.5,6828,26941,0,0,4.91,0.72,0.69
2026-07-30T04:25:43Z,running,14.09,464957,14.5,6924,26779,0,0,4.91,0.72,0.69
2026-07-30T04:25:44Z,running,14.09,464989,14.5,6637,27089,0,0,4.91,0.72,0.69
2026-07-30T04:25:46Z,running,14.48,464424,14.5,6329,26834,0,0,4.91,0.72,0.69
2026-07-30T04:25:48Z,running,14.48,465081,14.5,7060,26769,0,0,2.22,0.75,0.63
2026-07-30T04:25:51Z,running,14.20,465098,14.5,7033,26812,0,0,2.22,0.75,0.63
2026-07-30T04:25:53Z,running,14.20,464868,14.5,6998,26613,0,0,2.22,0.75,0.63
2026-07-30T04:25:54Z,running,14.20,465282,14.5,7099,26931,0,0,2.22,0.75,0.63
2026-07-30T04:25:56Z,running,15.79,465039,14.5,6533,27254,0,0,2.22,0.75,0.63
2026-07-30T04:25:57Z,running,15.79,464410,14.5,5680,27477,0,0,2.22,0.75,0.63
2026-07-30T04:25:59Z,running,15.79,464878,14.5,6107,27519,0,0,2.22,0.75,0.63
2026-07-30T04:26:00Z,running,16.37,464281,14.5,5507,27521,0,0,2.22,0.75,0.63
2026-07-30T04:26:02Z,running,16.37,463880,14.5,5123,27498,0,0,2.22,0.75,0.63
2026-07-30T04:26:04Z,running,16.37,463789,14.5,4995,27536,0,0,2.22,0.75,0.63
2026-07-30T04:26:05Z,running,16.58,463738,14.5,4886,27598,0,0,3.94,0.70,0.74
2026-07-30T04:26:09Z,running,16.58,463975,14.5,5158,27565,0,0,3.94,0.70,0.74
2026-07-30T04:26:10Z,running,16.37,462656,14.5,3916,27522,0,0,3.94,0.70,0.74
2026-07-30T04:26:12Z,running,16.37,463308,14.5,4311,27742,0,0,3.94,0.70,0.74
2026-07-30T04:26:13Z,running,16.37,463173,14.5,4153,27759,0,0,3.94,0.70,0.74
2026-07-30T04:26:15Z,running,16.37,463921,14.5,4931,27726,0,0,3.94,0.70,0.74
2026-07-30T04:26:16Z,running,15.62,464485,14.5,5353,27861,0,0,3.94,0.70,0.74
2026-07-30T04:26:18Z,running,15.62,465931,14.5,5556,29100,0,0,3.94,0.70,0.74
2026-07-30T04:26:19Z,running,15.62,465765,14.5,5847,28649,0,0,3.94,0.70,0.74
2026-07-30T04:26:21Z,running,14.77,470216,14.5,9973,28971,0,0,3.94,0.70,0.74
2026-07-30T04:26:22Z,running,14.77,469980,14.5,9882,28829,0,0,0.14,0.57,0.70
2026-07-30T04:26:26Z,running,14.55,469837,14.5,9816,28769,0,0,0.14,0.57,0.70
2026-07-30T04:26:28Z,running,14.55,469278,14.5,9750,28253,0,0,0.14,0.57,0.70
2026-07-30T04:26:29Z,running,14.55,467889,14.5,9740,26877,0,0,0.14,0.57,0.70
2026-07-30T04:26:31Z,running,14.91,466247,14.5,9230,25640,0,0,0.14,0.57,0.70
2026-07-30T04:26:32Z,running,14.91,464192,14.5,8737,23930,0,0,0.14,0.57,0.70
2026-07-30T04:26:34Z,running,14.91,460827,14.5,8424,20671,0,0,0.14,0.57,0.70
2026-07-30T04:26:35Z,running,15.31,456131,14.5,6240,18108,0,0,0.14,0.57,0.70
2026-07-30T04:26:37Z,running,15.31,455554,14.5,6249,17418,0,0,0.14,0.57,0.70
2026-07-30T04:26:38Z,running,15.31,454508,14.5,6469,15988,0,0,0.14,0.57,0.70
2026-07-30T04:26:40Z,running,15.31,454255,14.5,6484,15708,0,0,2.28,0.67,0.73
2026-07-30T04:26:43Z,running,15.53,454332,14.5,6624,15616,0,0,2.28,0.67,0.73
2026-07-30T04:26:45Z,running,15.53,454304,14.5,6654,15558,0,0,2.28,0.67,0.73
2026-07-30T04:26:46Z,running,15.17,454243,14.5,6653,15499,0,0,2.28,0.67,0.73
2026-07-30T04:26:48Z,running,15.17,454476,14.5,6876,15506,0,0,2.28,0.67,0.73
2026-07-30T04:26:49Z,running,15.17,454695,14.5,7145,15455,0,0,2.28,0.67,0.73
2026-07-30T04:26:51Z,running,14.99,454646,14.5,7143,15405,0,0,2.28,0.67,0.73
2026-07-30T04:26:53Z,running,14.99,454583,14.5,7114,15367,0,0,2.28,0.67,0.73
2026-07-30T04:26:54Z,running,14.99,454560,14.5,7069,15388,0,0,2.28,0.67,0.73
2026-07-30T04:26:56Z,running,14.91,454622,14.5,7400,15116,0,0,2.28,0.67,0.73
2026-07-30T04:26:57Z,running,14.91,455983,14.5,8532,15337,0,0,1.40,0.75,0.70
2026-07-30T04:27:01Z,running,14.12,454711,14.5,8060,14528,0,0,1.40,0.75,0.70
2026-07-30T04:27:02Z,running,14.12,454914,14.5,8257,14540,0,0,1.40,0.75,0.70
2026-07-30T04:27:04Z,running,14.12,455125,14.5,8462,14537,0,0,1.40,0.75,0.70
2026-07-30T04:27:06Z,running,13.95,455029,14.5,8453,14432,0,0,1.40,0.75,0.70
2026-07-30T04:27:07Z,running,13.95,454699,14.5,8378,14165,0,0,1.40,0.75,0.70
2026-07-30T04:27:09Z,running,13.95,452938,14.5,8215,12564,0,0,1.40,0.75,0.70
2026-07-30T04:27:10Z,running,13.71,451643,14.5,7601,11831,0,0,1.40,0.75,0.70
2026-07-30T04:27:12Z,running,13.71,450027,14.5,6955,10730,0,0,1.40,0.75,0.70
2026-07-30T04:27:13Z,running,13.71,448556,14.5,6290,9798,0,0,1.40,0.75,0.70
2026-07-30T04:27:15Z,running,13.71,442298,14.5,3708,6031,0,0,3.10,0.74,0.72
2026-07-30T04:27:19Z,running,14.06,440417,14.5,2274,5221,0,0,3.10,0.74,0.72
2026-07-30T04:27:20Z,running,13.49,438585,14.5,1432,4218,0,0,3.10,0.74,0.72
2026-07-30T04:27:22Z,running,13.49,436780,14.5,1432,2326,0,0,3.10,0.74,0.72
2026-07-30T04:27:23Z,running,13.49,436632,14.5,1405,2315,0,0,3.10,0.74,0.72
2026-07-30T04:27:25Z,running,13.49,436646,14.5,1602,2089,0,0,3.10,0.74,0.72
2026-07-30T04:27:26Z,running,13.45,436487,14.5,1785,1761,0,0,3.10,0.74,0.72
2026-07-30T04:27:28Z,running,13.45,436049,14.5,1696,1405,0,0,3.10,0.74,0.72
2026-07-30T04:27:29Z,running,13.45,434824,14.5,1369,632,0,0,3.10,0.74,0.72
2026-07-30T04:27:31Z,running,12.85,434309,14.5,1500,836,0,0,3.10,0.74,0.72
2026-07-30T04:27:33Z,running,12.85,433522,14.5,1778,617,0,0,4.98,0.75,0.73
2026-07-30T04:27:36Z,running,13.03,432778,14.5,1582,1135,0,0,4.98,0.75,0.73
2026-07-30T04:27:38Z,running,13.03,432814,14.5,1536,1230,0,0,4.98,0.75,0.73
2026-07-30T04:27:40Z,running,13.03,432115,14.5,1549,1309,0,0,4.98,0.75,0.73
2026-07-30T04:27:41Z,running,12.22,432350,14.5,1756,1342,0,0,4.98,0.75,0.73
2026-07-30T04:27:43Z,running,12.22,432167,14.5,1594,1321,0,0,4.98,0.75,0.73
2026-07-30T04:27:44Z,running,12.22,432299,14.5,1716,1331,0,0,4.98,0.75,0.73
2026-07-30T04:27:46Z,running,12.37,431995,14.5,2029,1281,0,0,4.98,0.75,0.73
2026-07-30T04:27:48Z,running,12.37,431325,14.5,1755,1446,0,0,4.98,0.75,0.73
2026-07-30T04:27:49Z,running,12.37,431901,14.5,2193,1572,0,0,4.98,0.75,0.73
2026-07-30T04:27:51Z,running,12.82,431902,14.5,2163,1586,0,0,7.31,0.93,0.77
2026-07-30T04:27:54Z,running,12.82,431246,14.5,1710,1476,0,0,7.31,0.93,0.77
2026-07-30T04:27:56Z,running,12.35,431625,14.5,2041,1517,0,0,7.31,0.93,0.77
2026-07-30T04:27:57Z,running,12.35,431645,14.5,1951,1620,0,0,7.31,0.93,0.77
2026-07-30T04:27:59Z,running,12.35,431632,14.5,1862,1680,0,0,7.31,0.93,0.77
2026-07-30T04:28:01Z,running,12.40,431867,14.5,2019,1739,0,0,7.31,0.93,0.77
2026-07-30T04:28:02Z,running,12.40,431739,14.5,1858,1766,0,0,7.31,0.93,0.77
2026-07-30T04:28:04Z,running,12.40,431668,14.5,1768,1828,0,0,7.31,0.93,0.77
2026-07-30T04:28:05Z,running,12.37,431578,14.5,1654,1847,0,0,7.31,0.93,0.77
2026-07-30T04:28:07Z,running,12.37,431533,14.5,2159,1899,0,0,7.31,0.93,0.77
2026-07-30T04:28:08Z,running,12.37,431754,14.5,2323,1956,0,0,0.61,7.39,0.67
2026-07-30T04:28:12Z,running,12.26,431205,14.5,1751,1979,0,0,0.61,7.39,0.67
2026-07-30T04:28:14Z,running,12.26,431103,14.5,1649,1978,0,0,0.61,7.39,0.67
2026-07-30T04:28:15Z,running,11.92,431116,14.5,1655,1972,0,0,0.61,7.39,0.67
2026-07-30T04:28:17Z,running,11.92,430602,14.5,1403,1965,0,0,0.61,7.39,0.67
2026-07-30T04:28:18Z,running,11.92,430873,14.5,1677,1965,0,0,0.61,7.39,0.67
2026-07-30T04:28:20Z,running,11.92,430944,14.5,1657,2028,0,0,0.61,7.39,0.67
2026-07-30T04:28:21Z,running,12.49,431165,14.5,1853,2017,0,0,0.61,7.39,0.67
2026-07-30T04:28:23Z,running,12.49,431038,14.5,1742,1993,0,0,0.61,7.39,0.67
2026-07-30T04:28:25Z,running,12.49,431046,14.5,1748,1987,0,0,0.61,7.39,0.67
2026-07-30T04:28:26Z,running,12.21,431031,14.5,1741,1980,0,0,3.57,0.74,0.72
2026-07-30T04:28:30Z,running,12.21,431038,14.5,2261,2026,0,0,3.57,0.74,0.72
2026-07-30T04:28:31Z,running,12.59,431044,14.5,2268,2025,0,0,3.57,0.74,0.72
2026-07-30T04:28:33Z,running,12.59,431374,14.5,2596,2027,0,0,3.57,0.74,0.72
2026-07-30T04:28:34Z,running,12.59,431397,14.5,2607,2039,0,0,3.57,0.74,0.72
2026-07-30T04:28:36Z,running,11.98,431401,14.5,2591,2052,0,0,3.57,0.74,0.72
2026-07-30T04:28:38Z,running,11.98,431277,14.5,2468,2058,0,0,3.57,0.74,0.72
2026-07-30T04:28:39Z,running,11.98,430913,14.5,2683,1473,0,0,3.57,0.74,0.72
2026-07-30T04:28:41Z,running,11.26,430343,14.5,2465,1105,0,0,3.57,0.74,0.72
2026-07-30T04:28:42Z,running,11.26,430501,14.5,2849,1152,0,0,3.57,0.74,0.72
2026-07-30T04:28:44Z,running,11.26,430457,14.5,2833,1076,0,0,0.25,0.76,0.72
2026-07-30T04:28:47Z,running,11.24,430200,14.5,2640,975,0,0,0.25,0.76,0.72
2026-07-30T04:28:49Z,running,11.24,430225,14.5,2657,984,0,0,0.25,0.76,0.72
2026-07-30T04:28:50Z,running,11.22,430503,14.5,3033,883,0,0,0.25,0.76,0.72
2026-07-30T04:28:52Z,running,11.22,430149,14.5,2767,796,0,0,0.25,0.76,0.72
2026-07-30T04:28:54Z,running,11.22,430161,14.5,2825,751,0,0,0.25,0.76,0.72
2026-07-30T04:28:55Z,running,11.20,430068,14.5,2800,683,0,0,0.25,0.76,0.72
2026-07-30T04:28:57Z,running,11.20,430935,14.5,3733,617,0,0,0.25,0.76,0.72
2026-07-30T04:28:58Z,running,11.20,431590,14.5,4385,660,0,0,0.25,0.76,0.72
2026-07-30T04:29:00Z,running,11.20,431374,14.5,4235,602,0,0,0.25,0.76,0.72
2026-07-30T04:29:01Z,running,10.55,431299,14.5,4272,606,0,0,4.10,0.62,0.54
2026-07-30T04:29:05Z,running,10.55,431123,14.5,4184,627,0,0,4.10,0.62,0.54
