ts,gpu,util,mem_used_mb,power_w,temp_c,sm_mhz
2026-07-30T05:23:38Z,0,100,31936,187.06,63,2812
2026-07-30T05:23:38Z,1,100,32096,330.40,62,2775
2026-07-30T05:23:38Z,2,100,31674,187.15,59,2737
2026-07-30T05:23:38Z,3,99,31734,269.54,54,2880
2026-07-30T05:23:38Z,4,0,29902,17.99,28,210
2026-07-30T05:23:38Z,5,0,29900,15.57,30,210
2026-07-30T05:23:38Z,6,0,17358,66.79,39,2430
2026-07-30T05:23:38Z,7,0,4,13.37,42,210
2026-07-30T05:23:42Z,0,99,31936,345.70,56,2812
2026-07-30T05:23:42Z,1,99,32096,307.30,56,2910
2026-07-30T05:23:42Z,2,100,31674,410.67,60,2632
2026-07-30T05:23:42Z,3,99,31734,342.25,56,2880
2026-07-30T05:23:42Z,4,0,29902,17.76,28,210
2026-07-30T05:23:42Z,5,0,29900,13.91,30,210
2026-07-30T05:23:42Z,6,0,17358,67.66,39,2430
2026-07-30T05:23:42Z,7,0,1184,65.92,43,2430
2026-07-30T05:23:43Z,0,0,31936,163.64,52,2842
2026-07-30T05:23:43Z,1,99,32096,310.52,56,2910
2026-07-30T05:23:43Z,2,99,31674,348.83,53,2895
2026-07-30T05:23:43Z,3,99,31734,298.92,55,2880
2026-07-30T05:23:43Z,4,0,29902,18.13,28,210
2026-07-30T05:23:43Z,5,0,29900,13.68,30,210
2026-07-30T05:23:43Z,6,0,17358,64.75,39,2430
2026-07-30T05:23:43Z,7,0,1184,66.54,43,2430
2026-07-30T05:23:45Z,0,100,31936,450.49,62,2632
2026-07-30T05:23:45Z,1,99,32096,305.66,56,2910
2026-07-30T05:23:45Z,2,100,31674,368.65,60,2715
2026-07-30T05:23:45Z,3,99,31734,299.15,55,2880
2026-07-30T05:23:45Z,4,0,29902,17.84,28,210
2026-07-30T05:23:45Z,5,0,29900,15.45,30,202
2026-07-30T05:23:45Z,6,0,17358,67.75,39,2430
2026-07-30T05:23:45Z,7,0,1184,64.88,43,2430
2026-07-30T05:23:46Z,0,100,31936,456.72,62,2632
2026-07-30T05:23:46Z,1,99,32096,310.09,56,2910
2026-07-30T05:23:46Z,2,99,31674,422.26,54,2760
2026-07-30T05:23:46Z,3,98,31734,285.49,55,2880
2026-07-30T05:23:46Z,4,0,29902,18.35,28,210
2026-07-30T05:23:46Z,5,0,29900,14.25,30,210
2026-07-30T05:23:46Z,6,0,17358,65.07,39,2430
2026-07-30T05:23:46Z,7,0,1184,67.22,42,2430
2026-07-30T05:23:48Z,0,99,31936,267.68,56,2820
2026-07-30T05:23:48Z,1,99,32096,309.02,56,2910
2026-07-30T05:23:48Z,2,99,31674,316.38,53,2857
2026-07-30T05:23:48Z,3,100,31734,450.38,61,2325
2026-07-30T05:23:48Z,4,0,29902,16.45,28,210
2026-07-30T05:23:48Z,5,0,29900,16.40,30,210
2026-07-30T05:23:48Z,6,0,17358,67.28,39,2430
2026-07-30T05:23:48Z,7,0,1184,64.21,42,2430
2026-07-30T05:23:50Z,0,99,31936,254.56,56,2820
2026-07-30T05:23:50Z,1,99,32096,308.49,56,2910
2026-07-30T05:23:50Z,2,99,31674,314.02,54,2887
2026-07-30T05:23:50Z,3,100,31734,423.34,64,2647
2026-07-30T05:23:50Z,4,0,29902,18.57,28,210
2026-07-30T05:23:50Z,5,0,29900,12.58,30,210
2026-07-30T05:23:50Z,6,0,17358,27.55,38,367
2026-07-30T05:23:50Z,7,0,1184,67.02,42,2430
2026-07-30T05:23:51Z,0,99,31936,264.96,56,2820
2026-07-30T05:23:51Z,1,98,32096,298.39,56,2910
2026-07-30T05:23:51Z,2,100,31674,333.19,59,2760
2026-07-30T05:23:51Z,3,98,31734,342.78,57,2880
2026-07-30T05:23:51Z,4,0,29902,15.94,28,210
2026-07-30T05:23:51Z,5,0,29900,13.80,30,210
2026-07-30T05:23:51Z,6,0,17358,11.57,38,210
2026-07-30T05:23:51Z,7,0,1184,64.94,42,2430
2026-07-30T05:23:53Z,0,100,31936,377.61,64,2700
2026-07-30T05:23:53Z,1,100,32096,450.51,63,2640
2026-07-30T05:23:53Z,2,100,31674,449.48,61,2670
2026-07-30T05:23:53Z,3,100,31734,468.16,64,2632
2026-07-30T05:23:53Z,4,0,29902,17.73,28,210
2026-07-30T05:23:53Z,5,0,29900,13.57,30,210
2026-07-30T05:23:53Z,6,0,17358,12.58,38,210
2026-07-30T05:23:53Z,7,0,1184,65.37,42,2430
2026-07-30T05:23:54Z,0,99,31936,367.12,56,2812
2026-07-30T05:23:54Z,1,100,32096,451.19,64,2632
2026-07-30T05:23:54Z,2,99,31674,434.58,56,2317
2026-07-30T05:23:54Z,3,99,31734,290.21,57,2880
2026-07-30T05:23:54Z,4,0,29902,17.70,28,210
2026-07-30T05:23:54Z,5,0,29900,13.50,30,210
2026-07-30T05:23:54Z,6,7,17358,12.41,38,1095
2026-07-30T05:23:54Z,7,0,1184,65.65,42,2430
2026-07-30T05:23:56Z,0,100,31936,365.06,64,2737
2026-07-30T05:23:56Z,1,99,32096,305.40,57,2910
2026-07-30T05:23:56Z,2,0,31674,268.48,51,2895
2026-07-30T05:23:56Z,3,99,31734,311.14,56,2880
2026-07-30T05:23:56Z,4,0,29902,17.82,28,210
2026-07-30T05:23:56Z,5,0,29900,15.42,30,210
2026-07-30T05:23:56Z,6,0,17358,173.72,40,2925
2026-07-30T05:23:56Z,7,0,1184,63.82,42,2430
2026-07-30T05:23:59Z,0,99,31936,259.55,56,2820
2026-07-30T05:23:59Z,1,31,32096,311.70,56,2910
2026-07-30T05:23:59Z,2,100,31674,453.14,61,2640
2026-07-30T05:23:59Z,3,100,31734,279.89,64,2737
2026-07-30T05:23:59Z,4,0,29902,15.41,28,210
2026-07-30T05:23:59Z,5,0,29900,14.88,30,210
2026-07-30T05:23:59Z,6,0,1,67.81,39,2430
2026-07-30T05:23:59Z,7,0,1184,13.05,41,210
2026-07-30T05:24:01Z,0,100,31936,283.07,65,2797
2026-07-30T05:24:01Z,1,93,32096,308.70,56,2910
2026-07-30T05:24:01Z,2,99,31674,296.34,55,2895
