ts,state,load1,mem_avail_mb,our_mem_gib,node0_free_mb,node1_free_mb,lb_5xx,lb_total,stress_cpu_pct,r0_cpu_pct,r1_cpu_pct
2026-07-30T05:23:38Z,running,14.24,444737,14.1,5788,16395,0,3,2.78,149.82,109.09
2026-07-30T05:23:42Z,running,14.24,441385,14.1,5496,13209,0,3,2.78,149.82,109.09
2026-07-30T05:23:43Z,running,14.22,439780,14.1,5321,11605,0,3,2.78,149.82,109.09
2026-07-30T05:23:45Z,running,14.22,435894,14.1,3383,9522,0,3,2.78,149.82,109.09
2026-07-30T05:23:46Z,running,14.22,431307,14.1,2924,7249,0,3,2.78,149.82,109.09
2026-07-30T05:23:48Z,running,14.92,431253,14.1,3631,6378,0,3,2.78,149.82,109.09
2026-07-30T05:23:50Z,running,14.92,431097,14.1,4087,5674,0,3,2.78,149.82,109.09
2026-07-30T05:23:51Z,running,14.92,429423,14.1,3014,4975,0,3,2.78,149.82,109.09
2026-07-30T05:23:53Z,running,14.93,427403,14.1,3009,2957,0,3,2.78,149.82,109.09
2026-07-30T05:23:54Z,running,14.93,427044,14.1,4101,1501,0,3,2.78,149.82,109.09
2026-07-30T05:23:56Z,running,14.93,440295,13.9,8927,10031,0,30,4.58,109.77,101.04
2026-07-30T05:23:59Z,running,14.93,448441,13.9,10113,16961,0,30,4.58,109.77,101.04
2026-07-30T05:24:01Z,running,14.93,448441,13.9,10124,16941,0,30,4.58,109.77,101.04
2026-07-30T05:24:03Z,running,14.93,448552,13.9,10299,16860,0,30,4.58,109.77,101.04
2026-07-30T05:24:04Z,running,14.94,448349,13.9,10155,16798,0,30,4.58,109.77,101.04
2026-07-30T05:24:06Z,running,14.94,448371,13.9,10345,16625,0,30,4.58,109.77,101.04
2026-07-30T05:24:07Z,running,14.94,447999,13.9,10280,16363,0,30,4.58,109.77,101.04
2026-07-30T05:24:09Z,running,14.86,448192,13.9,10541,16249,0,30,4.58,109.77,101.04
2026-07-30T05:24:11Z,running,14.86,448396,13.9,10885,16141,0,30,4.58,109.77,101.04
2026-07-30T05:24:12Z,running,14.86,447580,13.9,10091,16083,0,30,4.58,109.77,101.04
2026-07-30T05:24:14Z,running,14.23,447502,13.5,10132,15968,0,29,7.41,152.26,136.05
2026-07-30T05:24:18Z,running,14.23,447834,13.5,10776,15649,0,29,7.41,152.26,136.05
2026-07-30T05:24:19Z,running,14.46,446925,13.5,10529,14970,0,29,7.41,152.26,136.05
2026-07-30T05:24:21Z,running,14.46,447065,13.5,10310,15323,0,29,7.41,152.26,136.05
2026-07-30T05:24:22Z,running,14.46,447208,13.5,10462,15292,0,29,7.41,152.26,136.05
2026-07-30T05:24:24Z,running,13.94,446871,13.5,10186,15195,0,29,7.41,152.26,136.05
2026-07-30T05:24:26Z,running,13.94,445908,13.5,10122,14313,0,29,7.41,152.26,136.05
2026-07-30T05:24:27Z,running,13.94,446125,13.5,10351,14297,0,29,7.41,152.26,136.05
2026-07-30T05:24:29Z,running,13.86,447559,13.5,11052,15029,0,29,7.41,152.26,136.05
2026-07-30T05:24:31Z,running,13.86,446977,13.5,10489,15004,0,29,7.41,152.26,136.05
2026-07-30T05:24:32Z,running,13.86,446730,13.9,10327,14926,0,30,4.24,103.05,140.37
2026-07-30T05:24:36Z,running,13.31,446341,13.9,9889,14970,0,30,4.24,103.05,140.37
2026-07-30T05:24:38Z,running,13.31,446705,13.9,10361,14866,0,30,4.24,103.05,140.37
2026-07-30T05:24:39Z,running,12.73,446578,13.9,10367,14761,0,30,4.24,103.05,140.37
2026-07-30T05:24:41Z,running,12.73,446837,13.9,10591,14761,0,30,4.24,103.05,140.37
2026-07-30T05:24:43Z,running,12.73,448861,13.9,11278,16099,0,30,4.24,103.05,140.37
2026-07-30T05:24:44Z,running,12.43,448755,13.9,10598,16675,0,30,4.24,103.05,140.37
2026-07-30T05:24:46Z,running,12.43,448590,13.9,10467,16621,0,30,4.24,103.05,140.37
2026-07-30T05:24:47Z,running,12.43,448684,13.9,10628,16550,0,30,4.24,103.05,140.37
2026-07-30T05:24:49Z,running,12.31,448710,13.9,10754,16453,0,30,4.24,103.05,140.37
2026-07-30T05:24:51Z,running,12.31,448492,13.7,10545,16445,0,39,4.59,129.92,109.70
2026-07-30T05:24:54Z,running,11.81,447946,13.7,10030,16450,0,39,4.59,129.92,109.70
2026-07-30T05:24:56Z,running,11.81,448527,13.7,10730,16345,0,39,4.59,129.92,109.70
2026-07-30T05:24:58Z,running,11.81,447963,13.7,10361,16157,0,39,4.59,129.92,109.70
2026-07-30T05:24:59Z,running,11.90,447632,13.7,10025,16161,0,39,4.59,129.92,109.70
2026-07-30T05:25:01Z,running,11.90,448243,13.7,10736,16063,0,39,4.59,129.92,109.70
2026-07-30T05:25:02Z,running,11.90,447652,13.7,10427,15775,0,39,4.59,129.92,109.70
2026-07-30T05:25:04Z,running,12.15,445855,13.7,10918,13437,0,39,4.59,129.92,109.70
2026-07-30T05:25:06Z,running,12.15,445418,13.7,10813,12901,0,39,4.59,129.92,109.70
2026-07-30T05:25:07Z,running,12.15,444486,13.7,10350,12284,0,39,4.59,129.92,109.70
2026-07-30T05:25:09Z,running,13.34,443730,13.9,9346,12333,0,33,5.08,218.31,102.86
2026-07-30T05:25:13Z,running,13.34,443962,13.9,9573,12107,0,33,5.08,218.31,102.86
2026-07-30T05:25:14Z,running,13.31,444163,13.9,9783,12098,0,33,5.08,218.31,102.86
2026-07-30T05:25:16Z,running,13.31,444086,13.9,9700,12092,0,33,5.08,218.31,102.86
2026-07-30T05:25:17Z,running,13.31,443748,13.9,9374,12080,0,33,5.08,218.31,102.86
2026-07-30T05:25:19Z,running,13.13,443653,13.9,9277,12077,0,33,5.08,218.31,102.86
2026-07-30T05:25:20Z,running,13.13,443465,13.9,9094,12079,0,33,5.08,218.31,102.86
2026-07-30T05:25:22Z,running,13.13,443487,13.9,9111,12083,0,33,5.08,218.31,102.86
2026-07-30T05:25:23Z,running,12.88,443260,13.9,9602,11346,0,33,5.08,218.31,102.86
2026-07-30T05:25:25Z,running,12.88,443213,13.9,9597,11173,0,33,5.08,218.31,102.86
2026-07-30T05:25:26Z,running,12.88,442854,13.7,9703,10584,0,29,5.83,109.34,179.65
2026-07-30T05:25:30Z,running,14.33,443467,13.7,10074,10481,0,29,5.83,109.34,179.65
2026-07-30T05:25:32Z,running,14.33,444024,13.7,9677,11339,0,29,5.83,109.34,179.65
2026-07-30T05:25:33Z,running,15.26,443695,13.7,9960,10582,0,29,5.83,109.34,179.65
2026-07-30T05:25:35Z,running,15.26,443364,13.7,9613,10313,0,29,5.83,109.34,179.65
2026-07-30T05:25:37Z,running,15.26,443030,13.7,9557,9893,0,29,5.83,109.34,179.65
2026-07-30T05:25:38Z,running,15.88,443491,13.7,9567,10210,0,29,5.83,109.34,179.65
2026-07-30T05:25:40Z,running,15.88,444096,13.7,10287,9984,0,29,5.83,109.34,179.65
2026-07-30T05:25:41Z,running,15.88,444675,13.7,10604,10116,0,29,5.83,109.34,179.65
2026-07-30T05:25:43Z,running,15.41,445153,13.7,10879,10149,0,29,5.83,109.34,179.65
2026-07-30T05:25:44Z,running,15.41,444475,13.9,10375,9783,0,34,6.14,160.32,219.56
2026-07-30T05:25:48Z,running,16.26,443550,13.9,9545,9240,0,34,6.14,160.32,219.56
2026-07-30T05:25:50Z,running,16.26,443570,13.9,10088,8643,0,34,6.14,160.32,219.56
2026-07-30T05:25:51Z,running,16.26,443840,13.9,9936,9057,0,34,6.14,160.32,219.56
2026-07-30T05:25:53Z,running,16.26,443957,13.9,10116,8994,0,34,6.14,160.32,219.56
2026-07-30T05:25:54Z,running,18.08,444164,13.9,10107,9211,0,34,6.14,160.32,219.56
2026-07-30T05:25:56Z,running,18.08,445892,13.9,10497,10555,0,34,6.14,160.32,219.56
2026-07-30T05:25:57Z,running,18.08,443394,13.9,10084,8444,0,34,6.14,160.32,219.56
2026-07-30T05:25:59Z,running,17.35,443347,13.9,10463,7992,0,34,6.14,160.32,219.56
2026-07-30T05:26:01Z,running,17.35,443900,13.9,10547,8466,0,34,6.14,160.32,219.56
2026-07-30T05:26:02Z,running,17.35,443478,13.9,10111,8458,0,31,2.91,131.91,108.82
2026-07-30T05:26:06Z,running,17.09,443738,13.9,10288,8597,0,31,2.91,131.91,108.82
2026-07-30T05:26:07Z,running,17.09,443233,13.9,10105,8241,0,31,2.91,131.91,108.82
2026-07-30T05:26:09Z,running,16.28,442866,13.9,9880,8098,0,31,2.91,131.91,108.82
2026-07-30T05:26:10Z,running,16.28,443512,13.9,10310,8315,0,31,2.91,131.91,108.82
2026-07-30T05:26:12Z,running,16.28,444089,13.9,10753,8448,0,31,2.91,131.91,108.82
2026-07-30T05:26:13Z,running,15.45,444185,13.9,10752,8536,0,31,2.91,131.91,108.82
2026-07-30T05:26:15Z,running,15.45,443398,13.9,10212,8293,0,31,2.91,131.91,108.82
2026-07-30T05:26:17Z,running,15.45,444115,13.9,10763,8676,0,31,2.91,131.91,108.82
2026-07-30T05:26:18Z,running,15.18,443717,13.9,10289,8532,0,31,2.91,131.91,108.82
2026-07-30T05:26:20Z,running,15.18,443532,14.1,10106,8540,0,36,6.36,100.39,246.38
2026-07-30T05:26:23Z,running,15.80,443370,14.1,10225,8221,0,36,6.36,100.39,246.38
2026-07-30T05:26:25Z,running,15.80,444284,14.1,10789,8557,0,36,6.36,100.39,246.38
2026-07-30T05:26:26Z,running,15.80,444454,14.1,10416,9101,0,36,6.36,100.39,246.38
2026-07-30T05:26:28Z,running,15.90,444653,14.1,10798,8909,0,36,6.36,100.39,246.38
2026-07-30T05:26:30Z,running,15.90,444212,14.1,10070,9195,0,36,6.36,100.39,246.38
2026-07-30T05:26:31Z,running,15.90,445271,14.1,9900,10436,0,36,6.36,100.39,246.38
2026-07-30T05:26:33Z,running,15.90,443526,14.1,10029,8562,0,36,6.36,100.39,246.38
2026-07-30T05:26:34Z,running,15.83,442468,14.1,9046,8486,0,36,6.36,100.39,246.38
2026-07-30T05:26:36Z,running,15.83,442066,14.1,8979,8144,0,36,6.36,100.39,246.38
2026-07-30T05:26:37Z,running,15.83,442475,14.8,9065,8477,0,29,8.73,100.44,218.40
2026-07-30T05:26:41Z,running,15.84,441984,14.8,8462,8578,0,29,8.73,100.44,218.40
2026-07-30T05:26:42Z,running,15.84,443290,14.8,9822,8534,0,29,8.73,100.44,218.40
2026-07-30T05:26:44Z,running,15.21,442521,14.8,9346,8233,0,29,8.73,100.44,218.40
2026-07-30T05:26:46Z,running,15.21,444485,14.8,11040,8478,0,29,8.73,100.44,218.40
